*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2017 155   206    17    3.0      1   0.01     14     14      0     16     28     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0     93.5   0.01   0.00   0.21    0.26    0.14    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 14.25
 2017 156   207    18    3.0      1   0.02     14     14      0     18     28     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    127.4   0.01   0.00   0.23    0.28    0.15    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 18.15
 2017 157   208    19    4.0      1   0.03     14     14      0     19     28     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    223.7   0.02   0.00   0.24    0.30    0.16    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 15.74
 2017 158   209    20    4.0      1   0.04     14     14      0     22     28     28      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    298.1   0.02   0.00   0.25    0.34    0.19    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 11.08
 2017 159   210    21    4.0      1   0.05     16     14      0     25     30     30      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.17   0.00   0.00      0      0    335.5   0.03   0.00   0.26    0.38    0.21    0.04    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.77
 2017 160   211    22    4.0      1   0.06     20     14      0     28     34     34      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.63   0.00   0.00      0      0    319.0   0.03   0.00   0.27    0.41    0.23    0.04    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.43
 2017 161   212    23    5.0      1   0.08     27     14      0     30     41     41      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    299.2   0.04   0.00   0.28    0.44    0.25    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 14.76
 2017 162   213    24    5.0      1   0.10     37     14      0     33     51     51      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.15   0.00   0.00      0      0    280.9   0.05   0.00   0.29    0.47    0.26    0.06    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.65
 2017 163   214    25    5.0      2   0.14     48     14      0     37     62     62      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.17   0.00   0.00      0      0    285.0   0.07   0.00   0.31    0.53    0.29    0.08    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 18.03
 2017 164   215    26    6.0      2   0.17     65     14      0     40     79     79      0    0.0  0.000      0      0  0.000  0.000  0.009  0.000  0.000  0.000  0.000   3.04   0.00   0.00      0      0    267.3   0.08   0.00   0.32    0.57    0.31    0.09    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 19.99
 2017 165   216    27    6.0      2   0.22     86     14      0     45    100    100      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.04   0.00   0.00      0      0    252.3   0.11   0.00   0.35    0.63    0.34    0.11    0.01    0.00    0.00    0.00    0.00      0      0      0       0       1 19.79
 2017 166   217    28    7.0      2   0.27    111     14      0     52    125    125      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.06   0.00   0.00      0      0    239.6   0.13   0.00   0.38    0.72    0.38    0.13    0.02    0.00    0.00    0.00    0.00      0      0      0       0       1 19.39
 2017 167   218    29    7.0      2   0.32    139     14      0     61    153    153      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.80   0.00   0.00      0      0    228.6   0.15   0.00   0.40    0.80    0.44    0.16    0.04    0.00    0.00    0.00    0.00      0      0      0       0       1 19.16
 2017 168   219    30    7.0      2   0.37    168     14      0     73    182    182      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.75   0.00   0.00      0      0    219.8   0.18   0.00   0.43    0.88    0.52    0.21    0.07    0.00    0.00    0.00    0.00      0      0      0       0       2 17.15
 2017 169   220    31    8.0      2   0.41    194     14      0     91    208    208      0    0.0  0.000      0      0  0.000  0.000  0.000  0.173  0.000  0.000  0.000   3.71   0.00   0.00      0      0    213.2   0.20   0.00   0.45    0.97    0.62    0.28    0.12    0.00    0.00    0.00    0.00      0      0      0       0       2 16.77
 2017 170   221    32    8.0      3   0.43    206     14      0    119    220    220      0    0.0  0.000      0      0  0.000  0.000  0.000  0.643  0.000  0.000  0.000   3.63   0.00   0.00      0      0    209.2   0.21   0.00   0.47    1.08    0.79    0.40    0.22    0.01    0.00    0.00    0.00      0      0      0       0       2 16.37
 2017 171   222    33    8.0      3   0.45    219     14      0    149    233    233      0    0.0  0.000      0      0  0.000  0.000  0.000  0.532  0.000  0.000  0.000   3.56   0.00   0.00      0      0    207.0   0.22   0.00   0.48    1.21    0.95    0.52    0.32    0.02    0.00    0.00    0.00      0      0      0       0       3 12.22
 2017 172   223    34    9.0      3   0.48    236     14      0    178    250    250      0    0.0  0.000      0      0  0.000  0.000  0.000  0.424  0.000  0.000  0.000   3.52   0.00   0.00      0      0    204.2   0.23   0.00   0.50    1.35    1.11    0.63    0.42    0.04    0.00    0.00    0.00      0      0      0       0       4 12.17
 2017 173   224    35    9.0      3   0.51    252     15      0    209    266    266      0    0.0  0.000      0      0  0.000  0.000  0.000  0.501  0.000  0.000  0.000   3.49   0.00   0.00      0      0    201.9   0.25   0.00   0.51    1.49    1.27    0.75    0.52    0.07    0.00    0.00    0.00      0      0      0       0       5 12.24
 2017 174   225    36    9.0      3   0.56    282     16      0    234    298    298      0    0.0  0.000      0      0  0.000  0.000  0.000  0.313  0.000  0.000  0.000   3.44   0.00   0.00      0      0    197.8   0.27   0.00   0.53    1.61    1.41    0.84    0.60    0.10    0.00    0.00    0.00      0      0      0       0       6 15.72
 2017 175   226    37    9.0      3   0.59    303     17      0    267    320    320      0    0.0  0.000      0      0  0.000  0.000  0.000  0.582  0.000  0.000  0.000   3.39   0.00   0.00      0      0    195.1   0.29   0.00   0.55    1.71    1.57    0.97    0.71    0.14    0.00    0.00    0.00      0      0      0       0       7 16.90
 2017 176   227    38   10.0      3   0.63    327     19      0    301    345    345      0    0.0  0.000      0      0  0.000  0.000  0.000  0.456  0.000  0.000  0.000   3.36   0.00   0.00      0      0    192.5   0.30   0.00   0.56    1.83    1.74    1.10    0.82    0.20    0.00    0.00    0.00      0      0      0       0       8 12.98
 2017 177   228    39   10.0      3   0.66    345     20      0    339    365    365      0    0.0  0.000      0      0  0.000  0.000  0.000  0.392  0.000  0.000  0.000   3.33   0.00   0.00      0      0    190.6   0.32   0.00   0.57    1.98    1.92    1.24    0.94    0.26    0.00    0.00    0.00      0      0      0       0      10  8.80
 2017 178   229    40   10.0      3   0.69    366     22      0    378    388    388      0    0.0  0.000      0      0  0.000  0.000  0.000  0.257  0.000  0.000  0.000   3.31   0.00   0.00      0      0    188.5   0.33   0.00   0.58    2.13    2.10    1.37    1.06    0.34    0.00    0.00    0.00      0      0      0       0      11  7.92
 2017 179   230    41   10.0      3   0.73    390     25      0    416    416    416      0    0.0  0.000      0      0  0.000  0.000  0.000  0.146  0.000  0.000  0.000   3.29   0.00   0.00      0      0    186.2   0.35   0.00   0.59    2.29    2.28    1.51    1.17    0.41    0.00    0.00    0.00      0      0      0       0      13  7.67
 2017 180   231    42   10.0      3   0.79    432     31      0    446    463    463      0    0.0  0.000      0      0  0.000  0.000  0.000  0.063  0.000  0.000  0.000   3.26   0.00   0.00      0      0    182.7   0.38   0.00   0.60    2.42    2.41    1.61    1.27    0.48    0.00    0.00    0.00      0      0      0       0      15 11.26
 2017 181   232    43   11.0      3   0.86    479     39      0    476    517    517      0    0.0  0.000      0      0  0.000  0.000  0.000  0.126  0.000  0.000  0.000   3.22   0.00   0.00      0      0    179.2   0.41   0.00   0.61    2.50    2.55    1.72    1.36    0.55    0.00    0.00    0.00      0      0      0       0      18 12.57
 2017 182   233    44   11.0      3   0.93    531     49      0    506    580    580      0    0.0  0.000      0      0  0.000  0.000  0.000  0.124  0.000  0.000  0.000   3.19   0.00   0.00      0      0    175.8   0.45   0.00   0.63    2.59    2.69    1.82    1.45    0.62    0.01    0.00    0.00      0      0      0       0      20 13.20
 2017 183   234    45   11.0      3   1.00    579     60      0    541    639    639      0    0.0  0.000      0      0  0.000  0.000  0.000  0.280  0.000  0.000  0.000   3.15   0.00   0.00      0      0    172.9   0.48   0.00   0.64    2.70    2.85    1.93    1.54    0.70    0.02    0.00    0.00      0      0      0       0      23 13.80
 2017 184   235    46   12.0      3   1.09    641     76      0    569    718    718      0    0.0  0.000      0      0  0.000  0.000  0.000  0.160  0.000  0.000  0.000   3.12   0.00   0.00      0      0    169.6   0.53   0.00   0.65    2.79    2.99    2.01    1.61    0.76    0.03    0.00    0.00      0      0      0       0      25 12.25
 2017 185   236    47   12.0      3   1.22    737    106      0    578    843    843      0    0.0  0.000      0      0  0.000  0.000  0.000  0.064  0.000  0.000  0.000   3.08   0.00   0.00      0      0    165.1   0.59   0.00   0.67    2.81    3.02    2.04    1.63    0.79    0.04    0.00    0.00      0      0      0       0      28 16.50
 2017 186   237    48   12.0      3   1.33    826    138      0    595    964    964      0    0.0  0.000      0      0  0.000  0.000  0.000  0.015  0.000  0.000  0.000   3.04   0.00   0.00      0      0    161.5   0.65   0.00   0.68    2.85    3.09    2.07    1.67    0.84    0.05    0.00    0.00      0      0      0       0      31 14.20
 2017 187   238    49   12.0      3   1.46    926    179      0    606   1105   1105      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.00   0.00   0.00      0      0    158.0   0.71   0.00   0.69    2.87    3.13    2.09    1.69    0.88    0.07    0.00    0.00      0      0      0       0      34 15.35
 2017 188   239    50   13.0      3   1.60   1031    228      0    616   1259   1259      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.94   0.00   0.00      0      0    154.7   0.77   0.00   0.71    2.86    3.13    2.08    1.71    0.93    0.10    0.00    0.00      0      0      0       0      37 15.75
 2017 189   240    51   13.0      3   1.73   1140    287      0    622   1427   1427      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.82   0.00   0.00      0      0    151.8   0.84   0.00   0.73    2.86    3.12    2.08    1.70    0.96    0.13    0.00    0.00      0      0      0       0      40 18.95
 2017 190   241    52   13.0      3   1.85   1238    345      0    638   1583   1583      0    0.0  0.000      0      0  0.000  0.000  0.000  0.014  0.000  0.000  0.000   2.72   0.00   0.00      0      0    149.4   0.89   0.00   0.74    2.86    3.13    2.08    1.70    1.01    0.21    0.00    0.00      0      0      0       0      43 14.25
 2017 191   242    53   14.0      3   1.95   1324    402      0    664   1726   1726      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.64   0.00   0.00      0      0    147.4   0.94   0.00   0.75    2.88    3.14    2.09    1.71    1.07    0.33    0.00    0.00      0      0      0       0      46 12.25
 2017 192   243    54   14.0      3   2.10   1453    459      0    671   1912   1912      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.51   0.00   0.00      0      0    144.7   1.02   0.00   0.77    2.88    3.14    2.09    1.71    1.08    0.38    0.00    0.00      0      0      0       0      50 15.60
 2017 193   244    55   14.0      3   2.21   1543    560      0    679   2104   2104      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.38   0.00   0.00      0      0    143.0   1.07   0.00   0.78    2.88    3.14    2.09    1.71    1.07    0.43    0.00    0.00      0      0      0       0      53 15.85
 2017 194   245    56   15.0      3   2.27   1619    675      0    686   2294   2294      0    0.0  0.000      0      0  0.000  0.000  0.024  0.204  0.000  0.000  0.000   2.25   0.00   0.00      0      0    140.4   1.10   0.00   0.80    2.88    3.14    2.09    1.70    1.07    0.48    0.00    0.00      0      0      0       0      56 15.85
 2017 195   246    57   15.0      3   2.30   1683    789      0    697   2472   2475      0    0.0  0.000      3      0  0.000  0.000  0.047  0.475  0.000  0.000  0.000   2.16   0.00   0.00      0      3    136.9   1.11   0.00   0.81    2.88    3.14    2.09    1.71    1.07    0.54    0.00    0.00      0      0      0       0      60 16.80
