*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2017 084   135   0.000    0.00       0    0.00
 2017 085   136   0.000    0.00       0    0.00
 2017 086   137   0.000    0.00       0    0.00
 2017 087   138   0.000    0.00       0    0.00
 2017 088   139   0.000    0.00       0    0.00
 2017 089   140   0.000    0.00       0    0.00
 2017 090   141   0.000    0.00       0    0.00
 2017 091   142   0.000    0.00       0    0.00
 2017 092   143   0.000    0.00       0    0.00
 2017 093   144   0.000    0.00       0    0.00
 2017 094   145   0.000    0.00       0    0.00
 2017 095   146   0.000    0.00       0    0.00
 2017 096   147   0.000    0.00       0    0.00
 2017 097   148   0.000    0.00       0    0.00
 2017 098   149   0.000    0.00       0    0.00
 2017 099   150   0.000    0.00       0    0.00
 2017 100   151   0.000    0.00       0    0.00
 2017 101   152   0.000    0.00       0    0.00
 2017 102   153   0.000    0.00       0    0.00
 2017 103   154   0.000    0.00       0    0.00
 2017 104   155   0.000    0.00       0    0.00
 2017 105   156   0.000    0.00       0    0.00
 2017 106   157   0.000    0.00       0    0.00
 2017 107   158   0.000    0.00       0    0.00
 2017 108   159   0.000    0.00       0    0.00
 2017 109   160   0.000    0.00       0    0.00
 2017 110   161   0.000    0.00       0    0.00
 2017 111   162   0.000    0.00       0    0.00
 2017 112   163   0.000    0.00       0    0.00
 2017 113   164   0.000    0.00       0    0.00
 2017 114   165   0.000    0.00       0    0.00
 2017 115   166   0.000    0.00       0    0.00
 2017 116   167   0.000    0.00       0    0.00
 2017 117   168   0.000    0.00       0    0.00
 2017 118   169   0.000    0.00       0    0.00
 2017 119   170   0.000    0.00       0    0.00
 2017 120   171   0.000    0.00       0    0.00
 2017 121   172   0.000    0.00       0    0.00
 2017 122   173   0.000    0.00       0    0.00
 2017 123   174   0.000    0.00       0    0.00
 2017 124   175   0.000    0.00       0    0.00
 2017 125   176   0.000    0.00       0    0.00
 2017 126   177   0.000    0.00       0    0.00
 2017 127   178   0.000    0.00       0    0.00
 2017 128   179   0.000    0.00       0    0.00
 2017 129   180   0.000    0.00       0    0.00
