*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2017 185   236    47   25.9    0.0   25.9   0.00   3.08   31.0   22.7    3.3    3.1   3.08   1.08    0.00    0.33
 2017 186   237    48   29.3    0.0   29.3   0.00   3.04   34.7   25.1    4.2    3.0   3.04   1.10    0.00    0.36
 2017 187   238    49   33.2    0.0   33.2   0.00   3.00   38.6   27.8    5.4    3.0   3.00   1.09    0.00    0.39
 2017 188   239    50   37.0    0.0   37.0   0.00   2.94   42.5   30.3    6.7    2.9   2.94   1.08    0.00    0.43
 2017 189   240    51   40.2    0.0   40.2   0.00   2.82   45.8   32.1    8.1    2.8   2.82   1.08    0.00    0.46
 2017 190   241    52   43.1    0.0   43.1   0.00   2.72   48.9   33.7    9.4    2.7   2.72   1.07    0.00    0.49
 2017 191   242    53   45.6    0.0   45.6   0.00   2.64   51.6   35.0   10.6    2.6   2.64   1.06    0.00    0.53
 2017 192   243    54   47.9    0.0   47.9   0.00   2.51   54.1   36.4   11.5    2.5   2.51   1.06    0.00    0.56
 2017 193   244    55   50.0    0.0   50.0   0.00   2.38   56.2   36.7   13.3    2.4   2.38   1.05    0.00    0.60
 2017 194   245    56   51.7    0.0   51.7   0.00   2.25   58.0   36.5   15.2    2.3   2.25   1.05    0.00    0.63
 2017 195   246    57   53.3    0.0   53.3   0.00   2.16   59.6   36.3   17.0    2.2   2.16   1.03    0.00    0.67
 2017 196   247    58   54.6    0.0   54.6   0.00   2.08   61.0   36.1   18.5    2.1   2.08   1.01    0.00    0.70
 2017 197   248    59   55.7    0.0   55.7   0.00   2.03   62.2   36.1   19.7    2.0   2.03   0.97    0.00    0.74
 2017 198   249    60   56.8    0.0   56.8   0.00   1.97   63.4   35.8   21.0    2.0   1.97   0.96    0.00    0.78
 2017 199   250    61   57.7    0.0   57.7   0.00   1.92   64.4   35.6   22.0    1.9   1.92   0.93    0.00    0.81
 2017 200   251    62   58.5    0.0   58.5   0.00   1.86   65.3   35.2   23.2    1.9   1.86   0.92    0.00    0.85
 2017 201   252    63   59.3    0.0   59.3   0.00   1.79   66.1   34.8   24.5    1.8   1.79   0.91    0.00    0.89
 2017 202   253    64   59.9    0.0   59.9   0.00   1.74   66.8   34.4   25.5    1.7   1.74   0.91    0.00    0.93
 2017 203   254    65   60.5    0.0   60.5   0.00   1.69   67.5   34.0   26.5    1.7   1.69   0.91    0.00    0.96
 2017 204   255    66   61.0    0.0   61.0   0.00   1.67   68.1   34.1   26.9    1.7   1.67   0.88    0.00    1.00
 2017 205   256    67   62.0    0.0   62.0   0.00   1.66   69.2   34.4   27.7    1.7   1.66   0.86    0.00    1.04
 2017 206   257    68   63.2    0.0   63.2   0.00   1.65   70.5   34.7   28.5    1.6   1.65   0.87    0.00    1.08
 2017 207   258    69   64.3    0.0   64.3   0.00   1.65   71.7   35.2   29.2    1.7   1.65   0.86    0.00    1.12
 2017 208   259    70   65.6    0.0   65.6   0.00   1.65   73.1   35.6   29.9    1.6   1.65   0.86    0.00    1.16
 2017 209   260    71   66.7    0.0   66.7   0.00   1.65   74.3   36.2   30.5    1.7   1.65   0.86    0.00    1.20
 2017 210   261    72   67.7    0.0   67.7   0.00   1.66   75.5   36.8   30.9    1.7   1.66   0.87    0.00    1.24
 2017 211   262    73   68.8    0.0   68.8   0.00   1.66   76.6   37.4   31.3    1.7   1.66   0.87    0.00    1.28
 2017 212   263    74   69.7    0.0   69.7   0.00   1.66   77.7   37.1   32.7    1.7   1.66   0.88    0.00    1.32
 2017 213   264    75   70.7    0.0   70.7   0.00   1.67   78.8   36.7   33.9    1.7   1.67   0.88    0.00    1.36
 2017 214   265    76   71.5    0.0   71.5   0.00   1.68   79.7   36.4   35.1    1.7   1.68   0.89    0.00    1.40
 2017 215   266    77   72.2    0.0   72.2   0.00   1.68   80.5   36.0   36.2    1.7   1.68   0.89    0.00    1.44
 2017 216   267    78   72.9    0.0   72.9   0.00   1.69   81.3   35.7   37.3    1.7   1.69   0.90    0.00    1.48
 2017 217   268    79   73.6    0.0   73.6   0.00   1.70   82.1   35.3   38.3    1.7   1.70   0.90    0.00    1.53
 2017 218   269    80   74.3    0.0   74.3   0.00   1.72   82.9   35.0   39.3    1.7   1.72   0.91    0.00    1.57
 2017 219   270    81   74.9    0.0   74.9   0.00   1.73   83.6   34.6   40.3    1.7   1.73   0.92    0.00    1.61
 2017 220   271    82   75.5    0.0   75.5   0.00   1.75   84.3   34.2   41.3    1.7   1.75   0.92    0.00    1.65
 2017 221   272    83   76.1    0.0   76.1   0.00   1.76   85.0   33.9   42.2    1.8   1.76   0.93    0.00    1.70
 2017 222   273    84   76.6    0.0   76.6   0.00   1.78   85.7   33.5   43.1    1.8   1.78   0.94    0.00    1.74
