*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2017 256   307    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      19       1       1       2      90      16      28      12       6      27    8767    1126    2017    1529     774    3321    0.00    4.03    1.01    2.10    0.26    0.21    0.45    0.00    1.30    0.15    0.36    0.22    0.18    0.40    0.00    2.73    0.86    1.74    0.04    0.03    0.06       0
 2017 257   308    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      19       1       1       2      90      16      28      12       6      27    8767    1126    2017    1529     774    3321    0.00    4.03    1.01    2.10    0.26    0.21    0.46    0.00    1.31    0.15    0.36    0.22    0.18    0.40    0.00    2.72    0.85    1.74    0.04    0.03    0.06       0
 2017 258   309    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      19       1       1       2      90      16      28      12       6      27    8767    1126    2017    1529     774    3321    0.00    4.04    1.01    2.09    0.26    0.21    0.47    0.00    1.32    0.15    0.35    0.22    0.18    0.41    0.00    2.72    0.85    1.74    0.04    0.03    0.06       0
 2017 259   310    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      19       1       1       2      90      16      28      12       6      27    8767    1126    2017    1529     774    3321    0.00    4.04    1.01    2.08    0.26    0.21    0.47    0.00    1.32    0.16    0.35    0.22    0.18    0.41    0.00    2.72    0.85    1.73    0.04    0.03    0.06       0
 2017 260   311    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      19       1       1       2      90      16      29      12       6      27    8767    1126    2017    1529     774    3321    0.00    4.05    1.01    2.08    0.26    0.22    0.48    0.00    1.33    0.16    0.35    0.22    0.18    0.42    0.00    2.72    0.85    1.73    0.04    0.03    0.06       0
 2017 261   312    3728   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      32       9      18       1       1       2      90      16      29      12       6      27    8766    1126    2017    1529     774    3321    0.00    4.04    1.01    2.07    0.26    0.22    0.48    0.00    1.33    0.16    0.34    0.22    0.18    0.42    0.00    2.72    0.85    1.73    0.04    0.03    0.06       0
 2017 262   313    3727   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      31       9      18       1       1       2      90      16      29      12       6      27    8766    1126    2017    1529     774    3321    0.00    4.04    1.01    2.06    0.27    0.22    0.48    0.00    1.33    0.16    0.34    0.22    0.18    0.42    0.00    2.72    0.85    1.72    0.04    0.03    0.06       0
 2017 263   314    3727   0.133    1549   0.055    8892       0    8892    1151    2066    1543     781    3351       0      31       9      18       1       1       2      90      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    4.04    1.02    2.05    0.27    0.22    0.49    0.00    1.32    0.16    0.33    0.22    0.18    0.42    0.00    2.71    0.85    1.72    0.04    0.03    0.06       0
 2017 264   315    3727   0.133    1549   0.055    8892       0    8892    1151    2065    1543     781    3351       0      31       9      18       1       1       3      90      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    4.03    1.01    2.04    0.27    0.22    0.49    0.00    1.32    0.16    0.33    0.22    0.18    0.42    0.00    2.71    0.85    1.72    0.04    0.03    0.06       0
 2017 265   316    3727   0.133    1549   0.055    8892       0    8892    1151    2065    1543     781    3351       0      31       8      18       1       1       3      90      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    4.02    1.01    2.04    0.27    0.22    0.49    0.00    1.31    0.16    0.32    0.22    0.18    0.42    0.00    2.71    0.85    1.71    0.04    0.03    0.07       0
 2017 266   317    3727   0.133    1549   0.055    8892       0    8892    1151    2065    1543     781    3351       0      31       8      18       1       1       3      90      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    4.01    1.01    2.03    0.26    0.22    0.49    0.00    1.31    0.16    0.32    0.22    0.18    0.42    0.00    2.70    0.85    1.71    0.04    0.03    0.07       0
 2017 267   318    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      31       8      18       1       1       3      90      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    4.00    1.01    2.02    0.26    0.22    0.49    0.00    1.30    0.16    0.31    0.22    0.18    0.42    0.00    2.70    0.85    1.71    0.04    0.04    0.07       0
 2017 268   319    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      31       8      18       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.99    1.01    2.01    0.26    0.22    0.49    0.00    1.29    0.16    0.31    0.22    0.18    0.42    0.00    2.70    0.85    1.70    0.04    0.04    0.07       0
 2017 269   320    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      31       8      18       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.98    1.01    2.00    0.26    0.22    0.49    0.00    1.28    0.17    0.30    0.22    0.18    0.42    0.00    2.70    0.85    1.70    0.04    0.04    0.07       0
 2017 270   321    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      31       8      18       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.97    1.01    1.99    0.26    0.21    0.49    0.00    1.27    0.17    0.29    0.21    0.18    0.42    0.00    2.69    0.85    1.70    0.04    0.04    0.07       0
 2017 271   322    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      31       8      17       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.95    1.02    1.98    0.26    0.21    0.49    0.00    1.26    0.17    0.29    0.21    0.18    0.42    0.00    2.69    0.85    1.69    0.05    0.04    0.07       0
 2017 272   323    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.94    1.02    1.97    0.26    0.21    0.49    0.00    1.26    0.17    0.28    0.21    0.18    0.42    0.00    2.69    0.85    1.69    0.05    0.04    0.07       0
 2017 273   324    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8766    1126    2016    1529     774    3321    0.00    3.94    1.02    1.97    0.26    0.21    0.49    0.00    1.26    0.17    0.28    0.21    0.18    0.42    0.00    2.69    0.85    1.69    0.05    0.04    0.07       0
 2017 274   325    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8765    1126    2016    1529     774    3321    0.00    3.95    1.02    1.96    0.26    0.21    0.49    0.00    1.26    0.18    0.28    0.21    0.18    0.42    0.00    2.68    0.85    1.68    0.05    0.04    0.07       0
 2017 275   326    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.95    1.03    1.96    0.26    0.21    0.49    0.00    1.27    0.18    0.28    0.21    0.18    0.42    0.00    2.68    0.85    1.68    0.05    0.04    0.07       0
 2017 276   327    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.97    1.03    1.96    0.26    0.22    0.50    0.00    1.28    0.19    0.28    0.21    0.18    0.42    0.00    2.68    0.85    1.68    0.05    0.04    0.07       0
 2017 277   328    3727   0.133    1549   0.055    8891       0    8891    1151    2065    1543     781    3351       0      30       8      17       1       1       3      91      16      29      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.94    1.03    1.95    0.26    0.21    0.49    0.00    1.26    0.19    0.28    0.21    0.17    0.41    0.00    2.68    0.85    1.68    0.05    0.04    0.07       0
 2017 278   329    3727   0.133    1549   0.055    8890       0    8890    1151    2065    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.91    1.03    1.94    0.25    0.21    0.48    0.00    1.23    0.19    0.27    0.20    0.17    0.40    0.00    2.68    0.85    1.68    0.05    0.04    0.07       0
 2017 279   330    3726   0.133    1549   0.055    8890       0    8890    1151    2065    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.88    1.03    1.94    0.24    0.20    0.46    0.00    1.20    0.19    0.26    0.20    0.17    0.39    0.00    2.68    0.85    1.67    0.05    0.04    0.07       0
 2017 280   331    3726   0.133    1549   0.055    8890       0    8890    1151    2065    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.85    1.03    1.93    0.24    0.20    0.45    0.00    1.17    0.18    0.26    0.19    0.16    0.38    0.00    2.67    0.85    1.67    0.05    0.04    0.07       0
 2017 281   332    3726   0.133    1549   0.055    8890       0    8890    1151    2065    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.82    1.03    1.92    0.23    0.19    0.44    0.00    1.14    0.18    0.25    0.19    0.16    0.37    0.00    2.67    0.85    1.67    0.05    0.04    0.07       0
 2017 282   333    3726   0.133    1549   0.055    8890       0    8890    1151    2065    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.78    1.02    1.91    0.23    0.19    0.43    0.00    1.11    0.18    0.24    0.18    0.15    0.36    0.00    2.67    0.85    1.67    0.05    0.04    0.07       0
 2017 283   334    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.74    1.02    1.90    0.22    0.18    0.42    0.00    1.08    0.17    0.24    0.17    0.15    0.35    0.00    2.66    0.84    1.67    0.05    0.04    0.07       0
 2017 284   335    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.71    1.01    1.89    0.22    0.18    0.41    0.00    1.05    0.17    0.23    0.17    0.14    0.34    0.00    2.66    0.84    1.66    0.05    0.04    0.07       0
 2017 285   336    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      17       1       1       3      91      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.67    1.00    1.89    0.21    0.17    0.40    0.00    1.02    0.16    0.23    0.16    0.14    0.33    0.00    2.65    0.84    1.66    0.05    0.04    0.07       0
 2017 286   337    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      17       1       1       3      92      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.65    1.00    1.88    0.21    0.17    0.39    0.00    1.00    0.16    0.22    0.16    0.13    0.32    0.00    2.65    0.84    1.66    0.05    0.04    0.07       0
 2017 287   338    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      17       1       1       3      92      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.62    0.99    1.87    0.20    0.17    0.39    0.00    0.97    0.15    0.22    0.16    0.13    0.31    0.00    2.65    0.84    1.66    0.05    0.04    0.07       0
 2017 288   339    3726   0.133    1549   0.055    8890       0    8890    1151    2064    1542     781    3351       0      30       8      16       1       1       3      92      16      30      12       6      27    8765    1126    2016    1528     774    3321    0.00    3.60    0.99    1.87    0.20    0.16    0.38    0.00    0.95    0.15    0.21    0.15    0.13    0.31    0.00    2.65    0.84    1.66    0.05    0.04    0.07       0
