*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2017 152   203       0   13161   63897       0   63897   63255   641.4    0.00  1836.5  8905.3    0.00  8905.3  8894.4   10.98
 2017 153   204       0   13163   63891       0   63891   63258   633.4    0.00  1836.6  8905.2    0.00  8905.2  8894.5   10.71
 2017 154   205       0   13164   63886       0   63886   63261   625.3    0.00  1836.7  8905.1    0.00  8905.1  8894.6   10.45
 2017 155   206       0   13166   63881       0   63881   63263   617.3    0.00  1836.8  8904.9    0.00  8904.9  8894.7   10.18
 2017 156   207       0   13168   63875       0   63875   63266   608.9    0.00  1836.9  8904.8    0.00  8904.8  8894.9    9.91
 2017 157   208       0   13170   63869       0   63869   63269   599.7    0.00  1837.0  8904.6    0.00  8904.6  8895.0    9.61
 2017 158   209       0   13172   63862       0   63862   63272   589.8    0.00  1837.2  8904.4    0.00  8904.4  8895.2    9.29
 2017 159   210       0   13175   63855       0   63855   63275   580.0    0.00  1837.3  8904.3    0.00  8904.3  8895.3    8.97
 2017 160   211       0   13176   63849       0   63849   63278   570.8    0.00  1837.4  8904.1    0.00  8904.1  8895.4    8.68
 2017 161   212       0   13178   63843       0   63843   63281   562.6    0.00  1837.5  8903.9    0.00  8903.9  8895.5    8.42
 2017 162   213       0   13180   63838       0   63838   63283   554.7    0.00  1837.5  8903.8    0.00  8903.8  8895.6    8.17
 2017 163   214       0   13181   63833       0   63833   63285   547.5    0.00  1837.6  8903.6    0.00  8903.6  8895.7    7.95
 2017 164   215       0   13183   63828       0   63828   63287   540.3    0.00  1837.7  8903.5    0.00  8903.5  8895.8    7.72
 2017 165   216       0   13184   63822       0   63822   63289   532.8    0.00  1837.7  8903.3    0.00  8903.3  8895.8    7.49
 2017 166   217       0   13186   63816       0   63816   63291   525.1    0.00  1837.8  8903.1    0.00  8903.1  8895.9    7.26
 2017 167   218       0   13187   63811       0   63811   63293   517.5    0.00  1837.9  8902.9    0.00  8902.9  8895.9    7.03
 2017 168   219       0   13189   63805       0   63805   63296   509.0    0.00  1837.9  8902.7    0.00  8902.7  8896.0    6.77
 2017 169   220       0   13190   63800       0   63800   63297   503.5    0.00  1838.0  8902.6    0.00  8902.6  8896.0    6.61
 2017 170   221       0   13191   63796       0   63796   63298   498.4    0.00  1838.0  8902.4    0.00  8902.4  8896.0    6.46
 2017 171   222       0   13192   63793       0   63793   63299   493.7    0.00  1838.0  8902.3    0.00  8902.3  8896.0    6.32
 2017 172   223       0   13192   63790       0   63790   63300   489.3    0.00  1838.0  8902.1    0.00  8902.1  8895.9    6.20
 2017 173   224       0   13193   63786       0   63786   63301   485.2    0.00  1838.0  8902.0    0.00  8902.0  8895.9    6.08
 2017 174   225       0   13194   63784       0   63784   63302   482.0    0.00  1838.1  8901.9    0.00  8901.9  8895.9    5.99
 2017 175   226       0   13194   63781       0   63781   63303   478.6    0.00  1838.1  8901.8    0.00  8901.8  8895.9    5.90
 2017 176   227       0   13195   63779       0   63779   63303   475.8    0.00  1838.1  8901.6    0.00  8901.6  8895.8    5.82
 2017 177   228       0   13195   63777       0   63777   63304   472.7    0.00  1838.1  8901.5    0.00  8901.5  8895.8    5.73
 2017 178   229       0   13196   63774       0   63774   63305   469.5    0.00  1838.1  8901.4    0.00  8901.4  8895.7    5.65
 2017 179   230       0   13197   63772       0   63772   63305   466.4    0.00  1838.1  8901.2    0.00  8901.2  8895.7    5.56
 2017 180   231       0   13197   63770       0   63770   63306   463.5    0.00  1838.1  8901.1    0.00  8901.1  8895.6    5.48
 2017 181   232       0   13198   63768       0   63768   63307   460.9    0.00  1838.1  8901.0    0.00  8901.0  8895.6    5.42
 2017 182   233       0   13198   63767       0   63767   63307   459.6    0.00  1838.0  8900.9    0.00  8900.9  8895.6    5.38
 2017 183   234       0   13198   63766       0   63766   63307   458.2    0.00  1838.0  8900.9    0.00  8900.9  8895.5    5.35
 2017 184   235       0   13199   63764       0   63764   63308   456.3    0.00  1838.0  8900.7    0.00  8900.7  8895.4    5.30
 2017 185   236       0   13199   63763       0   63763   63309   454.0    0.00  1838.0  8900.6    0.00  8900.6  8895.4    5.24
 2017 186   237       0   13200   63760       0   63760   63309   451.2    0.00  1838.0  8900.5    0.00  8900.5  8895.3    5.17
 2017 187   238       0   13200   63758       0   63758   63310   448.3    0.00  1838.0  8900.3    0.00  8900.3  8895.2    5.09
 2017 188   239       0   13201   63756       0   63756   63311   445.1    0.00  1837.9  8900.1    0.00  8900.1  8895.1    5.01
 2017 189   240       0   13201   63753       0   63753   63311   442.1    0.00  1837.9  8899.9    0.00  8899.9  8895.0    4.94
 2017 190   241       0   13202   63750       0   63750   63312   438.7    0.00  1837.9  8899.7    0.00  8899.7  8894.9    4.85
 2017 191   242       0   13203   63748       0   63748   63312   435.4    0.00  1837.8  8899.5    0.00  8899.5  8894.7    4.77
 2017 192   243       0   13203   63745       0   63745   63313   432.3    0.00  1837.8  8899.3    0.00  8899.3  8894.6    4.70
 2017 193   244       0   13203   63744       0   63744   63313   430.9    0.00  1837.7  8899.2    0.00  8899.2  8894.5    4.67
 2017 194   245       0   13204   63743       0   63743   63314   429.6    0.00  1837.7  8899.0    0.00  8899.0  8894.4    4.63
 2017 195   246       0   13204   63742       0   63742   63314   428.0    0.00  1837.7  8898.9    0.00  8898.9  8894.3    4.60
 2017 196   247       0   13204   63741       0   63741   63314   427.0    0.00  1837.6  8898.8    0.00  8898.8  8894.2    4.58
 2017 197   248       0   13205   63740       0   63740   63314   425.8    0.00  1837.6  8898.7    0.00  8898.7  8894.1    4.55
 2017 198   249       0   13205   63739       0   63739   63315   424.6    0.00  1837.6  8898.5    0.00  8898.5  8894.0    4.53
 2017 199   250       0   13205   63739       0   63739   63315   424.0    0.00  1837.5  8898.4    0.00  8898.4  8893.9    4.51
 2017 200   251       0   13205   63738       0   63738   63315   423.3    0.00  1837.5  8898.3    0.00  8898.3  8893.8    4.49
 2017 201   252       0   13205   63738       0   63738   63315   422.5    0.00  1837.5  8898.2    0.00  8898.2  8893.8    4.48
 2017 202   253       0   13206   63737       0   63737   63315   421.5    0.00  1837.5  8898.1    0.00  8898.1  8893.7    4.45
 2017 203   254       0   13206   63736       0   63736   63316   420.9    0.00  1837.4  8898.0    0.00  8898.0  8893.6    4.44
 2017 204   255       0   13206   63736       0   63736   63316   420.2    0.00  1837.4  8897.9    0.00  8897.9  8893.5    4.42
 2017 205   256       0   13206   63735       0   63735   63316   419.4    0.00  1837.4  8897.8    0.00  8897.8  8893.4    4.40
 2017 206   257       0   13207   63735       0   63735   63316   418.5    0.00  1837.3  8897.7    0.00  8897.7  8893.3    4.38
 2017 207   258       0   13207   63734       0   63734   63317   417.3    0.00  1837.3  8897.5    0.00  8897.5  8893.2    4.36
 2017 208   259       0   13207   63733       0   63733   63317   416.2    0.00  1837.2  8897.4    0.00  8897.4  8893.1    4.33
 2017 209   260       0   13207   63732       0   63732   63317   415.1    0.00  1837.2  8897.3    0.00  8897.3  8893.0    4.31
 2017 210   261       0   13207   63732       0   63732   63317   414.7    0.00  1837.2  8897.2    0.00  8897.2  8892.9    4.29
 2017 211   262       0   13208   63732       0   63732   63317   414.1    0.00  1837.1  8897.1    0.00  8897.1  8892.8    4.28
 2017 212   263       0   13208   63731       0   63731   63318   413.6    0.00  1837.1  8896.9    0.00  8896.9  8892.7    4.27
 2017 213   264       0   13208   63731       0   63731   63318   412.8    0.00  1837.1  8896.8    0.00  8896.8  8892.6    4.26
 2017 214   265       0   13208   63730       0   63730   63318   411.9    0.00  1837.0  8896.7    0.00  8896.7  8892.5    4.24
 2017 215   266       0   13208   63729       0   63729   63318   410.8    0.00  1837.0  8896.6    0.00  8896.6  8892.4    4.22
 2017 216   267       0   13209   63728       0   63728   63319   409.5    0.00  1836.9  8896.4    0.00  8896.4  8892.2    4.19
 2017 217   268       0   13209   63727       0   63727   63319   408.1    0.00  1836.9  8896.3    0.00  8896.3  8892.1    4.17
 2017 218   269       0   13209   63726       0   63726   63319   406.5    0.00  1836.8  8896.1    0.00  8896.1  8892.0    4.14
 2017 219   270       0   13209   63725       0   63725   63319   405.0    0.00  1836.7  8896.0    0.00  8896.0  8891.8    4.11
 2017 220   271       0   13209   63723       0   63723   63320   403.7    0.00  1836.7  8895.8    0.00  8895.8  8891.7    4.09
 2017 221   272       0   13209   63723       0   63723   63320   402.7    0.00  1836.6  8895.7    0.00  8895.7  8891.6    4.08
 2017 222   273       0   13210   63722       0   63722   63320   401.9    0.00  1836.6  8895.6    0.00  8895.6  8891.5    4.06
 2017 223   274       0   13210   63722       0   63722   63320   401.2    0.00  1836.6  8895.4    0.00  8895.4  8891.4    4.06
 2017 224   275       0   13210   63721       0   63721   63321   400.4    0.00  1836.5  8895.3    0.00  8895.3  8891.3    4.05
 2017 225   276       0   13210   63720       0   63720   63321   399.5    0.00  1836.5  8895.2    0.00  8895.2  8891.2    4.04
 2017 226   277       0   13210   63720       0   63720   63321   398.6    0.00  1836.4  8895.1    0.00  8895.1  8891.1    4.03
 2017 227   278       0   13210   63719       0   63719   63321   397.9    0.00  1836.4  8895.0    0.00  8895.0  8891.0    4.02
 2017 228   279       0   13210   63719       0   63719   63321   397.2    0.00  1836.3  8894.9    0.00  8894.9  8890.8    4.01
 2017 229   280       0   13210   63718       0   63718   63322   396.5    0.00  1836.3  8894.8    0.00  8894.8  8890.7    4.01
 2017 230   281       0   13211   63718       0   63718   63322   395.8    0.00  1836.2  8894.6    0.00  8894.6  8890.6    4.00
 2017 231   282       0   13211   63717       0   63717   63322   395.4    0.00  1836.2  8894.6    0.00  8894.6  8890.6    4.00
 2017 232   283       0   13211   63717       0   63717   63322   394.7    0.00  1836.2  8894.5    0.00  8894.5  8890.5    4.00
 2017 233   284       0   13211   63716       0   63716   63322   393.7    0.00  1836.1  8894.3    0.00  8894.3  8890.3    3.99
 2017 234   285       0   13211   63715       0   63715   63323   392.7    0.00  1836.1  8894.2    0.00  8894.2  8890.2    3.98
 2017 235   286       0   13211   63715       0   63715   63323   392.1    0.00  1836.1  8894.1    0.00  8894.1  8890.1    3.97
 2017 236   287       0   13211   63715       0   63715   63323   391.6    0.00  1836.0  8894.0    0.00  8894.0  8890.0    3.97
 2017 237   288       0   13211   63714       0   63714   63323   391.1    0.00  1836.0  8893.9    0.00  8893.9  8889.9    3.97
 2017 238   289       0   13211   63714       0   63714   63323   390.4    0.00  1835.9  8893.8    0.00  8893.8  8889.9    3.97
 2017 239   290       0   13211   63713       0   63713   63324   389.8    0.00  1835.9  8893.7    0.00  8893.7  8889.8    3.96
 2017 240   291       0   13211   63713       0   63713   63324   389.3    0.00  1835.9  8893.6    0.00  8893.6  8889.7    3.96
 2017 241   292       0   13211   63713       0   63713   63324   388.9    0.00  1835.8  8893.5    0.00  8893.5  8889.6    3.97
 2017 242   293       0   13212   63713       0   63713   63324   388.9    0.00  1835.8  8893.5    0.00  8893.5  8889.5    3.98
 2017 243   294       0   13212   63713       0   63713   63324   388.9    0.00  1835.8  8893.4    0.00  8893.4  8889.4    3.98
 2017 244   295       0   13212   63713       0   63713   63324   388.6    0.00  1835.8  8893.4    0.00  8893.4  8889.4    3.99
 2017 245   296       0   13212   63713       0   63713   63325   388.3    0.00  1835.7  8893.3    0.00  8893.3  8889.3    3.99
 2017 246   297       0   13212   63713       0   63713   63325   387.8    0.00  1835.7  8893.2    0.00  8893.2  8889.2    3.99
 2017 247   298       0   13212   63712       0   63712   63325   387.4    0.00  1835.7  8893.1    0.00  8893.1  8889.1    4.00
 2017 248   299       0   13212   63712       0   63712   63325   387.0    0.00  1835.6  8893.0    0.00  8893.0  8889.0    4.00
 2017 249   300       0   13212   63712       0   63712   63325   386.4    0.00  1835.6  8892.9    0.00  8892.9  8888.9    4.00
 2017 250   301       0   13212   63711       0   63711   63325   385.7    0.00  1835.6  8892.8    0.00  8892.8  8888.8    4.00
 2017 251   302       0   13212   63711       0   63711   63326   385.2    0.00  1835.5  8892.8    0.00  8892.8  8888.8    4.00
 2017 252   303       0   13212   63710       0   63710   63326   384.7    0.00  1835.5  8892.7    0.00  8892.7  8888.7    4.00
 2017 253   304       0   13212   63710       0   63710   63326   384.2    0.00  1835.4  8892.6    0.00  8892.6  8888.6    4.01
 2017 254   305       0   13212   63710       0   63710   63326   383.8    0.00  1835.4  8892.5    0.00  8892.5  8888.5    4.01
 2017 255   306       0   13212   63710       0   63710   63326   383.5    0.00  1835.4  8892.5    0.00  8892.5  8888.4    4.02
 2017 256   307       0   13213   63710       0   63710   63326   383.3    0.00  1835.3  8892.4    0.00  8892.4  8888.4    4.03
 2017 257   308       0   13213   63710       0   63710   63327   382.9    0.00  1835.3  8892.3    0.00  8892.3  8888.3    4.03
 2017 258   309       0   13213   63709       0   63709   63327   382.6    0.00  1835.3  8892.2    0.00  8892.2  8888.2    4.04
 2017 259   310       0   13213   63709       0   63709   63327   382.2    0.00  1835.2  8892.2    0.00  8892.2  8888.1    4.04
 2017 260   311       0   13213   63709       0   63709   63327   381.8    0.00  1835.2  8892.1    0.00  8892.1  8888.1    4.05
 2017 261   312       0   13213   63709       0   63709   63327   381.2    0.00  1835.2  8892.0    0.00  8892.0  8888.0    4.04
 2017 262   313       0   13213   63708       0   63708   63328   380.5    0.00  1835.1  8891.9    0.00  8891.9  8887.9    4.04
 2017 263   314       0   13213   63708       0   63708   63328   379.8    0.00  1835.1  8891.8    0.00  8891.8  8887.8    4.04
 2017 264   315       0   13213   63707       0   63707   63328   378.8    0.00  1835.0  8891.7    0.00  8891.7  8887.7    4.03
 2017 265   316       0   13213   63706       0   63706   63328   377.8    0.00  1835.0  8891.6    0.00  8891.6  8887.6    4.02
 2017 266   317       0   13213   63705       0   63705   63328   376.9    0.00  1834.9  8891.5    0.00  8891.5  8887.5    4.01
 2017 267   318       0   13213   63705       0   63705   63329   375.9    0.00  1834.9  8891.4    0.00  8891.4  8887.4    4.00
 2017 268   319       0   13213   63704       0   63704   63329   374.9    0.00  1834.8  8891.3    0.00  8891.3  8887.3    3.99
 2017 269   320       0   13214   63703       0   63703   63329   373.7    0.00  1834.8  8891.2    0.00  8891.2  8887.2    3.98
 2017 270   321       0   13214   63702       0   63702   63329   372.6    0.00  1834.7  8891.1    0.00  8891.1  8887.1    3.97
 2017 271   322       0   13214   63701       0   63701   63330   371.5    0.00  1834.7  8891.0    0.00  8891.0  8887.0    3.95
 2017 272   323       0   13214   63700       0   63700   63330   370.6    0.00  1834.6  8890.9    0.00  8890.9  8886.9    3.94
 2017 273   324       0   13214   63700       0   63700   63330   370.0    0.00  1834.6  8890.8    0.00  8890.8  8886.8    3.94
 2017 274   325       0   13214   63700       0   63700   63330   369.7    0.00  1834.6  8890.7    0.00  8890.7  8886.8    3.95
 2017 275   326       0   13214   63700       0   63700   63330   369.6    0.00  1834.5  8890.7    0.00  8890.7  8886.7    3.95
 2017 276   327       0   13214   63700       0   63700   63330   369.8    0.00  1834.5  8890.6    0.00  8890.6  8886.6    3.97
 2017 277   328       0   13214   63699       0   63699   63330   368.6    0.00  1834.5  8890.5    0.00  8890.5  8886.6    3.94
 2017 278   329       0   13214   63698       0   63698   63330   367.3    0.00  1834.5  8890.5    0.00  8890.5  8886.6    3.91
 2017 279   330       0   13214   63696       0   63696   63330   365.9    0.00  1834.5  8890.4    0.00  8890.4  8886.5    3.88
 2017 280   331       0   13214   63695       0   63695   63331   364.6    0.00  1834.4  8890.3    0.00  8890.3  8886.4    3.85
 2017 281   332       0   13214   63694       0   63694   63331   363.2    0.00  1834.4  8890.2    0.00  8890.2  8886.4    3.82
 2017 282   333       0   13214   63692       0   63692   63331   361.4    0.00  1834.4  8890.1    0.00  8890.1  8886.3    3.78
 2017 283   334       0   13214   63690       0   63690   63331   359.7    0.00  1834.3  8890.0    0.00  8890.0  8886.2    3.74
 2017 284   335       0   13214   63689       0   63689   63331   358.0    0.00  1834.3  8889.9    0.00  8889.9  8886.2    3.71
 2017 285   336       0   13214   63687       0   63687   63331   356.4    0.00  1834.3  8889.8    0.00  8889.8  8886.1    3.67
 2017 286   337       0   13214   63686       0   63686   63331   355.1    0.00  1834.3  8889.7    0.00  8889.7  8886.0    3.65
 2017 287   338       0   13214   63685       0   63685   63331   353.9    0.00  1834.3  8889.6    0.00  8889.6  8886.0    3.62
 2017 288   339       0   13214   63684       0   63684   63331   352.8    0.00  1834.2  8889.5    0.00  8889.5  8885.9    3.60
