*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2016 363    48       0   12911   64494       0   64494   62844  1650.4    0.00  1818.5  8913.2    0.00  8913.2  8866.0   47.25
 2016 364    49       0   12913   64491       0   64491   62845  1645.9    0.00  1818.6  8913.2    0.00  8913.2  8866.1   47.09
 2016 365    50       0   12914   64489       0   64489   62847  1641.3    0.00  1818.7  8913.2    0.00  8913.2  8866.3   46.92
 2016 366    51       0   12915   64486       0   64486   62850  1636.3    0.00  1818.8  8913.2    0.00  8913.2  8866.5   46.73
 2017 001    52       0   12916   64483       0   64483   62852  1631.4    0.00  1818.9  8913.2    0.00  8913.2  8866.6   46.55
 2017 002    53       0   12917   64481       0   64481   62854  1627.0    0.00  1819.0  8913.2    0.00  8913.2  8866.8   46.39
 2017 003    54       0   12918   64478       0   64478   62855  1623.0    0.00  1819.1  8913.2    0.00  8913.2  8866.9   46.24
 2017 004    55       0   12920   64476       0   64476   62857  1618.7    0.00  1819.1  8913.1    0.00  8913.1  8867.1   46.08
 2017 005    56       0   12921   64473       0   64473   62859  1614.2    0.00  1819.2  8913.1    0.00  8913.1  8867.2   45.92
 2017 006    57       0   12922   64471       0   64471   62861  1609.9    0.00  1819.3  8913.1    0.00  8913.1  8867.4   45.76
 2017 007    58       0   12923   64469       0   64469   62863  1606.2    0.00  1819.4  8913.1    0.00  8913.1  8867.5   45.62
 2017 008    59       0   12924   64467       0   64467   62864  1603.0    0.00  1819.5  8913.1    0.00  8913.1  8867.6   45.50
