*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                  Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2016 328    13   26189   0.934   10981   0.388   28000   0.998   10981   0.388     64585       0   64585    8674   15681   10934    5538   23758       0     136      36      60      11       6      24    1194     154     275     208     105     452   61445    7889   14131   10716    5427   23283       0    1810     596    1214       0       0       0       0    1305     428     877       0       0       0       0     506     168     337       0       0       0       0       0      94
 2016 329    14   26193   0.934   10981   0.388   27995   0.998   10981   0.388     64580       0   64580    8673   15678   10934    5538   23758       0     139      37      62      11       6      24    1194     154     275     208     105     452   61445    7889   14131   10716    5427   23282       0    1802     593    1209       0       0       0       0    1297     425     872       0       0       0       0     505     168     337       0       0       0       0       0      98
 2016 330    15   26196   0.934   10981   0.388   27992   0.998   10981   0.388     64577       0   64577    8671   15676   10934    5538   23758       0     142      38      64      11       6      24    1194     154     275     208     105     452   61445    7889   14131   10716    5427   23282       0    1797     591    1206       0       0       0       0    1291     423     869       0       0       0       0     505     168     337       0       0       0       0       0     102
 2016 331    16   26197   0.934   10981   0.388   27990   0.998   10981   0.388     64575       0   64575    8670   15675   10934    5538   23758       0     143      39      65      11       6      23    1194     154     275     208     105     452   61445    7889   14131   10716    5427   23282       0    1792     589    1203       0       0       0       0    1287     421     866       0       0       0       0     505     168     337       0       0       0       0       0     104
 2016 332    17   26199   0.934   10981   0.388   27987   0.998   10981   0.388     64572       0   64572    8669   15673   10934    5538   23757       0     145      39      66      11       6      23    1194     154     275     208     105     452   61445    7889   14131   10715    5427   23282       0    1788     587    1200       0       0       0       0    1283     419     864       0       0       0       0     505     168     337       0       0       0       0       0     107
 2016 333    18   26202   0.934   10981   0.388   27984   0.998   10981   0.388     64569       0   64569    8668   15671   10934    5538   23757       0     148      40      68      11       6      23    1194     154     275     208     105     452   61445    7889   14131   10715    5427   23282       0    1782     585    1197       0       0       0       0    1278     417     860       0       0       0       0     505     168     337       0       0       0       0       0     110
 2016 334    19   26205   0.934   10981   0.388   27981   0.998   10981   0.388     64565       0   64565    8667   15669   10934    5538   23757       0     150      41      69      11       6      23    1194     154     275     208     105     452   61445    7889   14131   10715    5427   23282       0    1776     583    1194       0       0       0       0    1272     415     857       0       0       0       0     504     168     337       0       0       0       0       0     113
 2016 335    20   26209   0.934   10981   0.388   27975   0.997   10981   0.388     64560       0   64560    8666   15665   10934    5538   23757       0     155      42      72      11       6      23    1194     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1766     581    1186       0       0       0       0    1262     413     849       0       0       0       0     504     168     336       0       0       0       0       0     119
 2016 336    21   26212   0.934   10981   0.388   27972   0.997   10981   0.388     64556       0   64556    8664   15662   10934    5538   23757       0     158      43      74      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1760     578    1181       0       0       0       0    1256     411     845       0       0       0       0     504     168     336       0       0       0       0       0     123
 2016 337    22   26216   0.935   10981   0.388   27967   0.997   10981   0.388     64551       0   64551    8663   15659   10934    5538   23757       0     161      44      77      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1751     576    1176       0       0       0       0    1248     408     840       0       0       0       0     504     168     336       0       0       0       0       0     127
 2016 338    23   26219   0.935   10981   0.388   27963   0.997   10981   0.388     64547       0   64547    8661   15656   10934    5538   23757       0     165      46      79      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1743     573    1170       0       0       0       0    1240     405     834       0       0       0       0     503     168     336       0       0       0       0       0     132
 2016 339    24   26223   0.935   10981   0.388   27958   0.997   10981   0.388     64542       0   64542    8660   15653   10934    5538   23757       0     168      47      81      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1735     570    1165       0       0       0       0    1232     403     829       0       0       0       0     503     167     336       0       0       0       0       0     137
 2016 340    25   26227   0.935   10981   0.388   27954   0.997   10981   0.388     64538       0   64538    8658   15651   10934    5538   23757       0     172      48      84      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1727     567    1160       0       0       0       0    1224     400     824       0       0       0       0     503     167     336       0       0       0       0       0     141
 2016 341    26   26229   0.935   10981   0.388   27950   0.996   10981   0.388     64534       0   64534    8657   15648   10934    5538   23757       0     174      49      86      11       6      23    1195     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1721     565    1155       0       0       0       0    1218     398     820       0       0       0       0     503     167     335       0       0       0       0       0     145
 2016 342    27   26232   0.935   10981   0.388   27947   0.996   10981   0.388     64531       0   64531    8656   15646   10934    5538   23757       0     177      50      87      11       6      23    1196     154     276     208     105     452   61444    7889   14131   10715    5427   23282       0    1715     564    1151       0       0       0       0    1213     397     816       0       0       0       0     503     167     335       0       0       0       0       0     148
 2016 343    28   26234   0.935   10981   0.388   27944   0.996   10981   0.388     64528       0   64528    8655   15644   10934    5538   23757       0     179      50      89      11       6      23    1196     154     276     208     105     452   61443    7889   14131   10715    5427   23282       0    1710     562    1148       0       0       0       0    1208     395     812       0       0       0       0     502     167     335       0       0       0       0       0     151
 2016 344    29   26236   0.935   10981   0.388   27941   0.996   10981   0.388     64525       0   64525    8655   15642   10934    5538   23757       0     181      51      90      11       6      23    1196     154     276     208     105     452   61443    7889   14131   10715    5427   23281       0    1705     561    1144       0       0       0       0    1203     394     809       0       0       0       0     502     167     335       0       0       0       0       0     154
 2016 345    30   26238   0.935   10981   0.388   27939   0.996   10981   0.388     64523       0   64523    8654   15640   10934    5538   23757       0     183      51      92      11       6      23    1196     154     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1701     559    1141       0       0       0       0    1199     392     806       0       0       0       0     502     167     335       0       0       0       0       0     156
 2016 346    31   26240   0.935   10981   0.388   27937   0.996   10981   0.388     64520       0   64520    8653   15639   10934    5538   23757       0     184      52      93      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1697     558    1139       0       0       0       0    1195     391     804       0       0       0       0     502     167     335       0       0       0       0       0     158
 2016 347    32   26242   0.936   10981   0.388   27935   0.996   10981   0.388     64518       0   64518    8653   15638   10934    5538   23756       0     186      52      94      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1693     557    1136       0       0       0       0    1191     390     801       0       0       0       0     502     167     335       0       0       0       0       0     160
 2016 348    33   26243   0.936   10981   0.388   27933   0.996   10981   0.388     64516       0   64516    8652   15636   10934    5538   23756       0     187      53      95      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1690     556    1134       0       0       0       0    1188     389     799       0       0       0       0     502     167     335       0       0       0       0       0     162
 2016 349    34   26245   0.936   10981   0.388   27931   0.996   10981   0.388     64515       0   64515    8651   15635   10934    5538   23756       0     189      53      96      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1687     555    1132       0       0       0       0    1185     388     797       0       0       0       0     502     167     335       0       0       0       0       0     164
 2016 350    35   26246   0.936   10981   0.388   27929   0.996   10981   0.388     64513       0   64513    8651   15634   10934    5538   23756       0     190      54      97      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1683     554    1129       0       0       0       0    1182     387     795       0       0       0       0     501     167     335       0       0       0       0       0     166
 2016 351    36   26247   0.936   10981   0.388   27928   0.996   10981   0.388     64511       0   64511    8650   15633   10934    5538   23756       0     191      54      97      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1681     553    1128       0       0       0       0    1179     386     793       0       0       0       0     501     167     335       0       0       0       0       0     167
 2016 352    37   26248   0.936   10981   0.388   27926   0.996   10981   0.388     64510       0   64510    8650   15632   10934    5538   23756       0     192      54      98      11       6      23    1196     155     277     208     105     452   61443    7889   14131   10715    5427   23281       0    1678     552    1126       0       0       0       0    1177     386     791       0       0       0       0     501     167     334       0       0       0       0       0     169
