*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                  Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 Surface    Soil     0-5    5-15   15-30   30-45  45-150 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2017 012    63   26285   0.937   10981   0.388   27880   0.994   10981   0.388     64462       0   64462    8635   15600   10934    5538   23755       0     227      66     122      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1595     526    1069       0       0       0       0    1096     360     736       0       0       0       0     498     166     332       0       0       0       0       0     217
 2017 013    64   26287   0.937   10981   0.388   27878   0.994   10981   0.388     64460       0   64460    8635   15599   10934    5538   23755       0     229      66     123      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1592     525    1067       0       0       0       0    1094     359     734       0       0       0       0     498     166     332       0       0       0       0       0     218
 2017 014    65   26288   0.937   10981   0.388   27877   0.994   10981   0.388     64459       0   64459    8634   15598   10934    5538   23755       0     230      66     124      11       6      23    1199     155     278     208     105     452   61441    7888   14131   10715    5427   23280       0    1589     524    1065       0       0       0       0    1091     358     732       0       0       0       0     498     166     332       0       0       0       0       0     220
 2017 015    66   26290   0.937   10981   0.388   27875   0.994   10981   0.388     64457       0   64457    8634   15596   10934    5538   23755       0     231      67     125      11       6      23    1199     155     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1585     523    1062       0       0       0       0    1087     357     730       0       0       0       0     498     166     332       0       0       0       0       0     222
 2017 016    67   26291   0.937   10981   0.388   27873   0.994   10981   0.388     64454       0   64454    8633   15595   10934    5538   23755       0     233      67     126      11       5      23    1199     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1581     522    1059       0       0       0       0    1083     356     727       0       0       0       0     498     166     332       0       0       0       0       0     224
 2017 017    68   26293   0.937   10981   0.388   27871   0.994   10981   0.388     64452       0   64452    8633   15593   10934    5538   23755       0     234      68     127      11       5      23    1199     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1578     521    1057       0       0       0       0    1080     355     724       0       0       0       0     498     166     332       0       0       0       0       0     226
 2017 018    69   26294   0.937   10981   0.388   27869   0.994   10981   0.388     64451       0   64451    8632   15592   10934    5538   23755       0     236      68     128      11       5      23    1200     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1574     520    1054       0       0       0       0    1077     355     722       0       0       0       0     498     166     332       0       0       0       0       0     228
 2017 019    70   26295   0.937   10981   0.388   27867   0.993   10981   0.388     64449       0   64449    8632   15591   10934    5538   23755       0     237      68     129      11       5      23    1200     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1572     519    1053       0       0       0       0    1074     354     721       0       0       0       0     498     166     332       0       0       0       0       0     230
 2017 020    71   26297   0.937   10981   0.388   27866   0.993   10981   0.388     64447       0   64447    8631   15590   10934    5538   23755       0     238      69     130      11       5      23    1200     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1569     518    1051       0       0       0       0    1072     353     719       0       0       0       0     497     166     332       0       0       0       0       0     231
 2017 021    72   26298   0.938   10981   0.388   27864   0.993   10981   0.388     64445       0   64445    8631   15589   10934    5538   23755       0     239      69     131      11       5      23    1200     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1566     517    1048       0       0       0       0    1068     352     717       0       0       0       0     497     166     332       0       0       0       0       0     233
 2017 022    73   26300   0.938   10981   0.388   27862   0.993   10981   0.388     64443       0   64443    8630   15587   10934    5538   23755       0     241      70     132      11       5      23    1200     156     279     208     105     452   61441    7888   14131   10715    5427   23280       0    1562     516    1046       0       0       0       0    1065     351     714       0       0       0       0     497     166     332       0       0       0       0       0     235
 2017 023    74   26302   0.938   10981   0.388   27859   0.993   10981   0.388     64441       0   64441    8629   15586   10934    5538   23755       0     243      70     133      11       5      23    1200     156     279     208     105     452   61440    7888   14131   10715    5427   23280       0    1557     515    1043       0       0       0       0    1060     349     711       0       0       0       0     497     165     332       0       0       0       0       0     238
 2017 024    75   26304   0.938   10981   0.388   27856   0.993   10981   0.388     64437       0   64437    8628   15584   10934    5538   23755       0     245      71     135      11       5      23    1200     156     279     208     105     452   61440    7888   14131   10715    5427   23280       0    1552     513    1039       0       0       0       0    1055     347     708       0       0       0       0     497     165     331       0       0       0       0       0     241
 2017 025    76   26307   0.938   10981   0.388   27853   0.993   10981   0.388     64434       0   64434    8627   15581   10934    5538   23755       0     248      72     136      11       5      23    1201     156     279     208     105     452   61440    7888   14131   10715    5427   23280       0    1546     511    1035       0       0       0       0    1049     345     704       0       0       0       0     497     165     331       0       0       0       0       0     245
 2017 026    77   26310   0.938   10981   0.388   27849   0.993   10981   0.388     64430       0   64430    8625   15579   10934    5538   23755       0     250      73     138      11       5      23    1201     156     280     208     105     452   61440    7888   14131   10715    5427   23280       0    1539     508    1031       0       0       0       0    1043     343     700       0       0       0       0     496     165     331       0       0       0       0       0     248
 2017 027    78   26313   0.938   10981   0.388   27846   0.993   10981   0.388     64427       0   64427    8624   15577   10934    5538   23755       0     253      74     140      11       5      23    1201     156     280     208     105     452   61440    7888   14131   10715    5427   23280       0    1533     507    1027       0       0       0       0    1037     341     696       0       0       0       0     496     165     331       0       0       0       0       0     252
 2017 028    79   26315   0.938   10981   0.388   27843   0.993   10981   0.388     64424       0   64424    8624   15575   10934    5538   23755       0     255      74     141      11       5      23    1201     156     280     208     105     452   61440    7888   14131   10715    5427   23279       0    1528     505    1023       0       0       0       0    1032     340     692       0       0       0       0     496     165     331       0       0       0       0       0     255
 2017 029    80   26317   0.938   10981   0.388   27840   0.993   10981   0.388     64421       0   64421    8623   15573   10934    5538   23755       0     257      75     143      11       5      23    1201     156     280     208     105     452   61440    7888   14130   10715    5427   23279       0    1523     504    1020       0       0       0       0    1028     339     689       0       0       0       0     496     165     331       0       0       0       0       0     257
 2017 030    81   26319   0.938   10981   0.388   27838   0.992   10981   0.388     64419       0   64419    8622   15571   10934    5537   23755       0     258      75     144      11       5      23    1201     156     280     208     105     452   61440    7888   14130   10715    5427   23279       0    1519     502    1017       0       0       0       0    1024     337     687       0       0       0       0     496     165     331       0       0       0       0       0     260
 2017 031    82   26320   0.938   10981   0.388   27836   0.992   10981   0.388     64417       0   64417    8622   15570   10934    5537   23754       0     260      76     145      11       5      23    1202     156     280     208     105     452   61440    7888   14130   10715    5427   23279       0    1516     501    1015       0       0       0       0    1020     336     684       0       0       0       0     495     165     330       0       0       0       0       0     262
 2017 032    83   26322   0.938   10981   0.388   27834   0.992   10981   0.388     64415       0   64415    8621   15569   10934    5537   23754       0     261      76     146      11       5      23    1202     156     280     208     105     452   61440    7888   14130   10715    5427   23279       0    1513     500    1012       0       0       0       0    1017     335     682       0       0       0       0     495     165     330       0       0       0       0       0     263
 2017 033    84   26323   0.938   10981   0.388   27833   0.992   10981   0.388     64414       0   64414    8620   15568   10934    5537   23754       0     262      77     146      11       5      23    1202     156     280     208     105     452   61440    7888   14130   10715    5427   23279       0    1510     499    1010       0       0       0       0    1015     334     680       0       0       0       0     495     165     330       0       0       0       0       0     265
 2017 034    85   26324   0.938   10981   0.388   27831   0.992   10981   0.388     64411       0   64411    8620   15566   10933    5537   23754       0     264      77     147      11       5      23    1202     156     280     208     105     452   61439    7888   14130   10715    5427   23279       0    1506     498    1008       0       0       0       0    1011     333     678       0       0       0       0     495     165     330       0       0       0       0       0     267
 2017 035    86   26326   0.939   10981   0.388   27829   0.992   10981   0.388     64409       0   64409    8619   15565   10933    5537   23754       0     265      77     148      11       5      23    1202     156     280     208     105     452   61439    7888   14130   10715    5427   23279       0    1503     497    1006       0       0       0       0    1008     332     676       0       0       0       0     495     165     330       0       0       0       0       0     269
 2017 036    87   26327   0.939   10981   0.388   27827   0.992   10981   0.388     64408       0   64408    8619   15564   10933    5537   23754       0     267      78     149      11       5      23    1202     156     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1499     496    1003       0       0       0       0    1005     331     673       0       0       0       0     495     165     330       0       0       0       0       0     271
 2017 037    88   26329   0.939   10981   0.388   27825   0.992   10981   0.388     64405       0   64405    8618   15562   10933    5537   23754       0     268      78     150      11       5      23    1202     156     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1496     495    1001       0       0       0       0    1001     330     671       0       0       0       0     495     165     330       0       0       0       0       0     273
 2017 038    89   26331   0.939   10981   0.388   27823   0.992   10981   0.388     64404       0   64404    8617   15561   10933    5537   23754       0     269      79     151      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1492     494     999       0       0       0       0     998     329     669       0       0       0       0     494     165     330       0       0       0       0       0     275
 2017 039    90   26332   0.939   10981   0.388   27821   0.992   10981   0.388     64402       0   64402    8617   15560   10933    5537   23754       0     271      79     152      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1489     493     997       0       0       0       0     995     328     667       0       0       0       0     494     165     330       0       0       0       0       0     277
 2017 040    91   26333   0.939   10981   0.388   27820   0.992   10981   0.388     64400       0   64400    8616   15559   10933    5537   23754       0     272      80     153      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1486     492     995       0       0       0       0     992     327     665       0       0       0       0     494     165     330       0       0       0       0       0     279
 2017 041    92   26335   0.939   10981   0.388   27817   0.992   10981   0.388     64398       0   64398    8615   15557   10933    5537   23754       0     273      80     154      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1483     490     992       0       0       0       0     989     326     663       0       0       0       0     494     165     330       0       0       0       0       0     281
 2017 042    93   26337   0.939   10981   0.388   27815   0.992   10981   0.388     64396       0   64396    8615   15556   10933    5537   23754       0     275      81     155      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1479     489     990       0       0       0       0     985     325     660       0       0       0       0     494     164     329       0       0       0       0       0     283
 2017 043    94   26338   0.939   10981   0.388   27813   0.992   10981   0.388     64394       0   64394    8614   15555   10933    5537   23754       0     276      81     156      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1475     488     987       0       0       0       0     981     323     658       0       0       0       0     494     164     329       0       0       0       0       0     285
 2017 044    95   26340   0.939   10981   0.388   27811   0.991   10981   0.388     64391       0   64391    8613   15553   10933    5537   23754       0     278      82     157      11       5      23    1203     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1471     486     984       0       0       0       0     977     322     655       0       0       0       0     494     164     329       0       0       0       0       0     287
 2017 045    96   26342   0.939   10981   0.388   27808   0.991   10981   0.388     64389       0   64389    8612   15552   10933    5537   23754       0     280      82     158      11       5      23    1204     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1466     485     982       0       0       0       0     973     321     652       0       0       0       0     493     164     329       0       0       0       0       0     290
 2017 046    97   26344   0.939   10981   0.388   27806   0.991   10981   0.388     64386       0   64386    8612   15550   10933    5537   23754       0     282      83     159      11       5      23    1204     157     281     208     105     452   61439    7888   14130   10715    5427   23279       0    1462     483     979       0       0       0       0     969     319     650       0       0       0       0     493     164     329       0       0       0       0       0     292
 2017 047    98   26346   0.939   10980   0.388   27803   0.991   10980   0.388     64383       0   64383    8610   15548   10933    5537   23754       0     284      84     161      11       5      23    1204     157     282     208     105     452   61439    7888   14130   10715    5427   23279       0    1457     481     975       0       0       0       0     963     317     646       0       0       0       0     493     164     329       0       0       0       0       0     296
 2017 048    99   26349   0.939   10980   0.388   27799   0.991   10980   0.388     64379       0   64379    8609   15545   10933    5537   23754       0     287      85     163      11       5      23    1204     157     282     208     105     452   61438    7888   14130   10715    5427   23279       0    1450     479     971       0       0       0       0     957     315     642       0       0       0       0     493     164     329       0       0       0       0       0     300
 2017 049   100   26353   0.939   10980   0.388   27795   0.991   10980   0.388     64375       0   64375    8608   15543   10933    5537   23754       0     290      86     165      11       5      23    1205     157     282     208     105     452   61438    7888   14130   10715    5427   23279       0    1442     476     966       0       0       0       0     950     312     638       0       0       0       0     492     164     329       0       0       0       0       0     304
 2017 050   101   26355   0.940   10980   0.388   27791   0.991   10980   0.388     64371       0   64371    8606   15541   10933    5537   23754       0     292      87     166      11       5      23    1205     157     282     208     105     452   61438    7888   14130   10715    5427   23279       0    1436     474     962       0       0       0       0     944     310     634       0       0       0       0     492     164     328       0       0       0       0       0     307
 2017 051   102   26359   0.940   10980   0.388   27787   0.991   10980   0.388     64366       0   64366    8605   15538   10933    5537   23754       0     296      88     168      11       5      23    1205     157     282     208     105     452   61438    7888   14130   10715    5427   23279       0    1427     471     957       0       0       0       0     936     307     628       0       0       0       0     492     164     328       0       0       0       0       0     312
 2017 052   103   26364   0.940   10980   0.388   27781   0.990   10980   0.388     64360       0   64360    8602   15534   10933    5537   23754       0     300      90     171      11       5      23    1206     158     283     208     105     452   61438    7888   14130   10715    5427   23278       0    1417     467     950       0       0       0       0     925     303     622       0       0       0       0     491     164     328       0       0       0       0       0     318
 2017 053   104   26369   0.940   10980   0.388   27773   0.990   10980   0.388     64353       0   64353    8600   15529   10933    5537   23753       0     305      91     174      11       5      23    1206     158     283     208     105     452   61438    7888   14130   10715    5427   23278       0    1404     463     941       0       0       0       0     913     299     614       0       0       0       0     491     163     327       0       0       0       0       0     326
 2017 054   105   26377   0.940   10980   0.388   27764   0.990   10980   0.388     64343       0   64343    8597   15523   10933    5537   23753       0     312      93     179      11       5      23    1207     158     284     208     105     452   61437    7888   14130   10714    5427   23278       0    1387     457     930       0       0       0       0     897     294     603       0       0       0       0     490     163     327       0       0       0       0       0     335
 2017 055   106   26386   0.941   10980   0.388   27752   0.989   10980   0.388     64331       0   64331    8593   15515   10933    5537   23753       0     320      96     185      11       5      23    1208     159     284     208     105     452   61437    7888   14130   10714    5426   23278       0    1366     450     916       0       0       0       0     876     287     589       0       0       0       0     489     163     326       0       0       0       0       0     348
 2017 056   107   26396   0.941   10980   0.388   27739   0.989   10980   0.388     64318       0   64318    8589   15506   10933    5537   23753       0     329      99     191      11       5      23    1209     159     285     208     105     452   61437    7888   14130   10714    5426   23278       0    1343     442     901       0       0       0       0     855     280     575       0       0       0       0     488     162     326       0       0       0       0       0     360
 2017 057   108   26403   0.941   10980   0.388   27730   0.989   10980   0.388     64309       0   64309    8586   15500   10933    5537   23753       0     335     101     195      11       5      23    1210     159     286     208     105     452   61437    7888   14130   10714    5426   23278       0    1327     438     889       0       0       0       0     840     276     564       0       0       0       0     488     162     325       0       0       0       0       0     369
 2017 058   109   26408   0.941   10980   0.388   27723   0.988   10980   0.388     64302       0   64302    8584   15494   10933    5537   23753       0     340     102     199      11       5      23    1211     159     286     208     105     452   61436    7888   14130   10714    5426   23278       0    1315     435     880       0       0       0       0     828     273     555       0       0       0       0     487     162     325       0       0       0       0       0     377
 2017 059   110   26412   0.942   10980   0.388   27718   0.988   10980   0.388     64297       0   64297    8583   15491   10933    5537   23753       0     343     103     201      11       5      23    1212     159     287     208     105     452   61436    7888   14130   10714    5426   23278       0    1306     433     873       0       0       0       0     819     271     549       0       0       0       0     487     162     325       0       0       0       0       0     382
 2017 060   111   26415   0.942   10980   0.388   27714   0.988   10980   0.388     64293       0   64293    8582   15488   10933    5537   23753       0     346     104     203      11       5      23    1212     160     287     208     105     452   61436    7888   14130   10714    5426   23278       0    1299     431     868       0       0       0       0     813     269     544       0       0       0       0     486     162     324       0       0       0       0       0     386
 2017 061   112   26418   0.942   10980   0.388   27711   0.988   10980   0.388     64289       0   64289    8581   15485   10933    5537   23753       0     348     104     205      11       5      23    1212     160     287     208     105     452   61436    7888   14130   10714    5426   23278       0    1292     429     864       0       0       0       0     807     267     540       0       0       0       0     486     162     324       0       0       0       0       0     389
 2017 062   113   26420   0.942   10980   0.388   27708   0.988   10980   0.388     64287       0   64287    8580   15484   10933    5537   23753       0     350     105     206      11       5      23    1213     160     287     208     105     452   61436    7888   14130   10714    5426   23278       0    1288     427     861       0       0       0       0     802     266     537       0       0       0       0     486     162     324       0       0       0       0       0     392
 2017 063   114   26422   0.942   10980   0.388   27705   0.988   10980   0.388     64284       0   64284    8579   15482   10933    5537   23753       0     352     106     207      11       5      23    1213     160     287     208     105     452   61436    7888   14130   10714    5426   23278       0    1283     426     858       0       0       0       0     798     264     534       0       0       0       0     485     162     324       0       0       0       0       0     395
 2017 064   115   26424   0.942   10980   0.388   27703   0.988   10980   0.388     64281       0   64281    8578   15480   10933    5537   23753       0     354     106     208      11       5      23    1213     160     288     208     105     452   61436    7888   14130   10714    5426   23278       0    1278     424     854       0       0       0       0     793     262     531       0       0       0       0     485     162     324       0       0       0       0       0     398
 2017 065   116   26426   0.942   10980   0.388   27700   0.988   10980   0.388     64278       0   64278    8577   15479   10933    5537   23753       0     356     107     210      11       5      23    1213     160     288     208     105     452   61436    7888   14130   10714    5426   23277       0    1274     422     851       0       0       0       0     789     261     528       0       0       0       0     485     162     323       0       0       0       0       0     400
 2017 066   117   26428   0.942   10980   0.388   27698   0.987   10980   0.388     64276       0   64276    8576   15477   10933    5537   23753       0     357     107     211      11       5      23    1214     160     288     208     105     452   61435    7888   14130   10714    5426   23277       0    1270     421     849       0       0       0       0     785     259     525       0       0       0       0     485     161     323       0       0       0       0       0     403
 2017 067   118   26430   0.942   10980   0.388   27695   0.987   10980   0.388     64273       0   64273    8576   15475   10933    5537   23753       0     359     108     212      11       5      23    1214     160     288     208     105     452   61435    7888   14130   10714    5426   23277       0    1265     419     846       0       0       0       0     781     258     523       0       0       0       0     485     161     323       0       0       0       0       0     405
 2017 068   119   26432   0.942   10980   0.388   27693   0.987   10980   0.388     64271       0   64271    8575   15474   10933    5537   23752       0     360     109     213      11       5      23    1214     160     288     208     105     452   61435    7888   14130   10714    5426   23277       0    1261     418     843       0       0       0       0     776     256     520       0       0       0       0     484     161     323       0       0       0       0       0     408
 2017 069   120   26434   0.942   10980   0.388   27689   0.987   10980   0.388     64267       0   64267    8573   15472   10933    5537   23752       0     363     109     214      11       5      23    1215     160     289     208     105     452   61435    7888   14130   10714    5426   23277       0    1255     416     839       0       0       0       0     771     254     516       0       0       0       0     484     161     323       0       0       0       0       0     411
 2017 070   121   26438   0.943   10980   0.388   27685   0.987   10980   0.388     64263       0   64263    8572   15469   10933    5537   23752       0     365     110     216      11       5      23    1215     161     289     208     105     452   61435    7888   14130   10714    5426   23277       0    1248     413     835       0       0       0       0     764     252     512       0       0       0       0     484     161     323       0       0       0       0       0     415
 2017 071   122   26441   0.943   10980   0.388   27681   0.987   10980   0.388     64259       0   64259    8570   15466   10933    5537   23752       0     368     111     218      11       5      23    1216     161     289     208     105     452   61435    7888   14130   10714    5426   23277       0    1240     410     830       0       0       0       0     757     249     507       0       0       0       0     483     161     322       0       0       0       0       0     420
 2017 072   123   26443   0.943   10980   0.388   27678   0.987   10980   0.388     64255       0   64255    8569   15464   10933    5537   23752       0     370     112     219      11       5      23    1216     161     289     208     105     452   61435    7888   14130   10714    5426   23277       0    1234     408     826       0       0       0       0     751     247     504       0       0       0       0     483     161     322       0       0       0       0       0     423
 2017 073   124   26445   0.943   10980   0.388   27675   0.987   10980   0.388     64253       0   64253    8568   15463   10933    5537   23752       0     372     113     220      11       5      23    1216     161     290     208     105     452   61435    7888   14130   10714    5426   23277       0    1230     407     824       0       0       0       0     747     246     501       0       0       0       0     483     161     322       0       0       0       0       0     426
 2017 074   125   26447   0.943   10980   0.388   27674   0.987   10980   0.388     64251       0   64251    8568   15462   10933    5537   23752       0     373     113     221      11       5      23    1217     161     290     208     105     452   61435    7888   14130   10714    5426   23277       0    1227     405     821       0       0       0       0     744     245     499       0       0       0       0     483     161     322       0       0       0       0       0     427
 2017 075   126   26448   0.943   10980   0.388   27672   0.987   10980   0.388     64250       0   64250    8567   15461   10933    5537   23752       0     374     114     222      11       5      23    1217     161     290     208     105     452   61435    7888   14130   10714    5426   23277       0    1224     405     820       0       0       0       0     742     244     498       0       0       0       0     483     161     322       0       0       0       0       0     429
 2017 076   127   26449   0.943   10980   0.388   27671   0.986   10980   0.388     64248       0   64248    8567   15460   10933    5537   23752       0     375     114     222      11       5      23    1217     161     290     208     105     452   61434    7888   14130   10714    5426   23277       0    1222     404     818       0       0       0       0     740     243     496       0       0       0       0     482     161     322       0       0       0       0       0     430
 2017 077   128   26450   0.943   10980   0.388   27669   0.986   10980   0.388     64247       0   64247    8566   15459   10933    5537   23752       0     376     114     223      11       5      23    1217     161     290     208     105     452   61434    7888   14130   10714    5426   23277       0    1220     403     817       0       0       0       0     737     242     495       0       0       0       0     482     161     322       0       0       0       0       0     432
 2017 078   129   26451   0.943   10980   0.388   27668   0.986   10980   0.388     64246       0   64246    8566   15458   10933    5537   23752       0     376     114     223      11       5      23    1217     161     290     208     105     452   61434    7888   14130   10714    5426   23277       0    1218     402     816       0       0       0       0     736     242     494       0       0       0       0     482     161     322       0       0       0       0       0     433
 2017 079   130   26452   0.943   10980   0.388   27667   0.986   10980   0.388     64244       0   64244    8565   15457   10933    5537   23752       0     377     115     224      11       5      23    1217     161     290     208     105     452   61434    7888   14130   10714    5426   23277       0    1215     401     814       0       0       0       0     733     241     492       0       0       0       0     482     160     322       0       0       0       0       0     434
 2017 080   131   26453   0.943   10980   0.388   27665   0.986   10980   0.388     64242       0   64242    8565   15456   10933    5537   23752       0     379     115     224      11       5      23    1218     162     290     208     105     452   61434    7888   14130   10714    5426   23277       0    1212     400     812       0       0       0       0     730     240     490       0       0       0       0     482     160     321       0       0       0       0       0     436
 2017 081   132   26455   0.943   10980   0.388   27663   0.986   10980   0.388     64240       0   64240    8564   15455   10933    5537   23752       0     380     116     225      11       5      23    1218     162     291     208     105     452   61434    7888   14129   10714    5426   23277       0    1208     399     809       0       0       0       0     726     238     488       0       0       0       0     482     160     321       0       0       0       0       0     439
 2017 082   133   26457   0.943   10980   0.388   27659   0.986   10980   0.388     64236       0   64236    8563   15452   10933    5537   23752       0     382     116     227      11       5      23    1218     162     291     208     105     452   61434    7888   14129   10714    5426   23277       0    1202     397     805       0       0       0       0     720     236     484       0       0       0       0     481     160     321       0       0       0       0       0     442
 2017 083   134   26461   0.943   10980   0.388   27655   0.986   10980   0.388     64232       0   64232    8561   15450   10933    5537   23752       0     385     117     229      11       5      23    1219     162     291     208     105     452   61434    7888   14129   10714    5426   23277       0    1195     394     801       0       0       0       0     714     234     480       0       0       0       0     481     160     321       0       0       0       0       0     446
 2017 084   135   26463   0.943   10980   0.388   27652   0.986   10980   0.388     64229       0   64229    8560   15448   10933    5537   23752       0     387     118     230      11       5      23    1219     162     291     208     105     452   61434    7888   14129   10714    5426   23277       0    1188     392     797       0       0       0       0     708     232     476       0       0       0       0     481     160     321       0       0       0       0       0     450
 2017 085   136   26467   0.944   10980   0.388   27647   0.986   10980   0.388     64224       0   64224    8558   15445   10933    5537   23752       0     390     119     232      11       5      23    1220     162     292     208     105     452   61434    7888   14129   10714    5426   23277       0    1181     389     792       0       0       0       0     700     229     471       0       0       0       0     480     160     320       0       0       0       0       0     454
 2017 086   137   26470   0.944   10980   0.388   27643   0.985   10980   0.388     64220       0   64220    8557   15442   10932    5537   23752       0     392     120     233      11       5      23    1221     163     292     208     105     452   61433    7888   14129   10714    5426   23276       0    1174     386     787       0       0       0       0     694     227     467       0       0       0       0     480     160     320       0       0       0       0       0     459
 2017 087   138   26472   0.944   10980   0.388   27639   0.985   10980   0.388     64216       0   64216    8555   15440   10932    5537   23752       0     395     121     235      11       5      23    1221     163     292     208     105     452   61433    7888   14129   10714    5426   23276       0    1167     384     783       0       0       0       0     687     224     463       0       0       0       0     480     160     320       0       0       0       0       0     463
 2017 088   139   26476   0.944   10980   0.388   27635   0.985   10980   0.388     64211       0   64211    8554   15437   10932    5537   23751       0     398     122     237      11       5      23    1222     163     293     208     105     452   61433    7888   14129   10714    5426   23276       0    1159     381     778       0       0       0       0     680     222     458       0       0       0       0     479     159     320       0       0       0       0       0     467
 2017 089   140   26480   0.944   10979   0.388   27629   0.985   10979   0.388     64205       0   64205    8552   15433   10932    5537   23751       0     401     123     239      11       5      23    1223     163     293     208     105     452   61433    7888   14129   10714    5426   23276       0    1149     377     771       0       0       0       0     670     218     452       0       0       0       0     479     159     319       0       0       0       0       0     473
 2017 090   141   26485   0.944   10979   0.388   27623   0.985   10979   0.388     64199       0   64199    8549   15430   10932    5537   23751       0     405     125     241      11       5      23    1223     164     294     208     105     452   61433    7888   14129   10714    5426   23276       0    1138     373     765       0       0       0       0     660     214     446       0       0       0       0     478     159     319       0       0       0       0       0     479
 2017 091   142   26487   0.944   10979   0.388   27620   0.985   10979   0.388     64196       0   64196    8548   15427   10932    5537   23751       0     407     126     243      11       5      23    1224     164     294     208     105     453   61432    7888   14129   10714    5426   23276       0    1132     371     761       0       0       0       0     655     212     442       0       0       0       0     478     159     319       0       0       0       0       0     483
 2017 092   143   26490   0.944   10979   0.388   27616   0.985   10979   0.388     64193       0   64193    8547   15425   10932    5537   23751       0     409     126     244      11       5      23    1224     164     294     208     105     453   61432    7888   14129   10714    5426   23276       0    1127     369     758       0       0       0       0     649     210     439       0       0       0       0     477     159     319       0       0       0       0       0     486
 2017 093   144   26492   0.944   10979   0.388   27614   0.984   10979   0.388     64190       0   64190    8546   15423   10932    5537   23751       0     411     127     245      11       5      23    1225     164     295     208     105     453   61432    7888   14129   10714    5426   23276       0    1122     367     754       0       0       0       0     645     209     436       0       0       0       0     477     159     318       0       0       0       0       0     489
 2017 094   145   26494   0.945   10979   0.388   27610   0.984   10979   0.388     64186       0   64186    8545   15421   10932    5537   23751       0     413     128     247      11       5      23    1225     164     295     208     105     453   61432    7888   14129   10714    5426   23276       0    1116     365     751       0       0       0       0     639     207     432       0       0       0       0     477     158     318       0       0       0       0       0     492
 2017 095   146   26497   0.945   10979   0.388   27607   0.984   10979   0.388     64183       0   64183    8544   15419   10932    5537   23751       0     415     128     248      11       5      23    1226     165     295     208     105     453   61432    7888   14129   10714    5426   23276       0    1110     363     747       0       0       0       0     634     205     429       0       0       0       0     476     158     318       0       0       0       0       0     496
