*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2016 341    26   4.10   0.60  -1.10  0.226  0.000  0.226  0.226  0.000  0.226  0.000  0.000   17.35   17.35    0.00   17.35    0.00    0.00   0.067   0.050   0.028   0.017   0.013   0.020   0.016   0.013
 2016 342    27   4.00   0.00  -1.60  0.194  0.000  0.194  0.194  0.000  0.194  0.000  0.000   17.54   17.54    0.00   17.54    0.00    0.00   0.058   0.043   0.025   0.015   0.012   0.018   0.014   0.011
 2016 343    28   4.00   0.00  -1.60  0.194  0.000  0.194  0.194  0.000  0.194  0.000  0.000   17.73   17.73    0.00   17.73    0.00    0.00   0.057   0.043   0.025   0.015   0.012   0.018   0.014   0.011
 2016 344    29   4.00   0.00  -9.80  0.171  0.000  0.171  0.171  0.000  0.171  0.000  0.000   17.90   17.90    0.00   17.90    0.00    0.00   0.050   0.038   0.022   0.013   0.010   0.016   0.012   0.010
 2016 345    30   4.00   0.00  -9.10  0.173  0.000  0.173  0.173  0.000  0.173  0.000  0.000   18.08   18.08    0.00   18.08    0.00    0.00   0.051   0.038   0.023   0.013   0.010   0.016   0.012   0.010
 2016 346    31   4.00   0.00 -10.10  0.170  0.000  0.170  0.170  0.000  0.170  0.000  0.000   18.25   18.25    0.00   18.25    0.00    0.00   0.050   0.037   0.023   0.013   0.010   0.016   0.012   0.010
 2016 347    32   4.00   0.00  -6.50  0.180  0.000  0.180  0.180  0.000  0.180  0.000  0.000   18.43   18.43    0.00   18.43    0.00    0.00   0.052   0.039   0.024   0.014   0.011   0.016   0.013   0.011
 2016 348    33   4.00   0.20  -8.50  0.182  0.000  0.182  0.182  0.000  0.182  0.000  0.000   18.61   18.61    0.00   18.61    0.00    0.00   0.052   0.040   0.024   0.014   0.011   0.017   0.013   0.011
 2016 349    34   4.00   0.00 -14.00  0.159  0.000  0.159  0.159  0.000  0.159  0.000  0.000   18.77   18.77    0.00   18.77    0.00    0.00   0.046   0.035   0.022   0.012   0.010   0.015   0.011   0.009
 2016 350    35   3.90   0.00 -18.40  0.144  0.000  0.144  0.144  0.000  0.144  0.000  0.000   18.91   18.91    0.00   18.91    0.00    0.00   0.041   0.031   0.020   0.011   0.009   0.013   0.010   0.008
 2016 351    36   3.90   0.00 -20.00  0.139  0.000  0.139  0.139  0.000  0.139  0.000  0.000   19.05   19.05    0.00   19.05    0.00    0.00   0.040   0.030   0.019   0.011   0.009   0.013   0.010   0.008
 2016 352    37   3.90   0.00 -17.40  0.146  0.000  0.146  0.146  0.000  0.146  0.000  0.000   19.20   19.20    0.00   19.20    0.00    0.00   0.042   0.032   0.020   0.011   0.009   0.014   0.010   0.009
 2016 353    38   3.90   0.00  -9.30  0.168  0.000  0.168  0.168  0.000  0.168  0.000  0.000   19.37   19.37    0.00   19.37    0.00    0.00   0.048   0.036   0.023   0.013   0.010   0.016   0.012   0.010
 2016 354    39   3.90   0.00 -18.80  0.143  0.000  0.143  0.143  0.000  0.143  0.000  0.000   19.51   19.51    0.00   19.51    0.00    0.00   0.040   0.031   0.020   0.011   0.009   0.013   0.010   0.008
 2016 355    40   3.90   0.00 -24.60  0.127  0.000  0.127  0.127  0.000  0.127  0.000  0.000   19.63   19.63    0.00   19.63    0.00    0.00   0.036   0.027   0.018   0.010   0.008   0.012   0.009   0.008
 2016 356    41   3.90   0.00 -18.00  0.145  0.000  0.145  0.145  0.000  0.145  0.000  0.000   19.78   19.78    0.00   19.78    0.00    0.00   0.041   0.031   0.020   0.011   0.009   0.013   0.010   0.009
 2016 357    42   3.90   0.00  -7.70  0.172  0.000  0.172  0.172  0.000  0.172  0.000  0.000   19.95   19.95    0.00   19.95    0.00    0.00   0.048   0.037   0.024   0.013   0.011   0.016   0.012   0.010
 2016 358    43   3.90   2.40  -3.80  0.295  0.000  0.295  0.295  0.000  0.295  0.000  0.000   20.25   20.25    0.00   20.25    0.00    0.00   0.087   0.062   0.041   0.023   0.018   0.027   0.021   0.017
 2016 359    44   4.00   0.40  -5.70  0.198  0.000  0.198  0.198  0.000  0.198  0.000  0.000   20.44   20.44    0.00   20.44    0.00    0.00   0.060   0.041   0.027   0.015   0.012   0.018   0.014   0.011
 2016 360    45   4.00   1.20   0.00  0.252  0.000  0.252  0.252  0.000  0.252  0.000  0.000   20.70   20.70    0.00   20.70    0.00    0.00   0.077   0.053   0.034   0.019   0.015   0.022   0.017   0.014
 2016 361    46   4.00   2.10  -0.60  0.300  0.000  0.300  0.300  0.000  0.300  0.000  0.000   21.00   21.00    0.00   21.00    0.00    0.00   0.091   0.065   0.040   0.022   0.017   0.026   0.020   0.017
 2016 362    47   4.00   7.80  -0.20  0.691  0.000  0.691  0.691  0.000  0.691  0.000  0.000   21.69   21.69    0.00   21.69    0.00    0.00   0.208   0.155   0.095   0.050   0.039   0.060   0.046   0.038
 2016 363    48   4.00   8.40  -5.10  0.658  0.000  0.658  0.658  0.000  0.658  0.000  0.000   22.35   22.35    0.00   22.35    0.00    0.00   0.195   0.148   0.093   0.047   0.038   0.057   0.044   0.036
 2016 364    49   4.00   0.00  -6.30  0.181  0.000  0.181  0.181  0.000  0.181  0.000  0.000   22.53   22.53    0.00   22.53    0.00    0.00   0.053   0.041   0.026   0.013   0.010   0.016   0.012   0.010
 2016 365    50   4.00   4.90  -2.00  0.514  0.000  0.514  0.514  0.000  0.514  0.000  0.000   23.04   23.04    0.00   23.04    0.00    0.00   0.150   0.115   0.075   0.037   0.030   0.045   0.035   0.029
 2016 366    51   4.00   0.90  -6.10  0.218  0.000  0.218  0.218  0.000  0.218  0.000  0.000   23.26   23.26    0.00   23.26    0.00    0.00   0.063   0.048   0.032   0.016   0.013   0.019   0.015   0.012
 2017 001    52   4.00   2.40  -3.80  0.304  0.000  0.304  0.304  0.000  0.304  0.000  0.000   23.56   23.56    0.00   23.56    0.00    0.00   0.087   0.067   0.045   0.022   0.018   0.027   0.021   0.017
 2017 002    53   4.10   1.60  -8.20  0.249  0.000  0.249  0.249  0.000  0.249  0.000  0.000   23.81   23.81    0.00   23.81    0.00    0.00   0.071   0.055   0.037   0.018   0.014   0.022   0.017   0.014
