*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    
 2017 056   107   6.90   9.60   2.30  1.256  0.000  1.256  1.256  0.000  1.256  0.000  0.000   55.54   55.54    0.00   55.54    0.00    0.00   0.347   0.247   0.197   0.127   0.080   0.108   0.082   0.068
 2017 057   108   7.00   4.30  -6.90  0.748  0.000  0.748  0.748  0.000  0.748  0.000  0.000   56.29   56.29    0.00   56.29    0.00    0.00   0.215   0.147   0.115   0.074   0.047   0.063   0.048   0.040
 2017 058   109   7.10   0.00  -5.70  0.324  0.000  0.324  0.324  0.000  0.324  0.000  0.000   56.61   56.61    0.00   56.61    0.00    0.00   0.092   0.064   0.050   0.032   0.020   0.028   0.021   0.017
 2017 059   110   7.10   7.80  -2.50  1.191  0.000  1.191  1.191  0.000  1.191  0.000  0.000   57.81   57.81    0.00   57.81    0.00    0.00   0.339   0.233   0.183   0.119   0.075   0.101   0.077   0.064
 2017 060   111   7.20  10.90   4.90  1.385  0.000  1.385  1.385  0.000  1.385  0.000  0.000   59.19   59.19    0.00   59.19    0.00    0.00   0.392   0.271   0.213   0.139   0.087   0.118   0.090   0.074
 2017 061   112   7.30  15.00   4.10  1.483  0.000  1.483  1.483  0.000  1.483  0.000  0.000   60.67   60.67    0.00   60.67    0.00    0.00   0.415   0.303   0.236   0.145   0.091   0.123   0.093   0.077
 2017 062   113   7.40   3.80  -2.40  0.760  0.000  0.760  0.760  0.000  0.760  0.000  0.000   61.43   61.43    0.00   61.43    0.00    0.00   0.210   0.161   0.125   0.073   0.045   0.061   0.047   0.038
 2017 063   114   7.50   0.10  -7.40  0.340  0.000  0.340  0.340  0.000  0.340  0.000  0.000   61.77   61.77    0.00   61.77    0.00    0.00   0.093   0.072   0.056   0.033   0.020   0.028   0.021   0.017
 2017 064   115   7.60   0.40  -3.80  0.387  0.000  0.387  0.387  0.000  0.387  0.000  0.000   62.16   62.16    0.00   62.16    0.00    0.00   0.105   0.081   0.063   0.038   0.023   0.032   0.024   0.020
 2017 065   116   7.60   5.20  -0.60  1.243  0.000  1.243  1.243  0.000  1.243  0.000  0.000   63.40   63.40    0.00   63.40    0.00    0.00   0.339   0.259   0.203   0.121   0.075   0.102   0.078   0.064
 2017 066   117   7.70  13.90   4.60  1.547  0.000  1.547  1.547  0.000  1.547  0.000  0.000   64.95   64.95    0.00   64.95    0.00    0.00   0.418   0.322   0.253   0.153   0.095   0.129   0.098   0.080
 2017 067   118   7.80  17.30   4.00  1.637  0.000  1.637  1.637  0.000  1.637  0.000  0.000   66.59   66.59    0.00   66.59    0.00    0.00   0.447   0.343   0.268   0.159   0.099   0.134   0.103   0.084
 2017 068   119   7.90   9.80   2.50  1.456  0.000  1.456  1.456  0.000  1.456  0.000  0.000   68.04   68.04    0.00   68.04    0.00    0.00   0.403   0.307   0.239   0.141   0.087   0.118   0.090   0.073
 2017 069   120   8.00   9.70  -3.00  1.380  0.000  1.380  1.380  0.000  1.380  0.000  0.000   69.42   69.42    0.00   69.42    0.00    0.00   0.376   0.290   0.226   0.135   0.083   0.113   0.086   0.070
 2017 070   121   8.10   5.90  -4.80  1.271  0.000  1.271  1.271  0.000  1.271  0.000  0.000   70.69   70.69    0.00   70.69    0.00    0.00   0.344   0.266   0.209   0.125   0.077   0.105   0.080   0.065
 2017 071   122   8.10   0.00  -8.80  0.352  0.000  0.352  0.352  0.000  0.352  0.000  0.000   71.05   71.05    0.00   71.05    0.00    0.00   0.094   0.073   0.058   0.035   0.022   0.029   0.022   0.018
 2017 072   123   8.20   0.00  -9.40  0.353  0.000  0.353  0.353  0.000  0.353  0.000  0.000   71.40   71.40    0.00   71.40    0.00    0.00   0.094   0.073   0.058   0.035   0.022   0.030   0.023   0.018
 2017 073   124   8.30   0.70  -3.90  0.447  0.000  0.447  0.447  0.000  0.447  0.000  0.000   71.85   71.85    0.00   71.85    0.00    0.00   0.118   0.093   0.073   0.045   0.028   0.038   0.029   0.024
 2017 074   125   8.40   0.00  -9.30  0.362  0.000  0.362  0.362  0.000  0.362  0.000  0.000   72.21   72.21    0.00   72.21    0.00    0.00   0.095   0.075   0.059   0.036   0.023   0.031   0.023   0.019
 2017 075   126   8.50   0.00  -9.70  0.363  0.000  0.363  0.363  0.000  0.363  0.000  0.000   72.57   72.57    0.00   72.57    0.00    0.00   0.096   0.075   0.059   0.037   0.023   0.031   0.024   0.020
 2017 076   127   8.60   0.00 -10.20  0.365  0.000  0.365  0.365  0.000  0.365  0.000  0.000   72.93   72.93    0.00   72.93    0.00    0.00   0.096   0.075   0.059   0.037   0.023   0.031   0.024   0.020
 2017 077   128   8.60   5.40  -1.40  1.393  0.000  1.393  1.393  0.000  1.393  0.000  0.000   74.33   74.33    0.00   74.33    0.00    0.00   0.378   0.292   0.223   0.137   0.085   0.116   0.089   0.073
 2017 078   129   8.70  13.50   1.70  1.689  0.000  1.689  1.689  0.000  1.689  0.000  0.000   76.02   76.02    0.00   76.02    0.00    0.00   0.472   0.360   0.266   0.163   0.101   0.137   0.104   0.086
 2017 079   130   8.80   5.80  -2.80  1.417  0.000  1.417  1.417  0.000  1.417  0.000  0.000   77.43   77.43    0.00   77.43    0.00    0.00   0.392   0.301   0.223   0.138   0.085   0.116   0.089   0.073
 2017 080   131   8.90  11.10   3.70  1.696  0.000  1.696  1.696  0.000  1.696  0.000  0.000   79.13   79.13    0.00   79.13    0.00    0.00   0.471   0.360   0.266   0.165   0.102   0.139   0.106   0.087
 2017 081   132   9.00  14.30   1.10  1.758  0.000  1.758  1.758  0.000  1.758  0.000  0.000   80.89   80.89    0.00   80.89    0.00    0.00   0.488   0.371   0.275   0.171   0.106   0.144   0.110   0.091
 2017 082   133   9.10  11.20  -5.30  1.568  0.000  1.568  1.568  0.000  1.568  0.000  0.000   82.45   82.45    0.00   82.45    0.00    0.00   0.428   0.330   0.246   0.154   0.096   0.131   0.100   0.082
 2017 083   134   9.10   4.30  -2.90  1.023  0.000  1.023  1.023  0.000  1.023  0.000  0.000   83.48   83.48    0.00   83.48    0.00    0.00   0.275   0.215   0.161   0.102   0.064   0.086   0.066   0.055
 2017 084   135   9.20  12.90   2.70  1.781  0.000  1.781  1.781  0.000  1.781  0.000  0.000   85.26   85.26    0.00   85.26    0.00    0.00   0.474   0.373   0.281   0.178   0.112   0.152   0.116   0.096
 2017 085   136   9.30  26.20   4.40  2.209  0.000  2.209  2.209  0.000  2.209  0.000  0.000   87.47   87.47    0.00   87.47    0.00    0.00   0.601   0.467   0.348   0.216   0.135   0.184   0.141   0.116
 2017 086   137   9.40  11.80   5.00  1.838  0.000  1.838  1.838  0.000  1.838  0.000  0.000   89.31   89.31    0.00   89.31    0.00    0.00   0.514   0.393   0.289   0.176   0.110   0.149   0.114   0.094
 2017 087   138   9.50  13.70   7.90  1.970  0.000  1.970  1.970  0.000  1.970  0.000  0.000   91.28   91.28    0.00   91.28    0.00    0.00   0.546   0.420   0.310   0.190   0.119   0.161   0.123   0.102
 2017 088   139   9.60  10.20   4.70  1.821  0.000  1.821  1.821  0.000  1.821  0.000  0.000   93.10   93.10    0.00   93.10    0.00    0.00   0.495   0.387   0.288   0.178   0.112   0.152   0.115   0.095
 2017 089   140   9.60  10.50   2.30  1.780  0.000  1.780  1.780  0.000  1.780  0.000  0.000   94.88   94.88    0.00   94.88    0.00    0.00   0.475   0.377   0.283   0.176   0.111   0.151   0.114   0.094
 2017 090   141   9.70   8.90   4.50  1.792  0.000  1.792  1.792  0.000  1.792  0.000  0.000   96.67   96.67    0.00   96.67    0.00    0.00   0.477   0.372   0.297   0.191   0.108   0.145   0.110   0.091
 2017 091   142   9.80   7.00   2.00  1.711  0.000  1.711  1.711  0.000  1.711  0.000  0.000   98.38   98.38    0.00   98.38    0.00    0.00   0.450   0.343   0.289   0.196   0.122   0.131   0.099   0.082
 2017 092   143   9.90   5.50   0.60  1.655  0.000  1.655  1.655  0.000  1.655  0.000  0.000  100.04  100.04    0.00  100.04    0.00    0.00   0.425   0.326   0.274   0.191   0.138   0.127   0.095   0.079
 2017 093   144  10.00  13.30   5.30  2.006  0.000  2.006  2.006  0.000  2.006  0.000  0.000  102.04  102.04    0.00  102.04    0.00    0.00   0.509   0.394   0.333   0.233   0.167   0.156   0.118   0.097
 2017 094   145  10.00  12.20   7.30  2.010  0.000  2.010  2.010  0.000  2.010  0.000  0.000  104.05  104.05    0.00  104.05    0.00    0.00   0.518   0.390   0.330   0.232   0.167   0.158   0.118   0.097
 2017 095   146  10.10  12.10   7.20  2.030  0.000  2.030  2.030  0.000  2.030  0.000  0.000  106.08  106.08    0.00  106.08    0.00    0.00   0.532   0.397   0.330   0.231   0.166   0.160   0.118   0.097
 2017 096   147  10.20  11.40   5.40  1.991  0.000  1.991  1.991  0.000  1.991  0.000  0.000  108.07  108.07    0.00  108.07    0.00    0.00   0.517   0.394   0.327   0.227   0.160   0.157   0.115   0.094
 2017 097   148  10.30   4.80   2.50  1.373  0.000  1.373  1.373  0.000  1.373  0.000  0.000  109.45  109.45    0.00  109.45    0.00    0.00   0.353   0.269   0.227   0.157   0.113   0.111   0.078   0.064
 2017 098   149  10.30  11.30   0.10  1.896  0.000  1.896  1.896  0.000  1.896  0.000  0.000  111.34  111.34    0.00  111.34    0.00    0.00   0.483   0.369   0.311   0.216   0.160   0.159   0.109   0.089
 2017 099   150  10.40  12.90   2.10  2.005  0.000  2.005  2.005  0.000  2.005  0.000  0.000  113.35  113.35    0.00  113.35    0.00    0.00   0.504   0.391   0.329   0.229   0.169   0.170   0.117   0.097
 2017 100   151  10.50  19.80  11.40  2.444  0.000  2.444  2.444  0.000  2.444  0.000  0.000  115.79  115.79    0.00  115.79    0.00    0.00   0.605   0.477   0.402   0.280   0.206   0.209   0.145   0.120
 2017 101   152  10.60  23.10  15.00  2.649  0.000  2.649  2.649  0.000  2.649  0.000  0.000  118.44  118.44    0.00  118.44    0.00    0.00   0.673   0.509   0.431   0.301   0.221   0.227   0.157   0.130
 2017 102   153  10.60  21.10   5.50  2.386  0.000  2.386  2.386  0.000  2.386  0.000  0.000  120.83  120.83    0.00  120.83    0.00    0.00   0.628   0.455   0.380   0.267   0.196   0.203   0.141   0.116
 2017 103   154  10.70  10.00   1.20  1.949  0.000  1.949  1.949  0.000  1.949  0.000  0.000  122.77  122.77    0.00  122.77    0.00    0.00   0.509   0.375   0.310   0.218   0.159   0.167   0.117   0.096
 2017 104   155  10.80  17.10   6.20  2.311  0.000  2.311  2.311  0.000  2.311  0.000  0.000  125.09  125.09    0.00  125.09    0.00    0.00   0.603   0.454   0.367   0.255   0.185   0.197   0.137   0.113
 2017 105   156  10.90  16.90   7.10  2.350  0.000  2.350  2.350  0.000  2.350  0.000  0.000  127.44  127.44    0.00  127.44    0.00    0.00   0.611   0.471   0.372   0.256   0.185   0.200   0.140   0.115
 2017 106   157  10.90  22.30  12.70  2.652  0.000  2.652  2.652  0.000  2.652  0.000  0.000  130.09  130.09    0.00  130.09    0.00    0.00   0.687   0.530   0.433   0.286   0.206   0.224   0.157   0.129
 2017 107   158  11.00  26.10  14.20  2.843  0.000  2.843  2.843  0.000  2.843  0.000  0.000  132.93  132.93    0.00  132.93    0.00    0.00   0.731   0.559   0.471   0.314   0.230   0.239   0.165   0.134
 2017 108   159  11.10  20.30   6.60  2.497  0.000  2.497  2.497  0.000  2.497  0.000  0.000  135.43  135.43    0.00  135.43    0.00    0.00   0.627   0.485   0.410   0.285   0.212   0.214   0.145   0.118
 2017 109   160  11.10  21.70   5.00  2.504  0.000  2.504  2.504  0.000  2.504  0.000  0.000  137.93  137.93    0.00  137.93    0.00    0.00   0.618   0.487   0.412   0.287   0.212   0.217   0.148   0.122
 2017 110   161  11.20  23.40  15.60  2.823  0.000  2.823  2.823  0.000  2.823  0.000  0.000  140.75  140.75    0.00  140.75    0.00    0.00   0.684   0.550   0.467   0.325   0.240   0.247   0.170   0.140
 2017 111   162  11.30  18.80   8.10  2.511  0.000  2.511  2.511  0.000  2.511  0.000  0.000  143.26  143.26    0.00  143.26    0.00    0.00   0.632   0.483   0.407   0.286   0.210   0.219   0.151   0.124
 2017 112   163  11.30  18.10   4.20  2.410  0.000  2.410  2.410  0.000  2.410  0.000  0.000  145.67  145.67    0.00  145.67    0.00    0.00   0.631   0.456   0.383   0.270   0.198   0.209   0.144   0.118
 2017 113   164  11.40  11.40   2.80  2.160  0.000  2.160  2.160  0.000  2.160  0.000  0.000  147.83  147.83    0.00  147.83    0.00    0.00   0.556   0.410   0.345   0.243   0.177   0.190   0.132   0.108
 2017 114   165  11.50  16.40   1.10  2.313  0.000  2.313  2.313  0.000  2.313  0.000  0.000  150.15  150.15    0.00  150.15    0.00    0.00   0.585   0.439   0.371   0.262   0.190   0.205   0.143   0.117
 2017 115   166  11.50  21.30   5.60  2.587  0.000  2.587  2.587  0.000  2.587  0.000  0.000  152.73  152.73    0.00  152.73    0.00    0.00   0.643   0.491   0.416   0.295   0.214   0.233   0.163   0.133
 2017 116   167  11.60  23.10   9.90  2.772  0.000  2.772  2.772  0.000  2.772  0.000  0.000  155.51  155.51    0.00  155.51    0.00    0.00   0.676   0.527   0.448   0.317   0.229   0.253   0.178   0.145
 2017 117   168  11.70  25.50  15.30  3.006  0.000  3.006  3.006  0.000  3.006  0.000  0.000  158.51  158.51    0.00  158.51    0.00    0.00   0.774   0.558   0.475   0.338   0.243   0.271   0.191   0.156
 2017 118   169  11.70  20.60   4.70  2.595  0.000  2.595  2.595  0.000  2.595  0.000  0.000  161.11  161.11    0.00  161.11    0.00    0.00   0.698   0.500   0.405   0.279   0.200   0.225   0.159   0.129
 2017 119   170  11.80   7.00   2.80  2.079  0.000  2.079  2.079  0.000  2.079  0.000  0.000  163.19  163.19    0.00  163.19    0.00    0.00   0.553   0.423   0.325   0.218   0.156   0.177   0.125   0.101
 2017 120   171  11.80  13.30   6.50  2.398  0.000  2.398  2.398  0.000  2.398  0.000  0.000  165.59  165.59    0.00  165.59    0.00    0.00   0.635   0.486   0.376   0.253   0.180   0.206   0.146   0.118
 2017 121   172  11.90   7.30   3.00  2.110  0.000  2.110  2.110  0.000  2.110  0.000  0.000  167.70  167.70    0.00  167.70    0.00    0.00   0.540   0.415   0.336   0.230   0.168   0.193   0.125   0.100
 2017 122   173  11.90  11.20   5.70  2.322  0.000  2.322  2.322  0.000  2.322  0.000  0.000  170.02  170.02    0.00  170.02    0.00    0.00   0.580   0.443   0.373   0.260   0.194   0.233   0.134   0.106
 2017 123   174  12.00  12.20   4.10  2.339  0.000  2.339  2.339  0.000  2.339  0.000  0.000  172.36  172.36    0.00  172.36    0.00    0.00   0.580   0.443   0.373   0.260   0.194   0.247   0.137   0.106
 2017 124   175  12.10   9.60   1.40  2.195  0.000  2.195  2.195  0.000  2.195  0.000  0.000  174.55  174.55    0.00  174.55    0.00    0.00   0.545   0.412   0.348   0.243   0.181   0.234   0.131   0.100
 2017 125   176  12.10  13.40   5.20  2.431  0.000  2.431  2.431  0.000  2.431  0.000  0.000  176.98  176.98    0.00  176.98    0.00    0.00   0.600   0.454   0.385   0.271   0.201   0.260   0.149   0.112
 2017 126   177  12.20  14.20   4.80  2.467  0.000  2.467  2.467  0.000  2.467  0.000  0.000  179.45  179.45    0.00  179.45    0.00    0.00   0.599   0.462   0.392   0.276   0.204   0.264   0.155   0.116
 2017 127   178  12.20  17.00   6.90  2.620  0.000  2.620  2.620  0.000  2.620  0.000  0.000  182.07  182.07    0.00  182.07    0.00    0.00   0.642   0.495   0.419   0.289   0.213   0.276   0.164   0.123
 2017 128   179  12.30  15.70   1.80  2.472  0.000  2.472  2.472  0.000  2.472  0.000  0.000  184.54  184.54    0.00  184.54    0.00    0.00   0.612   0.472   0.396   0.268   0.197   0.256   0.154   0.116
 2017 129   180  12.30  15.90   2.30  2.487  0.000  2.487  2.487  0.000  2.487  0.000  0.000  187.03  187.03    0.00  187.03    0.00    0.00   0.606   0.476   0.401   0.272   0.198   0.258   0.158   0.119
 2017 130   181  12.40  17.30   3.30  2.582  0.000  2.582  2.582  0.000  2.582  0.000  0.000  189.61  189.61    0.00  189.61    0.00    0.00   0.637   0.496   0.419   0.281   0.202   0.263   0.163   0.122
 2017 131   182  12.40  15.20   7.40  2.615  0.000  2.615  2.615  0.000  2.615  0.000  0.000  192.23  192.23    0.00  192.23    0.00    0.00   0.654   0.504   0.425   0.282   0.200   0.262   0.164   0.124
 2017 132   183  12.40  18.60   8.30  2.763  0.000  2.763  2.763  0.000  2.763  0.000  0.000  194.99  194.99    0.00  194.99    0.00    0.00   0.685   0.529   0.446   0.304   0.222   0.277   0.172   0.129
 2017 133   184  12.50  18.70   9.30  2.820  0.000  2.820  2.820  0.000  2.820  0.000  0.000  197.81  197.81    0.00  197.81    0.00    0.00   0.694   0.536   0.452   0.315   0.234   0.281   0.175   0.132
 2017 134   185  12.50  21.40   8.00  2.885  0.000  2.885  2.885  0.000  2.885  0.000  0.000  200.69  200.69    0.00  200.69    0.00    0.00   0.696   0.550   0.465   0.324   0.240   0.290   0.182   0.138
 2017 135   186  12.60  26.60  13.00  3.232  0.000  3.232  3.232  0.000  3.232  0.000  0.000  203.93  203.93    0.00  203.93    0.00    0.00   0.765   0.617   0.524   0.366   0.269   0.327   0.207   0.157
 2017 136   187  12.60  27.20   9.70  3.164  0.000  3.164  3.164  0.000  3.164  0.000  0.000  207.09  207.09    0.00  207.09    0.00    0.00   0.732   0.605   0.516   0.360   0.264   0.323   0.206   0.158
 2017 137   188  12.70  29.20  18.10  3.478  0.000  3.478  3.478  0.000  3.478  0.000  0.000  210.57  210.57    0.00  210.57    0.00    0.00   0.787   0.666   0.570   0.399   0.291   0.357   0.231   0.177
 2017 138   189  12.70  29.60  19.60  3.526  0.000  3.526  3.526  0.000  3.526  0.000  0.000  214.09  214.09    0.00  214.09    0.00    0.00   0.776   0.676   0.582   0.408   0.296   0.366   0.238   0.184
 2017 139   190  12.70  27.90  17.20  3.391  0.000  3.391  3.391  0.000  3.391  0.000  0.000  217.49  217.49    0.00  217.49    0.00    0.00   0.792   0.634   0.548   0.386   0.280   0.347   0.228   0.176
 2017 140   191  12.80  23.30   5.50  2.955  0.000  2.955  2.955  0.000  2.955  0.000  0.000  220.44  220.44    0.00  220.44    0.00    0.00   0.735   0.537   0.466   0.330   0.239   0.298   0.198   0.152
 2017 141   192  12.80   9.00   5.80  2.399  0.000  2.399  2.399  0.000  2.399  0.000  0.000  222.84  222.84    0.00  222.84    0.00    0.00   0.622   0.437   0.369   0.262   0.190   0.238   0.159   0.122
 2017 142   193  12.80  18.30   9.40  2.875  0.000  2.875  2.875  0.000  2.875  0.000  0.000  225.71  225.71    0.00  225.71    0.00    0.00   0.763   0.549   0.448   0.301   0.216   0.272   0.184   0.141
 2017 143   194  12.90  14.10   7.10  2.668  0.000  2.668  2.668  0.000  2.668  0.000  0.000  228.38  228.38    0.00  228.38    0.00    0.00   0.685   0.531   0.432   0.275   0.197   0.248   0.170   0.130
 2017 144   195  12.90  21.60  12.30  3.098  0.000  3.098  3.098  0.000  3.098  0.000  0.000  231.48  231.48    0.00  231.48    0.00    0.00   0.803   0.610   0.499   0.320   0.228   0.288   0.198   0.152
 2017 145   196  12.90  15.50  10.80  2.822  0.000  2.822  2.822  0.000  2.822  0.000  0.000  234.30  234.30    0.00  234.30    0.00    0.00   0.735   0.553   0.461   0.297   0.203   0.257   0.178   0.137
 2017 146   197  13.00  15.10  11.80  2.855  0.000  2.855  2.855  0.000  2.855  0.000  0.000  237.16  237.16    0.00  237.16    0.00    0.00   0.728   0.563   0.476   0.309   0.203   0.258   0.180   0.139
 2017 147   198  13.00  19.80  12.00  3.042  0.000  3.042  3.042  0.000  3.042  0.000  0.000  240.20  240.20    0.00  240.20    0.00    0.00   0.759   0.601   0.509   0.332   0.218   0.278   0.195   0.151
 2017 148   199  13.00  20.90  11.40  3.064  0.000  3.064  3.064  0.000  3.064  0.000  0.000  243.26  243.26    0.00  243.26    0.00    0.00   0.774   0.606   0.514   0.335   0.216   0.275   0.194   0.150
 2017 149   200  13.00  25.20  14.00  3.318  0.000  3.318  3.318  0.000  3.318  0.000  0.000  246.58  246.58    0.00  246.58    0.00    0.00   0.849   0.658   0.555   0.363   0.230   0.293   0.208   0.161
 2017 150   201  13.10  23.30  14.70  3.277  0.000  3.277  3.277  0.000  3.277  0.000  0.000  249.86  249.86    0.00  249.86    0.00    0.00   0.819   0.648   0.551   0.364   0.230   0.294   0.209   0.162
 2017 151   202  13.10  22.70  11.30  3.156  0.005  3.151  3.156  0.005  3.151  0.000  0.000  253.01  253.01    0.01  253.01    0.00    0.00   0.769   0.620   0.531   0.354   0.225   0.287   0.205   0.159
 2017 152   203  13.10  22.40  10.20  3.108  0.009  3.100  3.108  0.009  3.100  0.000  0.000  256.12  256.12    0.01  256.11    0.00    0.00   0.740   0.610   0.525   0.351   0.223   0.285   0.205   0.160
 2017 153   204  13.10  21.90  10.70  3.095  0.012  3.084  3.095  0.012  3.084  0.000  0.000  259.22  259.22    0.03  259.19    0.00    0.00   0.718   0.607   0.525   0.352   0.224   0.288   0.208   0.163
 2017 154   205  13.20  26.00  11.60  3.302  0.016  3.286  3.302  0.016  3.286  0.000  0.000  262.52  262.52    0.04  262.48    0.00    0.00   0.745   0.648   0.562   0.378   0.241   0.310   0.225   0.177
 2017 155   206  13.20  29.00  14.10  3.482  0.023  3.459  3.482  0.023  3.459  0.000  0.000  266.00  266.00    0.06  265.94    0.00    0.00   0.131   0.309   0.475   0.459   0.370   0.615   0.565   0.534
 2017 156   207  13.20  30.50  20.90  3.722  0.033  3.688  3.721  0.033  3.688  0.000  0.000  269.72  269.72    0.10  269.62    0.00    0.00   0.140   0.329   0.504   0.489   0.395   0.655   0.604   0.571
 2017 157   208  13.20  31.40  14.50  3.584  0.043  3.541  3.583  0.043  3.541  0.000  0.000  273.31  273.31    0.14  273.17    0.00    0.00   0.135   0.316   0.482   0.468   0.377   0.628   0.580   0.554
 2017 158   209  13.20  25.60  11.20  3.257  0.067  3.188  3.255  0.067  3.188  0.000  0.000  276.56  276.56    0.21  276.35    0.00    0.00   0.121   0.285   0.432   0.419   0.338   0.564   0.523   0.506
 2017 159   210  13.20  24.30  12.10  3.224  0.089  3.133  3.222  0.089  3.133  0.000  0.000  279.79  279.78    0.30  279.49    0.00    0.00   0.119   0.279   0.424   0.411   0.331   0.553   0.514   0.502
 2017 160   211  13.30  24.40  11.20  3.223  0.111  3.110  3.221  0.111  3.110  0.000  0.000  283.01  283.00    0.41  282.60    0.00    0.00   0.118   0.277   0.419   0.407   0.327   0.548   0.512   0.502
 2017 161   212  13.30  27.20  17.40  3.496  0.147  3.346  3.493  0.147  3.346  0.000  0.000  286.51  286.50    0.55  285.94    0.00    0.00   0.138   0.297   0.448   0.436   0.351   0.588   0.550   0.539
 2017 162   213  13.30  29.90  18.30  3.640  0.194  3.442  3.636  0.194  3.442  0.000  0.000  290.15  290.13    0.75  289.38    0.00    0.00   0.869   0.651   0.558   0.380   0.242   0.316   0.234   0.192
 2017 163   214  13.30  30.60  20.50  3.710  0.247  3.454  3.702  0.247  3.454  0.000  0.000  293.86  293.83    0.99  292.84    0.00    0.00   0.147   0.300   0.458   0.448   0.362   0.609   0.572   0.559
 2017 164   215  13.30  32.70  22.30  3.827  0.331  3.486  3.817  0.331  3.486  0.000  0.000  297.68  297.65    1.33  296.32    0.00    0.00   0.147   0.302   0.462   0.452   0.365   0.615   0.579   0.564
 2017 165   216  13.30  32.90  21.60  3.798  0.420  3.370  3.790  0.420  3.370  0.000  0.000  301.48  301.44    1.75  299.69    0.00    0.00   0.141   0.291   0.447   0.437   0.352   0.595   0.561   0.546
 2017 166   217  13.30  32.50  21.20  3.752  0.511  3.231  3.741  0.511  3.231  0.000  0.000  305.23  305.18    2.26  302.92    0.00    0.00   0.134   0.277   0.428   0.420   0.338   0.571   0.538   0.524
 2017 167   218  13.30  33.00  20.10  3.721  0.605  3.102  3.706  0.605  3.102  0.000  0.000  308.95  308.89    2.86  306.03    0.00    0.00   0.840   0.591   0.480   0.330   0.210   0.277   0.206   0.168
 2017 168   219  13.30  31.80  17.10  3.612  0.693  2.904  3.598  0.693  2.904  0.000  0.000  312.57  312.49    3.55  308.93    0.00    0.00   0.827   0.587   0.472   0.283   0.179   0.236   0.176   0.144
 2017 169   220  13.30  28.80  19.90  3.549  0.779  2.755  3.534  0.779  2.755  0.000  0.000  316.12  316.02    4.33  311.69    0.00    0.00   0.752   0.579   0.488   0.269   0.163   0.214   0.160   0.130
 2017 170   221  13.30  28.40  19.50  3.507  0.848  2.641  3.489  0.848  2.641  0.000  0.000  319.62  319.51    5.18  314.33    0.00    0.00   0.715   0.549   0.464   0.281   0.155   0.202   0.151   0.123
 2017 171   222  13.30  23.80  15.90  3.229  0.804  2.402  3.206  0.804  2.402  0.000  0.000  322.85  322.71    5.99  316.73    0.00    0.00   0.652   0.491   0.417   0.268   0.142   0.183   0.137   0.112
 2017 172   223  13.30  25.10  14.20  3.229  0.840  2.366  3.206  0.840  2.366  0.000  0.000  326.08  325.92    6.83  319.09    0.00    0.00   0.644   0.478   0.409   0.264   0.142   0.182   0.136   0.111
 2017 173   224  13.30  26.30  12.90  3.232  0.894  2.323  3.216  0.894  2.323  0.000  0.000  329.31  329.14    7.72  321.42    0.00    0.00   0.634   0.475   0.396   0.257   0.141   0.178   0.133   0.109
 2017 174   225  13.30  25.80  21.20  3.421  0.987  2.415  3.402  0.987  2.415  0.000  0.000  332.73  332.54    8.71  323.83    0.00    0.00   0.652   0.500   0.408   0.266   0.147   0.188   0.139   0.114
 2017 175   226  13.30  30.10  18.60  3.499  1.082  2.388  3.470  1.082  2.388  0.000  0.000  336.23  336.01    9.79  326.22    0.00    0.00   0.640   0.493   0.410   0.269   0.144   0.186   0.136   0.111
 2017 176   227  13.30  26.50  14.30  3.245  1.052  2.162  3.214  1.052  2.162  0.000  0.000  339.48  339.22   10.84  328.38    0.00    0.00   0.577   0.443   0.375   0.250   0.131   0.166   0.121   0.100
 2017 177   228  13.30  21.60  11.00  2.960  1.004  1.924  2.927  1.004  1.924  0.000  0.000  342.44  342.15   11.84  330.31    0.00    0.00   0.504   0.393   0.335   0.223   0.119   0.150   0.110   0.090
 2017 178   229  13.30  19.50  11.60  2.885  1.013  1.838  2.851  1.013  1.838  0.000  0.000  345.32  345.00   12.86  332.14    0.00    0.00   0.472   0.375   0.321   0.213   0.116   0.148   0.107   0.088
 2017 179   230  13.30  21.10   9.10  2.871  1.049  1.789  2.839  1.049  1.789  0.000  0.000  348.19  347.84   13.91  333.93    0.00    0.00   0.449   0.364   0.312   0.208   0.114   0.149   0.106   0.087
 2017 180   231  13.30  23.70  13.90  3.079  1.183  1.871  3.054  1.183  1.871  0.000  0.000  351.27  350.89   15.09  335.80    0.00    0.00   0.460   0.378   0.327   0.219   0.121   0.160   0.112   0.092
