*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2016 357    42    0.0    9.0   10.2    3.9    7.8   0.58    0.0   -7.7   -4.3   -2.9   -7.9   -4.3   -2.9  436.9  400.5
 2016 358    43    0.0    9.0   10.2    3.9    7.8   0.58    2.4   -3.8   -1.1    0.1   -3.0   -1.1    0.1  399.2  400.5
 2016 359    44    0.1    9.0   10.2    4.0    8.0   0.57    0.4   -5.7   -3.0   -1.9   -4.4   -3.0   -1.9  323.3  400.5
 2016 360    45    1.2    9.0   10.2    4.0    8.0   0.57    1.2    0.0    0.5    0.7    0.1    0.5    0.7  358.8  400.5
 2016 361    46    0.0    9.0   10.2    4.0    8.0   0.57    2.1   -0.6    0.6    1.1   -0.5    0.6    1.1  305.0  400.5
 2016 362    47    3.0    9.0   10.2    4.0    8.0   0.57    7.8   -0.2    3.3    4.8    2.4    3.3    4.8  625.0  400.5
 2016 363    48    0.0    9.0   10.2    4.0    8.0   0.57    8.4   -5.1    0.8    3.3   -3.6    0.8    3.3  646.1  400.5
 2016 364    49    0.0    9.0   10.2    4.0    8.0   0.57    0.0   -6.3   -3.5   -2.4   -5.6   -3.5   -2.4  320.3  400.5
 2016 365    50    0.0    9.0   10.2    4.0    8.0   0.57    4.9   -2.0    1.0    2.3   -1.6    1.0    2.3  554.4  400.5
 2016 366    51    0.0    9.0   10.2    4.0    8.0   0.58    0.9   -6.1   -3.0   -1.7   -5.5   -3.0   -1.7  680.7  400.5
 2017 001    52    0.0    9.0   10.2    4.0    8.0   0.58    2.4   -3.8   -1.1    0.1   -4.6   -1.1    0.1  534.9  400.5
 2017 002    53    0.0    9.0   10.2    4.1    8.2   0.57    1.6   -8.2   -3.9   -2.1   -6.6   -3.9   -2.1  305.5  400.5
 2017 003    54    0.0    9.0   10.3    4.1    8.2   0.57    2.6   -2.4   -0.2    0.7   -3.7   -0.2    0.7  243.0  400.5
 2017 004    55    0.0    9.1   10.3    4.1    8.2   0.57    2.9    1.2    1.9    2.3    2.0    1.9    2.3  216.8  400.5
 2017 005    56    0.1    9.1   10.3    4.1    8.2   0.57    2.3  -13.6   -6.6   -3.6   -7.9   -6.6   -3.6  664.1  400.5
 2017 006    57    0.0    9.1   10.3    4.1    8.2   0.58    0.0  -14.6   -8.2   -5.4  -16.9   -8.2   -5.4  511.3  400.5
 2017 007    58    0.0    9.1   10.3    4.2    8.4   0.57    0.0  -20.1  -11.2   -7.5  -19.1  -11.2   -7.5  325.0  400.5
 2017 008    59    0.0    9.1   10.3    4.2    8.4   0.57    0.0  -18.5  -10.3   -6.9  -20.2  -10.3   -6.9  227.2  400.5
 2017 009    60    0.0    9.1   10.3    4.2    8.4   0.57    0.0  -18.0  -10.1   -6.7  -17.9  -10.1   -6.7  344.2  400.5
 2017 010    61    0.0    9.2   10.4    4.2    8.4   0.58    0.0  -13.3   -7.4   -4.9  -13.6   -7.4   -4.9  444.1  400.5
 2017 011    62    1.8    9.2   10.4    4.3    8.6   0.57    3.7   -4.5   -0.9    0.7   -3.2   -0.9    0.7  622.5  400.5
 2017 012    63    2.2    9.2   10.4    4.3    8.6   0.57    9.0   -4.5    1.5    4.0   -2.1    1.5    4.0  766.8  400.5
