*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2017 120   171    0.1   13.8   14.9   11.8   23.6   0.59   13.3    6.5    9.9   11.2    7.0    9.9   11.2  386.5  400.5
 2017 121   172   50.5   13.8   15.0   11.9   23.8   0.59    7.3    3.0    5.2    6.0    3.9    5.2    6.0  720.9  400.5
 2017 122   173   11.1   13.9   15.0   11.9   23.8   0.59   11.2    5.7    8.5    9.5    7.2    8.5    9.5  433.7  400.5
 2017 123   174    6.4   13.9   15.0   12.0   24.0   0.59   12.2    4.1    8.2    9.7    5.1    8.2    9.7  676.7  400.5
 2017 124   175    0.7   13.9   15.1   12.1   24.2   0.59    9.6    1.4    5.6    7.1    3.1    5.6    7.1  327.4  400.5
 2017 125   176    0.1   14.0   15.1   12.1   24.2   0.59   13.4    5.2    9.4   10.9    2.7    9.4   10.9  220.5  400.5
 2017 126   177    0.0   14.0   15.2   12.2   24.4   0.59   14.2    4.8    9.6   10.9    4.2    9.6   10.9  395.5  400.5
 2017 127   178    7.3   14.1   15.2   12.2   24.4   0.59   17.0    6.9   12.0   13.5    5.4   12.0   13.5  346.2  400.5
 2017 128   179    0.0   14.1   15.3   12.3   24.6   0.59   15.7    1.8    8.9   10.9    2.0    8.9   10.9  313.0  400.5
 2017 129   180    0.0   14.1   15.3   12.3   24.6   0.60   15.9    2.3    9.2   11.2   -0.1    9.2   11.2  242.9  400.5
 2017 130   181    8.5   14.2   15.3   12.4   24.8   0.59   17.3    3.3   10.4   12.5    2.2   10.4   12.5  338.0  400.5
 2017 131   182    0.0   14.2   15.4   12.4   24.8   0.60   15.2    7.4   11.4   12.5    9.2   11.4   12.5  174.5  400.5
 2017 132   183   19.0   14.3   15.4   12.4   24.8   0.60   18.6    8.3   13.6   15.1   11.8   13.6   15.1  303.4  400.5
 2017 133   184    0.0   14.3   15.5   12.5   25.0   0.60   18.7    9.3   14.1   15.5    9.7   14.1   15.5  230.1  400.5
 2017 134   185    0.0   14.3   15.5   12.5   25.0   0.60   21.4    8.0   14.9   16.9    8.6   14.9   16.9  151.9  400.5
 2017 135   186    0.0   14.4   15.5   12.6   25.2   0.60   26.6   13.0   20.0   22.0   11.1   20.0   22.0  374.1  400.5
 2017 136   187    0.0   14.4   15.6   12.6   25.2   0.60   27.2    9.7   18.7   21.3    7.1   18.7   21.3  323.3  400.5
 2017 137   188    0.0   14.4   15.6   12.7   25.4   0.60   29.2   18.1   23.8   25.5   15.3   23.8   25.5  342.0  400.5
 2017 138   189    0.0   14.5   15.7   12.7   25.4   0.60   29.6   19.6   24.8   26.2   15.6   24.8   26.2  584.8  400.5
 2017 139   190    3.6   14.5   15.7   12.7   25.4   0.60   27.9   17.2   22.7   24.3   16.5   22.7   24.3  749.7  400.5
 2017 140   191    0.4   14.5   15.7   12.8   25.6   0.60   23.3    5.5   14.7   17.4   10.1   14.7   17.4  508.1  400.5
 2017 141   192    5.2   14.5   15.8   12.8   25.6   0.60    9.0    5.8    7.5    7.9    6.0    7.5    7.9  486.5  400.5
 2017 142   193   12.8   14.6   15.8   12.8   25.6   0.60   18.3    9.4   14.0   15.3   13.3   14.0   15.3  350.2  400.5
 2017 143   194    0.0   14.6   15.8   12.9   25.8   0.60   14.1    7.1   10.7   11.8    7.0   10.7   11.8  415.1  400.5
 2017 144   195    1.8   14.6   15.9   12.9   25.8   0.60   21.6   12.3   17.1   18.5   11.7   17.1   18.5  404.0  400.5
 2017 145   196   12.1   14.7   15.9   12.9   25.8   0.60   15.5   10.8   13.2   13.9   11.9   13.2   13.9  170.1  400.5
 2017 146   197    0.0   14.7   15.9   13.0   26.0   0.60   15.1   11.8   13.5   14.0   11.7   13.5   14.0  395.6  400.5
 2017 147   198    0.0   14.7   16.0   13.0   26.0   0.60   19.8   12.0   16.1   17.2   12.6   16.1   17.2  195.0  400.5
 2017 148   199   10.1   14.7   16.0   13.0   26.0   0.60   20.9   11.4   16.3   17.8   13.8   16.3   17.8  232.6  400.5
 2017 149   200    0.0   14.8   16.0   13.0   26.0   0.60   25.2   14.0   19.8   21.5   15.9   19.8   21.5  126.1  400.5
 2017 150   201    0.2   14.8   16.0   13.1   26.2   0.60   23.3   14.7   19.2   20.5   12.3   19.2   20.5  313.7  400.5
 2017 151   202    0.1   14.8   16.1   13.1   26.2   0.60   22.7   11.3   17.2   19.0    8.7   17.2   19.0  446.7  400.5
 2017 152   203    0.0   14.8   16.1   13.1   26.2   0.60   22.4   10.2   16.6   18.4    7.2   16.6   18.4  386.5  400.5
 2017 153   204    0.0   14.8   16.1   13.1   26.2   0.60   21.9   10.7   16.5   18.3    6.3   16.5   18.3  344.2  400.5
 2017 154   205    0.0   14.9   16.1   13.2   26.4   0.60   26.0   11.6   19.1   21.3    7.0   19.1   21.3  178.7  400.5
 2017 155   206    0.0   14.9   16.2   13.2   26.4   0.60   29.0   14.1   21.9   24.2    8.5   21.9   24.2  181.4  400.5
 2017 156   207    0.1   14.9   16.2   13.2   26.4   0.60   30.5   20.9   25.9   27.4   17.3   25.9   27.4  268.7  400.5
 2017 157   208    0.0   14.9   16.2   13.2   26.4   0.60   31.4   14.5   23.3   25.9   12.5   23.3   25.9  221.4  400.5
 2017 158   209    0.0   14.9   16.2   13.2   26.4   0.60   25.6   11.2   18.7   20.9    9.8   18.7   20.9  393.8  400.5
 2017 159   210    0.0   15.0   16.2   13.2   26.4   0.60   24.3   12.1   18.5   20.4    7.8   18.5   20.4  293.3  400.5
 2017 160   211    0.0   15.0   16.3   13.3   26.6   0.60   24.4   11.2   18.1   20.1    6.5   18.1   20.1  239.0  400.5
 2017 161   212    2.5   15.0   16.3   13.3   26.6   0.60   27.2   17.4   22.5   24.0    9.4   22.5   24.0  231.6  400.5
 2017 162   213    0.1   15.0   16.3   13.3   26.6   0.60   29.9   18.3   24.4   26.2   14.6   24.4   26.2  319.3  400.5
 2017 163   214    0.0   15.0   16.3   13.3   26.6   0.60   30.6   20.5   25.8   27.3   13.9   25.8   27.3  596.2  400.5
 2017 164   215    0.0   15.0   16.3   13.3   26.6   0.60   32.7   22.3   27.8   29.4   17.8   27.8   29.4  510.6  400.5
 2017 165   216    0.0   15.0   16.3   13.3   26.6   0.60   32.9   21.6   27.5   29.3   19.2   27.5   29.3  282.9  400.5
 2017 166   217    0.0   15.0   16.3   13.3   26.6   0.60   32.5   21.2   27.1   28.9   20.3   27.1   28.9  297.3  400.5
 2017 167   218   10.5   15.0   16.3   13.3   26.6   0.60   33.0   20.1   26.9   28.9   19.7   26.9   28.9  392.5  400.5
 2017 168   219   23.9   15.0   16.4   13.3   26.6   0.60   31.8   17.1   24.8   27.1   17.0   24.8   27.1  277.5  400.5
 2017 169   220    7.3   15.0   16.4   13.3   26.6   0.60   28.8   19.9   24.6   25.9   19.9   24.6   25.9  241.3  400.5
 2017 170   221    8.8   15.0   16.4   13.3   26.6   0.60   28.4   19.5   24.2   25.5   20.6   24.2   25.5  301.8  400.5
 2017 171   222    1.0   15.0   16.4   13.3   26.6   0.60   23.8   15.9   20.0   21.3   14.9   20.0   21.3  365.0  400.5
 2017 172   223    0.7   15.0   16.4   13.3   26.6   0.60   25.1   14.2   19.9   21.6   13.4   19.9   21.6  333.7  400.5
 2017 173   224    3.7   15.0   16.4   13.3   26.6   0.60   26.3   12.9   19.9   22.0   13.9   19.9   22.0  195.3  400.5
 2017 174   225    0.0   15.0   16.4   13.3   26.6   0.60   25.8   21.2   23.6   24.3   17.4   23.6   24.3  249.6  400.5
 2017 175   226   13.8   15.0   16.4   13.3   26.6   0.60   30.1   18.6   24.6   26.4   21.0   24.6   26.4  401.1  400.5
 2017 176   227    0.3   15.0   16.4   13.3   26.6   0.60   26.5   14.3   20.7   22.6   13.8   20.7   22.6  377.3  400.5
 2017 177   228    0.1   15.0   16.4   13.3   26.6   0.60   21.6   11.0   16.6   18.2    9.8   16.6   18.2  370.3  400.5
 2017 178   229    0.0   15.0   16.4   13.3   26.6   0.60   19.5   11.6   15.7   17.0    9.7   15.7   17.0  371.8  400.5
 2017 179   230    0.0   15.0   16.4   13.3   26.6   0.60   21.1    9.1   15.4   17.2    7.7   15.4   17.2  336.0  400.5
 2017 180   231    0.1   15.0   16.3   13.3   26.6   0.60   23.7   13.9   19.0   20.5    9.2   19.0   20.5  245.2  400.5
 2017 181   232   11.7   15.0   16.3   13.3   26.6   0.60   24.6   15.7   20.4   21.7   17.6   20.4   21.7  484.7  400.5
 2017 182   233    2.4   15.0   16.3   13.3   26.6   0.60   25.7   16.7   21.4   22.8   18.8   21.4   22.8  229.4  400.5
 2017 183   234    0.0   15.0   16.3   13.2   26.4   0.60   26.1   17.5   22.0   23.3   18.7   22.0   23.3  245.3  400.5
 2017 184   235    0.0   15.0   16.3   13.2   26.4   0.60   26.0   14.5   20.5   22.3   14.1   20.5   22.3  308.3  400.5
 2017 185   236    0.0   15.0   16.3   13.2   26.4   0.60   30.0   19.0   24.8   26.4   17.5   24.8   26.4  262.9  400.5
 2017 186   237    1.1   15.0   16.3   13.2   26.4   0.60   27.9   16.5   22.5   24.2   17.1   22.5   24.2  196.0  400.5
 2017 187   238    0.0   14.9   16.3   13.2   26.4   0.60   28.9   17.8   23.6   25.3   19.7   23.6   25.3  171.9  400.5
 2017 188   239    3.0   14.9   16.2   13.2   26.4   0.60   29.1   18.4   24.0   25.6   19.8   24.0   25.6  166.0  400.5
 2017 189   240    0.0   14.9   16.2   13.1   26.2   0.60   31.3   22.6   27.1   28.5   21.4   27.1   28.5  264.7  400.5
 2017 190   241    0.0   14.9   16.2   13.1   26.2   0.60   29.2   15.3   22.6   24.7   16.6   22.6   24.7  246.6  400.5
 2017 191   242    0.0   14.9   16.2   13.1   26.2   0.60   25.5   15.0   20.5   22.1   12.6   20.5   22.1  179.7  400.5
 2017 192   243   18.3   14.8   16.2   13.1   26.2   0.60   28.8   18.4   23.8   25.4   18.8   23.8   25.4  257.6  400.5
 2017 193   244    2.4   14.8   16.1   13.0   26.0   0.60   27.7   20.0   24.0   25.2   21.7   24.0   25.2  173.5  400.5
 2017 194   245    0.0   14.8   16.1   13.0   26.0   0.60   27.7   20.0   24.0   25.2   22.6   24.0   25.2  185.4  400.5
 2017 195   246   15.5   14.8   16.1   13.0   26.0   0.60   27.9   21.7   24.9   25.9   22.4   24.9   25.9  276.7  400.5
 2017 196   247    0.1   14.8   16.1   13.0   26.0   0.60   26.6   16.7   21.8   23.4   19.3   21.8   23.4  279.5  400.5
 2017 197   248    0.0   14.7   16.0   12.9   25.8   0.60   20.4   14.0   17.3   18.3   14.8   17.3   18.3  186.6  400.5
 2017 198   249    8.0   14.7   16.0   12.9   25.8   0.60   26.2   19.7   23.1   24.1   18.2   23.1   24.1  196.5  400.5
 2017 199   250    0.0   14.7   16.0   12.9   25.8   0.60   24.8   12.6   18.9   20.8   15.8   18.9   20.8  195.9  400.5
 2017 200   251    0.0   14.7   16.0   12.8   25.6   0.60   26.7   13.8   20.5   22.4   14.4   20.5   22.4   96.0  400.5
 2017 201   252    0.0   14.6   15.9   12.8   25.6   0.60   29.5   20.4   25.1   26.5   20.5   25.1   26.5  156.1  400.5
 2017 202   253   44.1   14.6   15.9   12.8   25.6   0.60   31.9   19.9   26.1   27.9   21.8   26.1   27.9  191.4  400.5
 2017 203   254    2.6   14.6   15.9   12.7   25.4   0.60   29.6   21.7   25.8   27.0   23.2   25.8   27.0  191.9  400.5
 2017 204   255   44.2   14.5   15.8   12.7   25.4   0.60   29.5   19.4   24.6   26.1   21.9   24.6   26.1  335.8  400.5
 2017 205   256    0.5   14.5   15.8   12.6   25.2   0.60   28.9   22.7   25.9   26.8   22.8   25.9   26.8  157.8  400.5
 2017 206   257    0.0   14.5   15.8   12.6   25.2   0.60   31.0   18.1   24.8   26.7   19.4   24.8   26.7  286.2  400.5
 2017 207   258    0.0   14.5   15.7   12.6   25.2   0.60   23.8   14.1   19.1   20.5   15.6   19.1   20.5  188.7  400.5
 2017 208   259    0.0   14.4   15.7   12.5   25.0   0.60   25.6   17.1   21.5   22.7   16.9   21.5   22.7  247.6  400.5
 2017 209   260   12.1   14.4   15.7   12.5   25.0   0.60   27.6   21.2   24.5   25.4   22.2   24.5   25.4  167.2  400.5
 2017 210   261    0.0   14.4   15.6   12.4   24.8   0.60   27.1   16.3   21.8   23.5   16.9   21.8   23.5  297.1  400.5
 2017 211   262    0.0   14.3   15.6   12.4   24.8   0.60   25.3   14.4   20.0   21.6   15.2   20.0   21.6  274.3  400.5
 2017 212   263    0.0   14.3   15.5   12.4   24.8   0.60   24.6   13.2   19.0   20.7   13.1   19.0   20.7  170.2  400.5
 2017 213   264    0.0   14.3   15.5   12.3   24.6   0.60   26.7   16.1   21.5   23.1   15.1   21.5   23.1   72.0  400.5
 2017 214   265    0.0   14.2   15.5   12.3   24.6   0.60   27.3   17.5   22.5   24.0   16.5   22.5   24.0   61.7  400.5
 2017 215   266    0.0   14.2   15.4   12.2   24.4   0.60   28.9   17.5   23.3   25.0   18.2   23.3   25.0  108.3  400.5
 2017 216   267    0.0   14.1   15.4   12.2   24.4   0.60   28.5   18.1   23.4   24.9   19.3   23.4   24.9  166.2  400.5
 2017 217   268    0.7   14.1   15.3   12.1   24.2   0.60   28.4   12.5   20.6   22.9   15.8   20.6   22.9  405.0  400.5
 2017 218   269    0.1   14.1   15.3   12.1   24.2   0.60   20.4   13.2   16.9   17.9   12.3   16.9   17.9  319.3  400.5
 2017 219   270    0.0   14.0   15.3   12.0   24.0   0.60   24.8   15.9   20.4   21.7   15.2   20.4   21.7  144.0  400.5
 2017 220   271    0.0   14.0   15.2   11.9   23.8   0.60   23.1   13.8   18.5   20.2   15.1   18.5   20.2  165.5  400.5
 2017 221   272    0.0   13.9   15.2   11.9   23.8   0.60   24.0   10.7   17.4   19.9   13.0   17.4   19.9  178.4  400.5
 2017 222   273    0.0   13.9   15.1   11.8   23.6   0.60   26.2   10.7   18.5   21.4   13.5   18.5   21.4  158.5  400.5
 2017 223   274    0.0   13.9   15.1   11.8   23.6   0.60   26.1   13.1   19.7   22.1   14.6   19.7   22.1  175.5  400.5
 2017 224   275    1.0   13.8   15.0   11.7   23.4   0.60   27.5   15.5   21.6   23.8   17.3   21.6   23.8  252.1  400.5
 2017 225   276    0.0   13.8   15.0   11.7   23.4   0.60   22.2   12.6   17.4   19.2   15.3   17.4   19.2  229.0  400.5
 2017 226   277    0.0   13.7   15.0   11.6   23.2   0.60   23.3   11.8   17.6   19.7   13.3   17.6   19.7  168.8  400.5
 2017 227   278    0.0   13.7   14.9   11.5   23.0   0.60   23.4   14.2   18.8   20.5   14.4   18.8   20.5   65.4  400.5
 2017 228   279    0.3   13.7   14.9   11.5   23.0   0.60   26.4   17.5   22.0   23.6   18.4   22.0   23.6  161.6  400.5
 2017 229   280    0.0   13.6   14.8   11.4   22.8   0.60   27.9   16.4   22.2   24.3   18.2   22.2   24.3  168.5  400.5
 2017 230   281   20.5   13.6   14.8   11.4   22.8   0.60   29.4   20.7   25.1   26.6   21.7   25.1   26.6  319.0  400.5
 2017 231   282    0.0   13.5   14.7   11.3   22.6   0.60   26.8   17.1   22.0   23.7   18.6   22.0   23.7  413.0  400.5
 2017 232   283    0.0   13.5   14.7   11.2   22.4   0.60   26.0   14.5   20.3   22.3   16.4   20.3   22.3  193.6  400.5
 2017 233   284    0.0   13.4   14.6   11.2   22.4   0.60   26.8   15.4   21.1   23.1   16.1   21.1   23.1   81.1  400.5
 2017 234   285    6.1   13.4   14.6   11.1   22.2   0.60   27.7   19.8   23.7   25.2   20.7   23.7   25.2  199.1  400.5
 2017 235   286    3.2   13.4   14.5   11.0   22.0   0.60   27.1   19.6   23.3   24.7   21.1   23.3   24.7  280.2  400.5
 2017 236   287    0.0   13.3   14.5   11.0   22.0   0.60   24.7   12.2   18.4   20.7   13.0   18.4   20.7  297.0  400.5
 2017 237   288    0.0   13.3   14.4   10.9   21.8   0.60   23.6   11.9   17.7   19.8   12.3   17.7   19.8  173.1  400.5
 2017 238   289    0.0   13.2   14.4   10.8   21.6   0.60   22.7    9.1   15.9   18.3   11.0   15.9   18.3  183.6  400.5
 2017 239   290    0.0   13.2   14.3   10.7   21.4   0.60   22.5   11.9   17.2   19.0   11.7   17.2   19.0  160.9  400.5
 2017 240   291    1.7   13.1   14.3   10.7   21.4   0.60   22.8   14.7   18.7   20.1   13.9   18.7   20.1  221.4  400.5
 2017 241   292    5.2   13.1   14.2   10.6   21.2   0.60   23.4   15.6   19.5   20.8   16.6   19.5   20.8  191.3  400.5
 2017 242   293    2.4   13.0   14.2   10.5   21.0   0.60   24.6   13.5   19.0   20.9   15.8   19.0   20.9  104.5  400.5
 2017 243   294    0.0   13.0   14.1   10.5   21.0   0.59   24.5   12.9   18.6   20.7   16.1   18.6   20.7  115.2  400.5
 2017 244   295    0.4   12.9   14.1   10.4   20.8   0.59   25.0   16.1   20.5   22.0   15.9   20.5   22.0  197.5  400.5
 2017 245   296    0.0   12.9   14.1   10.3   20.6   0.60   21.8    9.8   15.7   17.8   11.5   15.7   17.8  304.3  400.5
 2017 246   297    0.0   12.8   14.0   10.2   20.4   0.60   20.6    7.2   13.8   16.1    8.3   13.8   16.1  186.6  400.5
 2017 247   298    0.1   12.8   14.0   10.2   20.4   0.59   22.1   12.1   17.0   18.7   12.3   17.0   18.7  175.7  400.5
 2017 248   299    0.0   12.8   13.9   10.1   20.2   0.59   26.8   17.4   22.0   23.6   13.7   22.0   23.6  292.6  400.5
 2017 249   300    0.1   12.7   13.9   10.0   20.0   0.59   26.0    9.7   17.7   20.5   13.9   17.7   20.5  320.7  400.5
 2017 250   301    0.0   12.7   13.8    9.9   19.8   0.60   19.3    7.0   13.0   15.1    8.0   13.0   15.1  278.5  400.5
 2017 251   302    0.0   12.6   13.8    9.8   19.6   0.60   17.4    8.7   12.9   14.4    8.1   12.9   14.4  227.3  400.5
 2017 252   303    0.0   12.6   13.7    9.8   19.6   0.59   20.1   10.7   15.3   16.9    8.6   15.3   16.9  224.1  400.5
 2017 253   304    0.0   12.5   13.7    9.7   19.4   0.59   22.6   10.9   16.6   18.6   10.7   16.6   18.6  210.8  400.5
 2017 254   305    0.0   12.5   13.6    9.6   19.2   0.59   22.2    7.2   14.5   17.0    9.4   14.5   17.0  230.3  400.5
 2017 255   306    0.0   12.4   13.6    9.5   19.0   0.59   21.2    8.3   14.6   16.7    8.8   14.6   16.7  158.2  400.5
 2017 256   307    0.0   12.4   13.5    9.4   18.8   0.60   23.2    8.8   15.8   18.2   10.2   15.8   18.2   78.1  400.5
 2017 257   308    0.0   12.3   13.5    9.4   18.8   0.59   25.5    8.8   16.9   19.7   10.1   16.9   19.7  192.3  400.5
 2017 258   309    0.0   12.3   13.4    9.3   18.6   0.59   25.9   10.5   17.9   20.5   14.4   17.9   20.5  154.2  400.5
 2017 259   310    0.0   12.2   13.4    9.2   18.4   0.59   26.3   12.7   19.3   21.5   15.4   19.3   21.5  198.8  400.5
 2017 260   311    0.0   12.2   13.3    9.1   18.2   0.59   29.5   14.7   21.8   24.3   16.7   21.8   24.3  282.7  400.5
 2017 261   312    0.0   12.1   13.3    9.0   18.0   0.59   29.5   17.7   23.4   25.3   17.6   23.4   25.3  251.3  400.5
 2017 262   313    0.0   12.1   13.2    9.0   18.0   0.59   26.6   10.3   18.1   20.8   14.4   18.1   20.8  198.5  400.5
 2017 263   314    6.3   12.0   13.2    8.9   17.8   0.59   26.7   15.8   21.0   22.8   13.6   21.0   22.8  188.8  400.5
 2017 264   315    0.0   12.0   13.1    8.8   17.6   0.59   26.2   17.0   21.4   23.3   17.8   21.4   23.3  226.7  400.5
 2017 265   316    0.0   11.9   13.1    8.7   17.4   0.59   32.5   20.9   26.4   28.8   20.2   26.4   28.8  289.9  400.5
 2017 266   317    0.0   11.9   13.0    8.6   17.2   0.59   32.3   20.1   25.9   28.4   19.8   25.9   28.4  240.3  400.5
 2017 267   318    0.0   11.8   13.0    8.5   17.0   0.59   33.3   19.2   25.9   28.7   18.8   25.9   28.7  217.6  400.5
 2017 268   319    0.0   11.8   12.9    8.5   17.0   0.59   33.0   18.5   25.4   28.3   18.3   25.4   28.3  162.7  400.5
 2017 269   320    0.0   11.7   12.9    8.4   16.8   0.59   31.5   17.4   24.1   26.9   16.2   24.1   26.9  223.6  400.5
 2017 270   321    0.0   11.7   12.8    8.3   16.6   0.59   32.3   17.9   24.7   27.6   15.6   24.7   27.6  190.6  400.5
 2017 271   322    0.0   11.7   12.8    8.2   16.4   0.59   31.4   14.1   22.3   25.7   15.9   22.3   25.7  350.8  400.5
 2017 272   323    0.0   11.6   12.7    8.1   16.2   0.59   20.7    6.9   13.4   16.1    8.1   13.4   16.1  260.1  400.5
 2017 273   324    0.0   11.6   12.7    8.0   16.0   0.59   21.7   11.6   16.4   18.4    8.3   16.4   18.4  232.6  400.5
 2017 274   325    0.0   11.5   12.6    8.0   16.0   0.59   19.7    7.0   13.0   15.5    6.1   13.0   15.5  251.9  400.5
 2017 275   326    0.0   11.5   12.6    7.9   15.8   0.59   20.2    7.2   13.3   15.9    5.5   13.3   15.9  254.7  400.5
 2017 276   327    0.0   11.4   12.5    7.8   15.6   0.59   20.7   13.9   17.1   18.4    6.4   17.1   18.4  344.2  400.5
 2017 277   328    0.0   11.4   12.5    7.7   15.4   0.59   27.4   17.7   22.3   24.1   13.3   22.3   24.1  418.3  400.5
 2017 278   329    1.4   11.3   12.4    7.6   15.2   0.59   25.1   16.9   20.8   22.3   18.6   20.8   22.3  419.7  400.5
 2017 279   330    0.0   11.3   12.4    7.5   15.0   0.59   23.8   10.9   16.9   19.4    9.2   16.9   19.4  181.7  400.5
 2017 280   331    1.0   11.2   12.4    7.5   15.0   0.59   24.3   15.5   19.6   21.3   11.4   19.6   21.3  169.7  400.5
 2017 281   332    8.1   11.2   12.3    7.4   14.8   0.59   19.8   16.1   17.8   18.5   17.6   17.8   18.5  328.9  400.5
 2017 282   333    6.5   11.1   12.3    7.3   14.6   0.59   23.1    9.6   15.9   18.5   13.7   15.9   18.5  411.8  400.5
 2017 283   334    0.0   11.1   12.2    7.2   14.4   0.59   25.3   10.6   17.5   20.2   10.5   17.5   20.2  187.6  400.5
 2017 284   335    0.0   11.0   12.2    7.1   14.2   0.59   25.9   13.2   19.1   21.5   12.5   19.1   21.5  238.9  400.5
 2017 285   336   38.5   11.0   12.1    7.1   14.2   0.59   16.2   12.6   14.3   14.9   12.2   14.3   14.9  429.2  400.5
 2017 286   337    3.8   10.9   12.1    7.0   14.0   0.59   14.5   12.6   13.5   13.8   12.8   13.5   13.8  303.4  400.5
 2017 287   338    0.3   10.9   12.0    6.9   13.8   0.59   14.0   11.7   12.8   13.2   12.6   12.8   13.2  183.5  400.5
 2017 288   339   45.1   10.9   12.0    6.8   13.6   0.59   21.5   10.8   15.8   17.7   14.1   15.8   17.7  224.0  400.5
