*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    
 2017 111   162   470   211     11     37    256     0     0   150    0.00   0.0   0.0   0.00   0.425   0.410   0.406   0.408   0.384   0.276   0.245   0.239
 2017 112   163   468   209     11     37    257     0     0   150    0.00   0.0   0.0   0.00   0.414   0.404   0.402   0.406   0.381   0.277   0.246   0.239
 2017 113   164   464   205     11     38    257     0     0   150    0.00   0.0   0.0   0.00   0.401   0.398   0.397   0.401   0.375   0.275   0.246   0.240
 2017 114   165   460   200     11     40    257     0     0   150    0.00   0.0   0.0   0.00   0.388   0.393   0.393   0.396   0.369   0.273   0.245   0.240
 2017 115   166   457   198     11     40    257     0     0   150    0.00   0.0   0.0   0.00   0.377   0.387   0.388   0.393   0.366   0.273   0.246   0.239
 2017 116   167   453   194     11     42    257     0     0   150    0.00   0.0   0.0   0.00   0.363   0.381   0.383   0.389   0.360   0.271   0.245   0.240
 2017 117   168   454   194     11     42    260     0     0   150    0.00   0.0   0.0   0.00   0.417   0.376   0.379   0.385   0.357   0.272   0.245   0.239
 2017 118   169   462   203     12     42    271     0     0   150    0.00   0.0   0.0   0.15   0.424   0.433   0.399   0.384   0.354   0.272   0.246   0.239
 2017 119   170   461   202     12     42    273     0     0   150    0.00   0.0   0.0   0.00   0.427   0.432   0.396   0.383   0.352   0.272   0.247   0.238
 2017 120   171   459   200     12     42    273     0     0   150    0.00   0.0   0.0   0.00   0.414   0.425   0.393   0.381   0.349   0.272   0.247   0.238
 2017 121   172   497   237     22     42    323     0     0   150    0.00   0.0   0.0  10.77   0.427   0.433   0.431   0.430   0.410   0.316   0.250   0.238
 2017 122   173   505   245     23     42    334     0     0   150    0.00   0.0   0.0   0.54   0.426   0.433   0.431   0.429   0.410   0.340   0.253   0.238
 2017 123   174   509   249     23     42    341     0     0   150    0.00   0.0   0.0   0.14   0.426   0.433   0.431   0.429   0.410   0.349   0.257   0.239
 2017 124   175   507   248     23     42    342     0     0   150    0.00   0.0   0.0   0.00   0.427   0.427   0.427   0.427   0.407   0.347   0.261   0.239
 2017 125   176   505   246     23     42    342     0     0   150    0.00   0.0   0.0   0.00   0.414   0.421   0.422   0.425   0.404   0.344   0.264   0.240
 2017 126   177   498   239     23     46    342     0     0   150    0.00   0.0   0.0   0.00   0.400   0.414   0.416   0.419   0.396   0.339   0.263   0.240
 2017 127   178   503   244     23     46    349     0     0   150    0.00   0.0   0.0   0.04   0.425   0.433   0.429   0.417   0.393   0.336   0.265   0.240
 2017 128   179   497   237     23     50    349     0     0   150    0.00   0.0   0.0   0.00   0.411   0.425   0.422   0.411   0.386   0.331   0.264   0.240
 2017 129   180   490   231     23     54    349     0     0   150    0.00   0.0   0.0   0.00   0.397   0.417   0.416   0.406   0.380   0.327   0.262   0.240
 2017 130   181   496   237     23     54    357     0     0   150    0.00   0.0   0.0   0.09   0.425   0.433   0.431   0.412   0.377   0.324   0.264   0.240
 2017 131   182   490   231     23     57    357     0     0   150    0.00   0.0   0.0   0.00   0.410   0.424   0.424   0.406   0.371   0.320   0.263   0.240
 2017 132   183   505   245     25     57    376     0     0   150    0.00   0.0   0.0   1.39   0.424   0.432   0.431   0.429   0.410   0.327   0.265   0.241
 2017 133   184   498   238     25     61    376     0     0   150    0.00   0.0   0.0   0.00   0.408   0.424   0.424   0.423   0.402   0.323   0.263   0.240
 2017 134   185   491   232     25     65    376     0     0   150    0.00   0.0   0.0   0.00   0.393   0.416   0.417   0.416   0.394   0.318   0.262   0.240
 2017 135   186   485   225     25     68    376     0     0   150    0.00   0.0   0.0   0.00   0.376   0.407   0.410   0.410   0.387   0.314   0.260   0.239
 2017 136   187   479   219     25     71    376     0     0   150    0.00   0.0   0.0   0.00   0.362   0.399   0.404   0.404   0.380   0.310   0.259   0.239
 2017 137   188   472   213     25     74    376     0     0   150    0.00   0.0   0.0   0.00   0.346   0.391   0.397   0.398   0.373   0.306   0.257   0.239
 2017 138   189   466   207     25     76    376     0     0   150    0.00   0.0   0.0   0.00   0.331   0.384   0.391   0.393   0.366   0.302   0.256   0.239
 2017 139   190   467   207     25     76    380     0     0   150    0.00   0.0   0.0   0.00   0.386   0.377   0.386   0.389   0.363   0.300   0.257   0.240
 2017 140   191   464   205     25     76    380     0     0   150    0.00   0.0   0.0   0.00   0.378   0.372   0.381   0.386   0.360   0.299   0.258   0.240
 2017 141   192   467   208     25     76    386     0     0   150    0.00   0.0   0.0   0.00   0.426   0.388   0.378   0.384   0.357   0.298   0.259   0.240
 2017 142   193   476   217     25     76    398     0     0   150    0.00   0.0   0.0   0.39   0.423   0.432   0.417   0.383   0.354   0.296   0.260   0.241
 2017 143   194   471   212     25     79    398     0     0   150    0.00   0.0   0.0   0.00   0.407   0.424   0.411   0.379   0.349   0.293   0.258   0.240
 2017 144   195   470   210     25     79    400     0     0   150    0.00   0.0   0.0   0.00   0.422   0.417   0.406   0.378   0.346   0.292   0.259   0.240
 2017 145   196   479   219     25     79    412     0     0   150    0.00   0.0   0.0   0.49   0.423   0.432   0.431   0.403   0.345   0.291   0.260   0.241
 2017 146   197   473   214     25     82    412     0     0   150    0.00   0.0   0.0   0.00   0.406   0.423   0.423   0.398   0.340   0.288   0.258   0.240
 2017 147   198   467   208     25     84    412     0     0   150    0.00   0.0   0.0   0.00   0.390   0.415   0.416   0.393   0.336   0.285   0.257   0.240
 2017 148   199   474   215     26     84    422     0     0   150    0.00   0.0   0.0   0.14   0.423   0.431   0.430   0.405   0.335   0.284   0.257   0.240
 2017 149   200   468   209     26     87    422     0     0   150    0.00   0.0   0.0   0.00   0.403   0.422   0.422   0.399   0.331   0.282   0.256   0.240
 2017 150   201   465   206     26     87    423     0     0   150    0.00   0.0   0.0   0.00   0.389   0.413   0.417   0.398   0.330   0.281   0.256   0.240
 2017 151   202   462   203     26     87    423     0     0   150    0.00   0.0   0.0   0.00   0.375   0.405   0.411   0.396   0.329   0.279   0.256   0.240
 2017 152   203   457   198     26     89    423     0     0   150    0.00   0.0   0.0   0.00   0.360   0.398   0.405   0.390   0.325   0.277   0.255   0.239
 2017 153   204   453   193     26     90    423     0     0   150    0.00   0.0   0.0   0.00   0.346   0.390   0.398   0.386   0.322   0.275   0.254   0.239
 2017 154   205   448   188     26     92    423     0     0   150    0.00   0.0   0.0   0.00   0.331   0.383   0.392   0.381   0.318   0.273   0.252   0.239
 2017 155   206   443   184     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.328   0.379   0.387   0.376   0.314   0.270   0.250   0.238
 2017 156   207   440   180     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.327   0.375   0.382   0.372   0.311   0.268   0.249   0.237
 2017 157   208   436   177     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.324   0.371   0.377   0.368   0.307   0.265   0.246   0.238
 2017 158   209   432   173     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.321   0.368   0.373   0.363   0.304   0.262   0.245   0.238
 2017 159   210   429   170     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.318   0.365   0.369   0.360   0.300   0.260   0.243   0.238
 2017 160   211   426   167     26     93    423     0     0   150    0.00   0.0   0.0   0.00   0.314   0.362   0.365   0.356   0.297   0.258   0.242   0.237
 2017 161   212   425   166     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.361   0.358   0.361   0.353   0.295   0.256   0.241   0.236
 2017 162   213   421   162     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.344   0.351   0.357   0.350   0.293   0.255   0.240   0.235
 2017 163   214   418   158     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.339   0.347   0.353   0.347   0.290   0.253   0.239   0.233
 2017 164   215   414   154     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.333   0.342   0.349   0.343   0.288   0.251   0.237   0.231
 2017 165   216   410   151     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.327   0.337   0.346   0.340   0.285   0.249   0.236   0.229
 2017 166   217   406   147     26     93    425     0     0   150    0.00   0.0   0.0   0.00   0.321   0.333   0.342   0.337   0.283   0.247   0.234   0.228
 2017 167   218   413   154     26     93    436     0     0   150    0.00   0.0   0.0   0.00   0.417   0.370   0.339   0.335   0.281   0.246   0.233   0.227
 2017 168   219   432   172     27     93    460     0     0   150    0.00   0.0   0.0   1.68   0.417   0.429   0.426   0.337   0.280   0.246   0.233   0.227
 2017 169   220   435   176     27     93    467     0     0   150    0.00   0.0   0.0   0.14   0.418   0.429   0.429   0.362   0.280   0.245   0.232   0.226
 2017 170   221   440   181     28     93    476     0     0   150    0.00   0.0   0.0   0.24   0.421   0.428   0.429   0.396   0.282   0.244   0.231   0.226
 2017 171   222   438   179     28     93    477     0     0   150    0.00   0.0   0.0   0.00   0.421   0.420   0.423   0.393   0.284   0.244   0.231   0.225
 2017 172   223   436   176     28     93    478     0     0   150    0.00   0.0   0.0   0.00   0.417   0.412   0.418   0.390   0.286   0.243   0.231   0.225
 2017 173   224   436   177     28     93    481     0     0   150    0.00   0.0   0.0   0.00   0.422   0.427   0.413   0.388   0.287   0.243   0.230   0.225
 2017 174   225   433   173     28     93    481     0     0   150    0.00   0.0   0.0   0.00   0.404   0.418   0.405   0.381   0.285   0.246   0.230   0.224
 2017 175   226   443   183     28     93    495     0     0   150    0.00   0.0   0.0   0.54   0.421   0.430   0.429   0.409   0.288   0.246   0.229   0.224
 2017 176   227   440   180     28     93    495     0     0   150    0.00   0.0   0.0   0.00   0.410   0.422   0.424   0.404   0.289   0.246   0.229   0.224
 2017 177   228   437   177     28     93    496     0     0   150    0.00   0.0   0.0   0.00   0.397   0.415   0.418   0.400   0.291   0.245   0.228   0.223
 2017 178   229   434   175     28     93    496     0     0   150    0.00   0.0   0.0   0.00   0.382   0.406   0.412   0.394   0.289   0.249   0.228   0.223
 2017 179   230   431   172     28     93    496     0     0   150    0.00   0.0   0.0   0.00   0.369   0.398   0.405   0.388   0.287   0.252   0.228   0.223
 2017 180   231   428   169     28     93    496     0     0   150    0.00   0.0   0.0   0.00   0.358   0.389   0.399   0.385   0.288   0.252   0.227   0.222
 2017 181   232   437   177     28     93    507     0     0   150    0.00   0.0   0.0   0.04   0.425   0.430   0.411   0.383   0.288   0.252   0.227   0.222
 2017 182   233   436   177     28     93    510     0     0   150    0.00   0.0   0.0   0.00   0.424   0.429   0.410   0.380   0.288   0.252   0.227   0.222
 2017 183   234   433   173     28     93    510     0     0   150    0.00   0.0   0.0   0.00   0.408   0.418   0.404   0.375   0.286   0.253   0.229   0.222
 2017 184   235   430   170     28     93    510     0     0   150    0.00   0.0   0.0   0.00   0.395   0.410   0.397   0.369   0.284   0.253   0.232   0.221
 2017 185   236   426   167     28     93    510     0     0   150    0.00   0.0   0.0   0.00   0.381   0.402   0.389   0.363   0.282   0.252   0.233   0.221
 2017 186   237   424   165     28     93    511     0     0   150    0.00   0.0   0.0   0.00   0.389   0.394   0.383   0.360   0.281   0.252   0.233   0.221
 2017 187   238   421   162     28     93    511     0     0   150    0.00   0.0   0.0   0.00   0.377   0.385   0.377   0.355   0.280   0.253   0.233   0.221
 2017 188   239   421   162     28     93    514     0     0   150    0.00   0.0   0.0   0.00   0.423   0.378   0.371   0.352   0.279   0.252   0.233   0.220
 2017 189   240   418   158     28     93    514     0     0   150    0.00   0.0   0.0   0.00   0.409   0.370   0.365   0.348   0.279   0.252   0.233   0.220
 2017 190   241   415   155     28     93    514     0     0   150    0.00   0.0   0.0   0.00   0.397   0.363   0.360   0.344   0.278   0.251   0.233   0.220
 2017 191   242   412   152     28     93    514     0     0   150    0.00   0.0   0.0   0.00   0.387   0.357   0.355   0.340   0.277   0.250   0.233   0.220
 2017 192   243   426   167     29     93    532     0     0   150    0.00   0.0   0.0   0.45   0.428   0.430   0.396   0.339   0.275   0.250   0.232   0.220
 2017 193   244   426   166     29     93    535     0     0   150    0.00   0.0   0.0   0.00   0.429   0.430   0.396   0.338   0.273   0.249   0.232   0.220
 2017 194   245   423   163     29     93    535     0     0   150    0.00   0.0   0.0   0.00   0.417   0.420   0.390   0.336   0.274   0.248   0.232   0.220
 2017 195   246   434   175     30     93    550     0     0   150    0.00   0.0   0.0   0.88   0.431   0.433   0.428   0.366   0.273   0.247   0.232   0.219
 2017 196   247   431   172     30     93    550     0     0   150    0.00   0.0   0.0   0.00   0.426   0.428   0.424   0.362   0.270   0.245   0.232   0.219
 2017 197   248   429   169     30     93    550     0     0   150    0.00   0.0   0.0   0.00   0.418   0.422   0.418   0.356   0.275   0.243   0.232   0.219
 2017 198   249   434   174     30     93    558     0     0   150    0.00   0.0   0.0   0.16   0.431   0.433   0.431   0.370   0.274   0.241   0.232   0.219
 2017 199   250   431   172     30     93    558     0     0   150    0.00   0.0   0.0   0.00   0.423   0.427   0.425   0.363   0.279   0.239   0.232   0.219
 2017 200   251   428   169     30     93    558     0     0   150    0.00   0.0   0.0   0.00   0.415   0.421   0.419   0.357   0.279   0.240   0.231   0.219
 2017 201   252   425   166     30     93    558     0     0   150    0.00   0.0   0.0   0.00   0.405   0.414   0.413   0.351   0.279   0.239   0.231   0.219
 2017 202   253   458   199     38     93    602     0     0   150    0.00   0.0   0.0   7.82   0.429   0.432   0.430   0.427   0.385   0.241   0.231   0.219
 2017 203   254   458   198     38     93    605     0     0   150    0.00   0.0   0.0   0.01   0.432   0.434   0.432   0.424   0.381   0.241   0.231   0.219
 2017 204   255   490   230     47     93    649     0     0   150    0.00   0.0   0.0   9.04   0.432   0.435   0.432   0.426   0.408   0.329   0.235   0.219
 2017 205   256   487   228     47     93    650     0     0   150    0.00   0.0   0.0   0.00   0.432   0.430   0.428   0.423   0.404   0.324   0.239   0.218
 2017 206   257   484   225     47     93    650     0     0   150    0.00   0.0   0.0   0.00   0.422   0.423   0.422   0.417   0.396   0.317   0.243   0.225
 2017 207   258   481   222     47     93    650     0     0   150    0.00   0.0   0.0   0.00   0.413   0.416   0.415   0.411   0.389   0.311   0.244   0.235
 2017 208   259   477   218     47     95    650     0     0   150    0.00   0.0   0.0   0.00   0.403   0.409   0.409   0.405   0.382   0.305   0.243   0.240
 2017 209   260   486   226     47     95    662     0     0   150    0.00   0.0   0.0   0.31   0.429   0.432   0.430   0.421   0.379   0.303   0.246   0.240
 2017 210   261   480   221     47     98    662     0     0   150    0.00   0.0   0.0   0.00   0.420   0.425   0.424   0.415   0.372   0.298   0.245   0.240
 2017 211   262   474   215     47    101    662     0     0   150    0.00   0.0   0.0   0.00   0.410   0.419   0.418   0.409   0.365   0.293   0.244   0.240
 2017 212   263   469   210     47    103    662     0     0   150    0.00   0.0   0.0   0.00   0.400   0.412   0.413   0.403   0.358   0.289   0.243   0.240
 2017 213   264   464   205     47    105    662     0     0   150    0.00   0.0   0.0   0.00   0.390   0.405   0.407   0.398   0.352   0.285   0.243   0.240
 2017 214   265   459   200     47    107    662     0     0   150    0.00   0.0   0.0   0.00   0.380   0.398   0.401   0.392   0.347   0.282   0.243   0.240
 2017 215   266   455   195     47    109    662     0     0   150    0.00   0.0   0.0   0.00   0.370   0.391   0.395   0.387   0.342   0.279   0.243   0.240
 2017 216   267   450   191     47    110    662     0     0   150    0.00   0.0   0.0   0.00   0.361   0.384   0.389   0.382   0.337   0.276   0.243   0.240
 2017 217   268   448   189     47    110    662     0     0   150    0.00   0.0   0.0   0.00   0.366   0.378   0.384   0.379   0.335   0.275   0.244   0.240
 2017 218   269   446   187     47    110    662     0     0   150    0.00   0.0   0.0   0.00   0.360   0.373   0.380   0.376   0.332   0.274   0.245   0.239
 2017 219   270   442   183     47    111    662     0     0   150    0.00   0.0   0.0   0.00   0.351   0.367   0.375   0.372   0.328   0.272   0.244   0.240
 2017 220   271   439   179     47    112    662     0     0   150    0.00   0.0   0.0   0.00   0.343   0.362   0.370   0.368   0.324   0.270   0.243   0.240
 2017 221   272   435   176     47    113    662     0     0   150    0.00   0.0   0.0   0.00   0.339   0.359   0.367   0.364   0.320   0.267   0.243   0.239
 2017 222   273   432   173     47    113    662     0     0   150    0.00   0.0   0.0   0.00   0.335   0.355   0.363   0.360   0.317   0.265   0.243   0.239
 2017 223   274   429   170     47    113    662     0     0   150    0.00   0.0   0.0   0.00   0.332   0.351   0.359   0.357   0.313   0.263   0.243   0.239
 2017 224   275   428   168     47    113    663     0     0   150    0.00   0.0   0.0   0.00   0.348   0.347   0.356   0.354   0.310   0.261   0.242   0.239
 2017 225   276   425   166     47    113    663     0     0   150    0.00   0.0   0.0   0.00   0.340   0.342   0.352   0.351   0.307   0.260   0.243   0.238
 2017 226   277   423   163     47    113    663     0     0   150    0.00   0.0   0.0   0.00   0.336   0.338   0.350   0.348   0.304   0.258   0.243   0.238
 2017 227   278   420   161     47    113    663     0     0   150    0.00   0.0   0.0   0.00   0.333   0.335   0.347   0.345   0.301   0.256   0.243   0.238
 2017 228   279   418   158     47    113    664     0     0   150    0.00   0.0   0.0   0.00   0.335   0.331   0.344   0.342   0.299   0.255   0.242   0.237
 2017 229   280   415   155     47    113    664     0     0   150    0.00   0.0   0.0   0.00   0.331   0.327   0.341   0.339   0.296   0.253   0.241   0.236
 2017 230   281   432   173     47    113    684     0     0   150    0.00   0.0   0.0   0.16   0.428   0.432   0.363   0.338   0.294   0.252   0.241   0.236
 2017 231   282   430   170     47    113    684     0     0   150    0.00   0.0   0.0   0.00   0.415   0.423   0.359   0.338   0.292   0.252   0.240   0.236
 2017 232   283   427   168     47    113    684     0     0   150    0.00   0.0   0.0   0.00   0.404   0.415   0.356   0.338   0.290   0.251   0.239   0.235
 2017 233   284   424   165     47    113    684     0     0   150    0.00   0.0   0.0   0.00   0.393   0.409   0.352   0.338   0.288   0.250   0.239   0.235
 2017 234   285   428   168     47    113    690     0     0   150    0.00   0.0   0.0   0.00   0.428   0.433   0.355   0.335   0.286   0.249   0.238   0.235
 2017 235   286   428   169     47    113    693     0     0   150    0.00   0.0   0.0   0.02   0.429   0.434   0.365   0.334   0.284   0.248   0.237   0.235
 2017 236   287   426   166     47    113    693     0     0   150    0.00   0.0   0.0   0.00   0.419   0.428   0.361   0.335   0.283   0.246   0.237   0.234
 2017 237   288   423   164     47    113    693     0     0   150    0.00   0.0   0.0   0.00   0.409   0.421   0.357   0.336   0.281   0.245   0.236   0.234
 2017 238   289   421   162     47    113    693     0     0   150    0.00   0.0   0.0   0.00   0.399   0.415   0.354   0.336   0.280   0.244   0.236   0.234
 2017 239   290   419   159     47    113    693     0     0   150    0.00   0.0   0.0   0.00   0.389   0.409   0.350   0.336   0.278   0.243   0.235   0.234
 2017 240   291   418   159     47    113    695     0     0   150    0.00   0.0   0.0   0.00   0.412   0.404   0.349   0.334   0.277   0.242   0.234   0.234
 2017 241   292   421   161     47    113    700     0     0   150    0.00   0.0   0.0   0.00   0.428   0.433   0.349   0.332   0.276   0.241   0.234   0.233
 2017 242   293   421   161     47    113    703     0     0   150    0.00   0.0   0.0   0.01   0.428   0.434   0.355   0.330   0.274   0.240   0.233   0.233
 2017 243   294   418   159     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.417   0.428   0.352   0.330   0.273   0.239   0.233   0.233
 2017 244   295   416   157     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.413   0.422   0.350   0.328   0.271   0.238   0.232   0.233
 2017 245   296   414   155     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.403   0.416   0.347   0.328   0.270   0.237   0.232   0.232
 2017 246   297   412   152     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.393   0.410   0.346   0.326   0.268   0.237   0.231   0.232
 2017 247   298   410   150     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.385   0.404   0.345   0.324   0.267   0.236   0.231   0.232
 2017 248   299   407   148     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.374   0.397   0.343   0.322   0.266   0.235   0.230   0.232
 2017 249   300   405   146     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.367   0.391   0.341   0.320   0.265   0.234   0.230   0.231
 2017 250   301   403   144     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.358   0.386   0.339   0.318   0.263   0.234   0.230   0.231
 2017 251   302   401   142     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.350   0.381   0.337   0.317   0.262   0.233   0.229   0.231
 2017 252   303   399   140     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.341   0.375   0.335   0.315   0.261   0.233   0.229   0.231
 2017 253   304   397   137     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.338   0.372   0.333   0.313   0.260   0.232   0.228   0.230
 2017 254   305   395   135     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.336   0.369   0.331   0.311   0.258   0.231   0.227   0.229
 2017 255   306   393   133     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.310   0.366   0.329   0.310   0.258   0.231   0.227   0.229
 2017 256   307   390   131     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.284   0.363   0.328   0.309   0.257   0.230   0.227   0.229
 2017 257   308   389   129     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.260   0.359   0.327   0.308   0.257   0.230   0.227   0.229
 2017 258   309   387   127     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.239   0.356   0.326   0.307   0.256   0.230   0.227   0.229
 2017 259   310   385   126     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.220   0.353   0.324   0.307   0.256   0.230   0.226   0.229
 2017 260   311   383   124     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.203   0.350   0.323   0.306   0.255   0.230   0.226   0.229
 2017 261   312   382   122     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.188   0.346   0.322   0.305   0.255   0.230   0.226   0.229
 2017 262   313   380   121     47    113    703     0     0   150    0.00   0.0   0.0   0.00   0.175   0.343   0.321   0.304   0.255   0.230   0.226   0.229
 2017 263   314   385   126     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.283   0.340   0.320   0.304   0.254   0.229   0.226   0.229
 2017 264   315   383   124     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.259   0.338   0.319   0.303   0.254   0.229   0.226   0.229
 2017 265   316   382   122     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.238   0.335   0.318   0.302   0.253   0.229   0.226   0.229
 2017 266   317   380   121     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.219   0.332   0.317   0.302   0.253   0.229   0.226   0.229
 2017 267   318   379   119     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.203   0.329   0.316   0.301   0.253   0.229   0.226   0.229
 2017 268   319   377   118     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.188   0.327   0.315   0.301   0.252   0.229   0.226   0.229
 2017 269   320   376   117     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.175   0.324   0.314   0.300   0.252   0.229   0.226   0.229
 2017 270   321   375   116     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.163   0.322   0.313   0.299   0.252   0.229   0.226   0.229
 2017 271   322   374   115     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.152   0.319   0.312   0.299   0.251   0.229   0.226   0.229
 2017 272   323   373   114     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.142   0.317   0.312   0.298   0.251   0.229   0.226   0.229
 2017 273   324   372   113     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.133   0.315   0.311   0.298   0.251   0.228   0.226   0.229
 2017 274   325   371   112     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.126   0.312   0.310   0.298   0.251   0.228   0.226   0.229
 2017 275   326   370   111     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.118   0.310   0.310   0.297   0.251   0.228   0.226   0.229
 2017 276   327   370   110     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.112   0.308   0.309   0.297   0.250   0.228   0.226   0.229
 2017 277   328   369   110     47    113    710     0     0   150    0.00   0.0   0.0   0.00   0.106   0.306   0.308   0.296   0.250   0.228   0.225   0.229
 2017 278   329   370   110     47    113    711     0     0   150    0.00   0.0   0.0   0.00   0.127   0.304   0.308   0.296   0.250   0.228   0.225   0.229
 2017 279   330   369   109     47    113    711     0     0   150    0.00   0.0   0.0   0.00   0.120   0.302   0.307   0.296   0.250   0.228   0.225   0.229
 2017 280   331   369   110     47    113    712     0     0   150    0.00   0.0   0.0   0.00   0.133   0.299   0.306   0.295   0.249   0.228   0.225   0.229
 2017 281   332   376   116     47    113    720     0     0   150    0.00   0.0   0.0   0.00   0.279   0.297   0.306   0.295   0.249   0.228   0.225   0.229
 2017 282   333   381   121     47    113    727     0     0   150    0.00   0.0   0.0   0.00   0.381   0.296   0.305   0.295   0.249   0.228   0.225   0.229
 2017 283   334   379   120     47    113    727     0     0   150    0.00   0.0   0.0   0.00   0.371   0.293   0.303   0.293   0.248   0.227   0.225   0.229
 2017 284   335   377   118     47    113    727     0     0   150    0.00   0.0   0.0   0.00   0.343   0.292   0.303   0.293   0.248   0.227   0.225   0.229
 2017 285   336   412   152     50    113    765     0     0   150    0.00   0.0   0.0   2.51   0.430   0.434   0.409   0.295   0.247   0.227   0.225   0.228
 2017 286   337   414   154     50    113    769     0     0   150    0.00   0.0   0.0   0.04   0.430   0.434   0.423   0.298   0.247   0.227   0.224   0.228
 2017 287   338   413   153     50    113    769     0     0   150    0.00   0.0   0.0   0.00   0.425   0.429   0.420   0.301   0.246   0.226   0.224   0.228
 2017 288   339   447   188     59    113    814     0     0   150    0.00   0.0   0.0   9.08   0.430   0.434   0.432   0.430   0.329   0.227   0.224   0.228
