DAY HR   LAT     LON     DEP       CON
184 10 36.45 -86.35 0.59E-03 1.9E-7    
184 10 36.50 -86.35 0.23E-03 2.0E-6    
184 10 36.55 -86.35 0.37E-04 2.8E-7    
184 10 36.60 -86.35 0.96E-05 1.4E-7    
184 10 36.65 -86.35 0.62E-08 3.9E-14    
184 10 35.85 -86.30 0.14E-01 1.0E-4    
184 10 35.90 -86.30 0.32E-01 2.2E-4    
184 10 35.95 -86.30 0.39E-01 8.9E-5    
184 10 36.00 -86.30 0.28E-01 1.6E-4    
184 10 36.05 -86.30 0.17E-01 9.3E-5    
184 10 36.10 -86.30 0.84E-02 5.5E-5    
184 10 36.15 -86.30 0.21E-01 4.4E-5    
184 10 36.20 -86.30 0.91E-02 3.9E-5    
184 10 36.25 -86.30 0.18E-01 6.2E-5    
184 10 36.30 -86.30 0.20E-01 6.2E-5    
184 10 36.35 -86.30 0.18E-01 9.5E-5    
184 10 36.40 -86.30 0.16E-02 7.6E-7    
184 10 36.45 -86.30 0.42E-04 1.8E-7    
184 10 36.50 -86.30 0.33E-04 4.3E-7    
184 10 36.55 -86.30 0.15E-04 7.1E-8    
184 10 36.60 -86.30 0.66E-05 3.5E-8    
184 10 36.65 -86.30 0.28E-05 6.4E-9    
184 10 35.85 -86.25 0.16E-02 0.0    
184 10 35.90 -86.25 0.26E-01 9.6E-5    
184 10 35.95 -86.25 0.23E-01 5.7E-5    
184 10 36.00 -86.25 0.25E-01 1.6E-4    
184 10 36.05 -86.25 0.17E-01 9.8E-5    
184 10 36.10 -86.25 0.11E-01 3.5E-5    
184 10 36.15 -86.25 0.72E-02 4.0E-5    
184 10 36.20 -86.25 0.11E-01 8.1E-5    
184 10 36.25 -86.25 0.88E-02 6.6E-5    
184 10 36.30 -86.25 0.11E-01 8.7E-5    
184 10 36.35 -86.25 0.22E-01 9.4E-5    
184 10 36.40 -86.25 0.52E-02 1.6E-5    
184 10 36.45 -86.25 0.97E-03 8.8E-6    
184 10 36.50 -86.25 0.30E-04 5.6E-7    
184 10 36.55 -86.25 0.46E-04 9.9E-7    
184 10 36.60 -86.25 0.63E-04 5.7E-8    
184 10 36.65 -86.25 0.16E-05 1.1E-8    
184 10 36.70 -86.25 0.76E-09 1.2E-11    
184 10 35.85 -86.20 0.93E-03 0.0    
184 10 35.90 -86.20 0.19E-01 5.1E-5    
184 10 35.95 -86.20 0.30E-01 1.7E-4    
184 10 36.00 -86.20 0.13E-01 8.9E-5    
184 10 36.05 -86.20 0.18E-01 5.0E-5    
184 10 36.10 -86.20 0.90E-02 6.0E-5    
184 10 36.15 -86.20 0.67E-02 1.6E-5    
184 10 36.20 -86.20 0.98E-02 4.1E-5    
184 10 36.25 -86.20 0.79E-02 3.0E-5    
184 10 36.30 -86.20 0.91E-02 6.0E-5    
184 10 36.35 -86.20 0.11E-01 5.4E-5    
184 10 36.40 -86.20 0.13E-01 5.0E-5    
184 10 36.45 -86.20 0.68E-03 3.8E-7    
184 10 36.50 -86.20 0.59E-04 9.3E-8    
184 10 36.55 -86.20 0.12E-03 9.1E-7    
184 10 36.60 -86.20 0.57E-04 1.3E-8    
184 10 36.65 -86.20 0.33E-07 8.7E-11    
184 10 36.70 -86.20 0.83E-06 8.0E-12    
184 10 35.85 -86.15 0.14E-02 0.0    
184 10 35.90 -86.15 0.60E-02 2.7E-5    
184 10 35.95 -86.15 0.13E-01 3.6E-5    
184 10 36.00 -86.15 0.13E-01 3.3E-5    
184 10 36.05 -86.15 0.18E-01 1.1E-4    
184 10 36.10 -86.15 0.10E-01 3.2E-5    
184 10 36.15 -86.15 0.87E-02 5.3E-5    
184 10 36.20 -86.15 0.28E-02 8.6E-6    
184 10 36.25 -86.15 0.35E-02 1.8E-5    
184 10 36.30 -86.15 0.51E-02 1.2E-5    
184 10 36.35 -86.15 0.72E-02 2.0E-5    
184 10 36.40 -86.15 0.57E-02 1.6E-5    
