*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  X304C 0 kg N/ha         
 MODEL          : MZCER020 - MAIZE     
 EXPERIMENT     : IBWA8301 MZ     IBWA8301MZ N X VAR WAPIO, IBSNAT EXP.1983-4   
 TREATMENT  1   :  X304C 0 kg N/ha         

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD  GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  EWSD  LN%D  SH%D  HIPD  PWDD  PWTD    SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10  CDAD  LDAD  SDAD
 1983 354    28    20   7.0     1  0.24   110    12     0    63   121     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.22  0.00  0.00     0     0   217.0  0.00  0.00  0.34  0.46  0.47  0.31  0.03  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 355    29    21   7.0     1  0.27   129    12     0    71   140     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.19  0.00  0.00     0     0   209.9  0.00  0.00  0.36  0.49  0.52  0.36  0.05  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 356    30    22   8.0     1  0.31   153    12     0    85   164     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.16  0.00  0.00     0     0   202.6  0.00  0.00  0.38  0.53  0.61  0.45  0.08  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 357    31    23   8.0     1  0.36   182    12     0    91   194     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.13  0.00  0.00     0     0   195.4  0.00  0.00  0.39  0.55  0.63  0.48  0.10  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 358    32    24   8.0     1  0.41   217    12     0    96   229     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.11  0.00  0.00     0     0   188.4  0.00  0.00  0.41  0.56  0.65  0.50  0.12  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 359    33    25   9.0     1  0.47   256    12     0   103   267     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.07  0.00  0.00     0     0   182.0  0.00  0.00  0.43  0.57  0.67  0.53  0.16  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 360    34    26   9.0     1  0.53   299    12     0   110   311     0   0.0 0.000     0     0 0.000 0.000 0.000 0.000  4.02  0.00  0.00     0     0   176.2  0.00  0.00  0.45  0.59  0.69  0.55  0.21  0.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 361    35    27  10.0     1  0.59   345    12     0   125   356     0   0.0 0.000     0     0 0.000 0.000 0.003 0.000  3.94  0.00  0.00     0     0   171.0  0.00  0.00  0.47  0.63  0.71  0.57  0.35  0.01  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 362    36    28  10.0     1  0.69   386    12     0   132   397     0   0.0 0.000     0     0 0.000 0.000 0.011 0.000  3.89  0.00  0.00     0     0   178.5  0.00  0.00  0.48  0.62  0.71  0.58  0.42  0.03  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 363    37    29  10.0     1  0.79   460    12     0   144   472     0   0.0 0.000     0     0 0.000 0.000 0.014 0.000  3.52  0.00  0.00     0     0   172.0  0.00  0.00  0.50  0.62  0.73  0.59  0.52  0.07  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 364    38    30  11.0     1  0.89   534    12     0   157   546     0   0.0 0.000     0     0 0.000 0.000 0.062 0.000  3.30  0.00  0.00     0     0   166.3  0.00  0.00  0.51  0.71  0.74  0.60  0.58  0.12  0.00  0.00  0.00  0.00  0.00     0     0     0
 1983 365    39    31  11.0     1  0.98   613    12     0   170   624     0   0.0 0.000     0     0 0.000 0.000 0.089 0.000  3.10  0.00  0.00     0     0   160.7  0.00  0.00  0.53  0.73  0.75  0.61  0.64  0.20  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 001    40    32  12.0     1  1.08   694    12     0   184   705     0   0.0 0.000     0     0 0.000 0.000 0.114 0.000  2.92  0.00  0.00     0     0   155.2  0.00  0.00  0.55  0.75  0.77  0.63  0.68  0.31  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 002    41    33  12.0     2  1.15   764    12     0   215   776     0   0.0 0.000     0     0 0.000 0.000 0.137 0.000  2.79  0.00  0.00     0     0   150.3  0.00  0.00  0.57  0.80  0.83  0.67  0.72  0.57  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 003    42    34  12.0     2  1.20   820    12     0   230   832     0   0.0 0.000     0     0 0.000 0.000 0.156 0.000  2.72  0.00  0.00     0     0   145.8  0.00  0.00  0.58  0.80  0.86  0.69  0.73  0.71  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 004    43    35  13.0     2  1.25   879    12     0   251   891     0   0.0 0.000     0     0 0.000 0.000 0.158 0.000  2.63  0.00  0.00     0     0   141.7  0.00  0.00  0.59  0.79  0.91  0.73  0.75  0.90  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 005    44    36  13.0     2  1.30   947    12     0   263   958     0   0.0 0.000     0     0 0.000 0.000 0.163 0.000  2.52  0.00  0.00     0     0   137.6  0.00  0.00  0.61  0.79  0.94  0.76  0.75  1.00  0.00  0.00  0.00  0.00  0.00     0     0     0
 1984 006    45    37  14.0     3  1.37  1029    12     0   301  1041     0   0.0 0.000     0     0 0.000 0.000 0.097 0.000  2.39  0.00  0.00     0     0   133.4  0.00  0.00  0.62  1.22  1.02  0.82  0.79  1.18  0.01  0.00  0.00  0.00  0.00     0     0     0
 1984 007    46    38  14.0     3  1.45  1109    13     0   343  1121     0   0.0 0.000     0     0 0.000 0.000 0.103 0.000  2.28  0.00  0.00     0     0   130.7  0.00  0.00  0.63  1.40  1.16  0.93  0.84  1.38  0.03  0.00  0.00  0.00  0.00     0     0     0
 1984 008    47    39  14.0     3  1.52  1184    14     0   387  1199     0   0.0 0.000     0     0 0.000 0.000 0.116 0.000  2.18  0.00  0.00     0     0   128.0  0.00  0.00  0.64  1.59  1.32  1.06  0.90  1.52  0.06  0.00  0.00  0.00  0.00     0     0     0
 1984 009    48    40  15.0     3  1.58  1259    17     0   445  1276     0   0.0 0.000     0     0 0.000 0.000 0.128 0.000  2.11  0.00  0.00     0     0   125.2  0.00  0.00  0.65  2.06  1.53  1.23  0.98  1.62  0.12  0.00  0.00  0.00  0.00     0     0     0
 1984 010    49    41  15.0     3  1.63  1331    22     0   459  1353     0   0.0 0.000     0     0 0.000 0.000 0.137 0.000  2.04  0.00  0.00     0     0   122.5  0.00  0.00  0.65  2.12  1.59  1.28  1.00  1.63  0.14  0.00  0.00  0.00  0.00     0     0     0
 1984 011    50    42  15.0     3  1.68  1402    29     0   489  1431     0   0.0 0.000     0     0 0.000 0.000 0.145 0.000  1.98  0.00  0.00     0     0   119.9  0.00  0.00  0.66  2.24  1.72  1.38  1.05  1.65  0.18  0.00  0.00  0.00  0.00     0     0     0
 1984 012    51    43  16.0     3  1.72  1469    37     0   520  1506     0   0.0 0.000     0     0 0.000 0.000 0.154 0.000  1.93  0.00  0.00     0     0   117.2  0.00  0.00  0.67  2.37  1.85  1.48  1.10  1.68  0.23  0.00  0.00  0.00  0.00     0     0     0
 1984 013    52    44  16.0     3  1.77  1542    49     0   539  1590     0   0.0 0.000     0     0 0.000 0.000 0.160 0.000  1.87  0.00  0.00     0     0   114.6  0.00  0.00  0.68  2.44  1.92  1.54  1.13  1.70  0.26  0.00  0.00  0.00  0.00     0     0     0
 1984 014    53    45  17.0     3  1.81  1615    64     0   555  1679     0   0.0 0.000     0     0 0.000 0.000 0.167 0.000  1.81  0.00  0.00     0     0   112.0  0.00  0.00  0.69  2.51  1.99  1.60  1.15  1.71  0.29  0.00  0.00  0.00  0.00     0     0     0
 1984 015    54    46  17.0     3  1.84  1682    82     0   574  1764     0   0.0 0.000     0     0 0.000 0.000 0.176 0.000  1.76  0.00  0.00     0     0   109.5  0.00  0.00  0.70  2.58  2.07  1.66  1.18  1.72  0.32  0.00  0.00  0.00  0.00     0     0     0
 1984 016    55    47  17.0     3  1.88  1754   105     0   594  1859     0   0.0 0.000     0     0 0.000 0.000 0.183 0.000  1.71  0.00  0.00     0     0   106.9  0.00  0.00  0.71  2.66  2.14  1.72  1.21  1.74  0.35  0.00  0.00  0.00  0.00     0     0     0
 1984 017    56    48  18.0     3  1.91  1827   133     0   601  1960     0   0.0 0.000     0     0 0.000 0.000 0.191 0.000  1.65  0.00  0.00     0     0   104.4  0.00  0.00  0.72  2.68  2.18  1.75  1.22  1.74  0.37  0.00  0.00  0.00  0.00     0     0     0
 1984 018    57    49  18.0     3  1.93  1893   165     0   604  2058     0   0.0 0.000     0     0 0.000 0.000 0.201 0.000  1.60  0.00  0.00     0     0   101.9  0.00  0.00  0.73  2.69  2.19  1.75  1.23  1.74  0.38  0.00  0.00  0.00  0.00     0     0     0
 1984 019    58    50  19.0     3  1.95  1960   202     0   629  2162     0   0.0 0.000     0     0 0.000 0.000 0.225 0.000  1.55  0.00  0.00     0     0    99.3  0.00  0.00  0.74  2.79  2.29  1.84  1.26  1.76  0.42  0.00  0.00  0.00  0.00     0     0     0
