*GROWTH ASPECTS OUTPUT FILE

*RUN   1        :  DRYLAND - 0 KG N/HA     
 MODEL          : CRGRO020 - BAHIA     
 EXPERIMENT     : ALTH5601 G0     ALTH5601G0 BAHIA ON GREENVILLE FINE SANDY LOAM
 TREATMENT  1   :  DRYLAND - 0 KG N/HA     

@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  CWAD  G#AD   GWGD  HIAD  PWAD  P#AD  WSPD  WSGD  NSTD  LN%D  SH%D  HIPD  PWDD  PWTD  SLAD  CHTD  CWID  NWAD  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  RL6D  RL7D  RL8D  RL9D  RL10   CDAD   LDAD   SDAD
 1956 207   168   137   2.6     0  0.51   260   261     0   486   521     0    0.0 0.000     0     0 0.000 0.000 0.000  1.40  0.00  0.00     0     0 196.5  0.15  0.10   0.0  1.57  0.14  1.11  0.63  0.30  0.21  0.13  0.07  0.02  0.00  0.00   1266    644    622
 1956 214   175   144   0.7     0  0.13    68    68     0   501   136     0    0.0 0.000     0     0 0.000 0.000 0.000  1.28  0.00  0.00     0     0 194.1  0.06 -0.01   0.0  1.65  0.13  1.08  0.63  0.30  0.22  0.14  0.09  0.04  0.01  0.00   1745    884    861
 1956 221   182   151   1.3     0  0.18    89    89     0   484   178     0    0.0 0.000     0     0 0.000 0.000 0.000  1.87  0.00  0.00     0     0 199.8  0.09  0.02   0.0  1.73  0.12  1.01  0.60  0.29  0.21  0.13  0.08  0.04  0.01  0.00   1745    885    861
 1956 228   189   158   1.8     0  0.32   162   161     0   493   323     0    0.0 0.000     0     0 0.000 0.000 0.000  1.81  0.00  0.00     0     0 195.5  0.11  0.05   0.0  1.83  0.11  0.99  0.60  0.29  0.21  0.14  0.10  0.05  0.01  0.00   1749    887    862
 1956 235   196   165   2.4     0  0.48   248   246     0   517   494     0    0.0 0.000     0     0 0.000 0.000 0.000  1.53  0.00  0.00     0     0 194.1  0.14  0.08   0.0  1.89  0.11  0.99  0.60  0.29  0.22  0.15  0.11  0.06  0.02  0.01   1754    891    864
 1956 242   203   172   2.9     0  0.64   324   322     0   536   646     0    0.0 0.000     0     0 0.000 0.106 0.018  1.42  0.00  0.00     0     0 199.1  0.16  0.10   0.0  1.89  0.11  0.99  0.61  0.30  0.23  0.16  0.12  0.08  0.03  0.02   1760    895    866
 1956 249   210   179   1.0     0  0.21   102   101     0   528   203     0    0.0 0.000     0     0 0.000 0.000 0.000  1.61  0.00  0.00     0     0 201.1  0.09  0.02   0.0  1.89  0.10  0.95  0.59  0.29  0.22  0.16  0.12  0.08  0.04  0.02   2287   1159   1129
 1956 256   217   186   1.4     0  0.29   145   145     0   529   290     0    0.0 0.000     0     0 0.000 0.000 0.000  1.58  0.00  0.00     0     0 201.4  0.11  0.04   0.0  1.89  0.10  0.91  0.58  0.29  0.22  0.17  0.13  0.08  0.04  0.03   2290   1160   1129
 1956 263   224   193   1.8     0  0.38   194   193     0   542   387     0    0.0 0.000     0     0 0.000 0.000 0.000  1.50  0.00  0.00     0     0 196.2  0.13  0.06   0.0  1.89  0.09  0.88  0.59  0.29  0.23  0.17  0.14  0.09  0.05  0.03   2292   1162   1130
 1956 270   231   200   2.2     0  0.50   260   257     0   564   517     0    0.0 0.000     0     0 0.000 0.000 0.000  1.49  0.00  0.00     0     0 192.4  0.14  0.07   0.0  1.89  0.10  0.89  0.55  0.29  0.24  0.18  0.15  0.10  0.06  0.04   2295   1164   1131
 1956 277   238   207   0.7     0  0.14    75    72     0   581   147     0    0.0 0.000     0     0 0.000 0.000 0.000  1.90  0.00  0.00     0     0 189.7  0.09  0.02   0.0  1.89  0.10  0.90  0.50  0.27  0.22  0.18  0.16  0.11  0.07  0.05   2760   1399   1361
 1956 284   245   214   1.0     0  0.24   124   120     0   588   244     0    0.0 0.000     0     0 0.000 0.000 0.130  1.92  0.00  0.00     0     0 194.0  0.10  0.03   0.0  1.89  0.10  0.90  0.41  0.21  0.17  0.14  0.13  0.10  0.07  0.06   2761   1399   1362
 1956 291   252   221   1.3     0  0.33   176   170     0   608   346     0    0.0 0.000     0     0 0.000 0.000 0.267  1.65  0.00  0.00     0     0 189.5  0.11  0.04   0.0  1.89  0.10  0.93  0.43  0.18  0.15  0.12  0.11  0.10  0.08  0.06   2763   1401   1362
 1956 298   259   228   1.6     0  0.44   221   215     0   620   436     0    0.0 0.000     0     0 0.000 0.000 0.000  1.56  0.00  0.00     0     0 197.2  0.12  0.06   0.0  1.89  0.11  0.94  0.38  0.15  0.12  0.10  0.10  0.10  0.08  0.07   2765   1402   1363
 1956 305   266   235   1.8     0  0.51   262   255     0   637   517     0    0.0 0.000     0     0 0.000 0.000 0.333  1.43  0.00  0.00     0     0 194.7  0.13  0.06   0.0  1.89  0.10  0.96  0.39  0.14  0.10  0.10  0.10  0.10  0.09  0.08   2768   1404   1364
 1956 312   273   242   2.1     0  0.58   299   291     0   654   590     0    0.0 0.000     0     0 0.000 0.000 0.093  1.31  0.00  0.00     0     0 193.9  0.14  0.07   0.0  1.89  0.11  0.98  0.41  0.14  0.10  0.10  0.10  0.10  0.09  0.08   2771   1406   1365
 1956 319   280   249   2.2     0  0.61   309   301     0   654   609     0    0.0 0.000     0     0 0.000 0.000 0.104  1.38  0.00  0.00     0     0 196.1  0.14  0.08   0.0  1.89  0.11  0.98  0.36  0.11  0.10  0.10  0.10  0.10  0.09  0.08   2772   1407   1365
 1956 326   287   256   2.3     0  0.64   324   315     0   658   640     0    0.0 0.000     0     0 0.000 0.000 0.372  1.42  0.00  0.00     0     0 197.4  0.15  0.08   0.0  1.89  0.11  0.98  0.32  0.10  0.10  0.10  0.10  0.10  0.09  0.08   2773   1408   1366
 1956 333   294   263   2.4     0  0.64   323   314     0   656   637     0    0.0 0.000     0     0 0.000 0.000 0.000  1.42  0.00  0.00     0     0 198.0  0.15  0.08   0.0  1.89  0.10  0.98  0.32  0.10  0.10  0.10  0.10  0.10  0.09  0.08   2773   1408   1366
 1956 340   301   270   2.4     0  0.66   330   321     0   655   651     0    0.0 0.000     0     0 0.000 0.000 0.000  1.52  0.00  0.00     0     0 199.7  0.15  0.09   0.0  1.89  0.10  0.98  0.32  0.10  0.10  0.10  0.10  0.10  0.09  0.08   2773   1408   1366
 1956 347   308   277   2.6     0  0.69   364   351     0   679   715     0    0.0 0.000     0     0 0.000 0.000 0.000  1.38  0.00  0.00     0     0 191.0  0.16  0.09   0.0  1.89  0.10  1.00  0.34  0.11  0.10  0.11  0.11  0.11  0.10  0.09   2776   1409   1367
 1956 354   315   284   2.9     0  0.80   397   385     0   691   781     0    0.0 0.000     0     0 0.000 0.000 0.398  1.37  0.00  0.00     0     0 202.1  0.17  0.10   0.0  1.89  0.13  1.01  0.30  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2779   1412   1368
 1956 361   322   291   3.1     0  0.84   409   397     0   696   805     0    0.0 0.000     0     0 0.000 0.000 0.000  1.36  0.00  0.00     0     0 206.7  0.18  0.10   0.0  1.89  0.13  1.02  0.25  0.10  0.10  0.10  0.10  0.09  0.10  0.10   2781   1413   1368
 1957 002   329   298   3.1     0  0.86   414   402     0   696   816     0    0.0 0.000     0     0 0.000 0.000 0.000  1.37  0.00  0.00     0     0 207.8  0.18  0.10   0.0  1.89  0.12  1.01  0.23  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2781   1413   1368
 1957 009   336   305   3.2     0  0.86   412   400     0   692   812     0    0.0 0.000     0     0 0.000 0.000 0.000  1.39  0.00  0.00     0     0 209.1  0.18  0.10   0.0  1.89  0.12  1.01  0.20  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2781   1413   1368
 1957 016   343   312   3.3     0  0.89   418   407     0   691   825     0    0.0 0.000     0     0 0.000 0.000 0.000  1.41  0.00  0.00     0     0 212.8  0.19  0.10   0.0  1.89  0.12  1.01  0.20  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2782   1413   1369
 1957 023   350   319   3.4     0  0.91   424   412     0   691   836     0    0.0 0.000     0     0 0.000 0.000 0.000  1.46  0.00  0.00     0     0 214.3  0.19  0.10   0.0  1.89  0.11  1.00  0.20  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2782   1413   1369
 1957 030   357   326   3.5     0  0.97   443   432     0   696   875     0    0.0 0.000     0     0 0.000 0.000 0.000  1.42  0.00  0.00     0     0 219.2  0.20  0.10   0.0  1.89  0.14  1.01  0.16  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2785   1416   1370
 1957 037   364   333   3.9     0  1.05   491   477     0   731   968     0    0.0 0.000     0     0 0.000 0.000 0.194  1.26  0.00  0.00     0     0 214.5  0.21  0.10   0.0  1.89  0.22  1.06  0.16  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2791   1419   1372
 1957 044   371   340   4.1     0  1.12   521   508     0   751  1029     0    0.0 0.000     0     0 0.000 0.000 0.000  1.20  0.00  0.00     0     0 215.8  0.23  0.10   0.0  1.89  0.22  1.08  0.18  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2795   1422   1373
 1957 051   378   347   4.2     0  1.14   524   512     0   750  1036     0    0.0 0.000     0     0 0.000 0.000 0.000  1.21  0.00  0.00     0     0 217.0  0.23  0.10   0.0  1.89  0.21  1.08  0.18  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2795   1422   1373
 1957 058   385   354   4.4     0  1.18   528   516     0   744  1044     0    0.0 0.000     0     0 0.000 0.000 0.000  1.25  0.00  0.00     0     0 222.8  0.24  0.10   0.0  1.89  0.21  1.07  0.16  0.09  0.10  0.10  0.10  0.10  0.10  0.10   2796   1423   1373
 1957 065   392   361   4.5     0  1.18   527   516     0   739  1043     0    0.0 0.000     0     0 0.000 0.000 0.000  1.29  0.00  0.00     0     0 224.7  0.24  0.10   0.0  1.89  0.21  1.06  0.12  0.09  0.10  0.10  0.10  0.10  0.10  0.10   2796   1423   1373
 1957 072   399   368   4.5     0  1.21   533   522     0   738  1055     0    0.0 0.000     0     0 0.000 0.000 0.000  1.31  0.00  0.00     0     0 226.4  0.24  0.10   0.0  1.89  0.21  1.06  0.11  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2797   1423   1374
 1957 079   406   375   4.8     0  1.25   570   557     0   765  1127     0    0.0 0.000     0     0 0.000 0.000 0.000  1.21  0.00  0.00     0     0 219.8  0.25  0.10   0.0  1.89  0.23  1.09  0.14  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2801   1426   1375
 1957 086   413   382   4.9     0  1.29   583   571     0   770  1154     0    0.0 0.000     0     0 0.000 0.000 0.000  1.22  0.00  0.00     0     0 220.4  0.26  0.10   0.0  1.89  0.24  1.09  0.12  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2803   1427   1376
 1957 093   420   389   5.1     0  1.32   600   588     0   780  1188     0    0.0 0.000     0     0 0.000 0.000 0.193  1.19  0.00  0.00     0     0 220.6  0.26  0.10   0.0  1.89  0.25  1.10  0.12  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2806   1429   1377
 1957 100   427   396   5.3     0  1.40   619   610     0   784  1230     0    0.0 0.000     0     0 0.000 0.000 0.000  1.15  0.00  0.00     0     0 225.9  0.28  0.10   0.0  1.89  0.29  1.11  0.10  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2811   1432   1378
 1957 107   434   403   5.5     0  1.42   625   617     0   780  1243     0    0.0 0.000     0     0 0.000 0.000 0.000  1.16  0.00  0.00     0     0 227.9  0.28  0.10   0.0  1.89  0.27  1.10  0.10  0.10  0.10  0.10  0.10  0.10  0.10  0.10   2812   1433   1379
 1957 114   441   410   5.9     0  1.48   636   632     0   764  1268     0    0.0 0.000     0     0 0.000 0.000 0.000  1.15  0.00  0.00     0     0 232.3  0.30  0.10   0.0  1.89  0.28  1.08  0.10  0.10  0.10  0.10  0.10  0.09  0.10  0.10   2817   1436   1380
 1957 121   448   417   6.3     0  1.51   640   638     0   741  1278     0    0.0 0.000     0     0 0.000 0.000 0.000  1.15  0.00  0.00     0     0 235.1  0.32  0.10   0.0  1.89  0.25  1.05  0.10  0.10  0.10  0.10  0.10  0.09  0.10  0.10   2820   1439   1381
